Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
TrueFi,Lending,TRU,Ethereum,-,+9.51%,-1.98%,$112.99m,112990000,2021-05-23 07:18:36.617352
ZilSwap,Dexes,ZWAP,Zilliqa,-,-36.73%,-1.74%,$109.31m,109310000,2021-05-23 07:18:36.617352
Integral,Dexes,-,Ethereum,-,-68.57%,-0.77%,$103.77m,103770000,2021-05-23 07:18:36.617352
Reflexer,Assets,RAI,Ethereum,-,-56.45%,-0.88%,$103.74m,103740000,2021-05-23 07:18:36.617352
Ankr,Staking,ANKR,Ethereum,-,-39.49%,-0.85%,$103.28m,103280000,2021-05-23 07:18:36.617352
Pickle,Yield,PICKLE,Ethereum,-1.63%,-1.37%,+0.25%,"$94,569,654",94569654,2021-05-23 07:18:36.617352
Unslashed,Insurance,USF,Ethereum,-,-40.04%,-1.51%,"$92,945,264",92945264,2021-05-23 07:18:36.617352
BarnBridge,Yield,BOND,Ethereum,-,-8.17%,-0.06%,"$83,853,906",83853906,2021-05-23 07:18:36.617352
MANTRA DAO,Protocols,OM,Ethereum,-,-46.35%,-1.30%,"$83,461,027",83461027,2021-05-23 07:18:36.617352
OnX.Finance,Lending,ONX,Ethereum,-,-43.83%,-1.23%,"$75,914,735",75914735,2021-05-23 07:18:36.617352
Flamincome,Yield,FLAG,Ethereum,-,-21.65%,-0.62%,"$75,279,025",75279025,2021-05-23 07:18:36.617352
1inch,Dexes,1INCH,Ethereum,-,-53.42%,-0.58%,"$72,001,985",72001985,2021-05-23 07:18:36.617352
SolFarm,Yield,Token not found,Solana,-25.46%,"$70,018,274",-,"$70,018,274",70018274,2021-05-23 07:18:36.617352
KeeperDAO,Yield,ROOK,Ethereum,-,-52.10%,-1.92%,"$67,849,371",67849371,2021-05-23 07:18:36.617352
Secret Network,Protocols,SCRT,Secret,-,-42.97%,-0.92%,"$67,488,344",67488344,2021-05-23 07:18:36.617352
Secret Bridge,Assets,-,Secret,-,-42.97%,-0.92%,"$67,488,344",67488344,2021-05-23 07:18:36.617352
yAxis,Yield,YAX,Ethereum,-,-56.82%,-0.78%,"$66,146,402",66146402,2021-05-23 07:18:36.617352
Goose Finance,Yield,EGG,Binance,-,-40.53%,-0.77%,"$64,313,603",64313603,2021-05-23 07:18:36.617352
mStable,Protocols,MTA,Ethereum,-,-13.04%,-0.19%,"$61,582,761",61582761,2021-05-23 07:18:36.617352
StakeWise,Staking,SWISE,Ethereum,-,-38.33%,-0.86%,"$61,262,248",61262248,2021-05-23 07:18:36.617352
Metronome,Assets,MET,Ethereum,-,-38.91%,-0.64%,"$56,367,775",56367775,2021-05-23 07:18:36.617352
dForce,Lending,DF,Multi-Chain,-,-25.99%,-0.49%,"$53,005,338",53005338,2021-05-23 07:18:36.617352
Saddle Finance,Dexes,-,Ethereum,-,+6.91%,-0.38%,"$52,671,563",52671563,2021-05-23 07:18:36.617352
imToken,Assets,imBTC,Ethereum,-,-24.74%,-0.32%,"$51,748,304",51748304,2021-05-23 07:18:36.617352
Hard Protocol,Protocols,HARD,Multi-Chain,-,-,-36.71%,"$51,147,594",51147594,2021-05-23 07:18:36.617352
SpookySwap,Dexes,BOO,Fantom,-,-45.07%,-29.36%,"$51,026,313",51026313,2021-05-23 07:18:36.617352
 Lightning Netwo...,Protocols,-,Bitcoin,-,-21.64%,-0.29%,"$50,093,233",50093233,2021-05-23 07:18:36.617352
BoringDAO,Protocols,BOR,Ethereum,-,-27.82%,-0.43%,"$49,992,899",49992899,2021-05-23 07:18:36.617352
SpiritSwap,Dexes,SPIRIT,Fantom,-,-47.15%,-1.70%,"$49,539,577",49539577,2021-05-23 07:18:36.617352
Rari Capital,Yield,RGT,Ethereum,-,-,-3.23%,"$47,947,786",47947786,2021-05-23 07:18:36.617352
Defi Swap,Dexes,CRO,Ethereum,-,-29.17%,-0.41%,"$47,428,455",47428455,2021-05-23 07:18:36.617352
StakeDAO,Yield,SDT,Ethereum,-,-37.11%,-0.05%,"$46,791,957",46791957,2021-05-23 07:18:36.617352
FutureSwap,Dexes,FST,Ethereum,-,-31.02%,-0.46%,"$41,975,973",41975973,2021-05-23 07:18:36.617352
Hegic,Options,HEGIC,Ethereum,-,-33.43%,-1.21%,"$41,556,886",41556886,2021-05-23 07:18:36.617352
Hyper Finance,Yield,HYFI,Binance,-,-60.33%,-0.80%,"$40,761,696",40761696,2021-05-23 07:18:36.617352
Zookeeper,Yield,ZOO,Wanchain,-,-34.53%,-2.02%,"$40,737,204",40737204,2021-05-23 07:18:36.617352
WanSwap Dex,Dexes,WASP,Wanchain,-,-37.57%,-0.72%,"$40,285,709",40285709,2021-05-23 07:18:36.617352
Orca,Dexes,-,Solana,-,-26.99%,-0.22%,"$39,174,193",39174193,2021-05-23 07:18:36.617352
SharedStake,Staking,SGT,Ethereum,-,-39.74%,-0.86%,"$36,753,765",36753765,2021-05-23 07:18:36.617352
SecretSwap,Dexes,SEFI,Secret,-,-25.78%,-0.99%,"$36,651,417",36651417,2021-05-23 07:18:36.617352
Kyber,Dexes,KNC,Ethereum,-,-18.85%,+3.12%,"$36,247,573",36247573,2021-05-23 07:18:36.617352
88mph,Yield,MPH,Ethereum,-,-24.88%,-0.66%,"$36,155,533",36155533,2021-05-23 07:18:36.617352
Ruler,Lending,RULER,Ethereum,-,-31.26%,+0.20%,"$34,348,511",34348511,2021-05-23 07:18:36.617352
Mimo Defi,Lending,MIMO,Ethereum,-,-39.52%,-0.69%,"$33,934,674",33934674,2021-05-23 07:18:36.617352
DerivaDEX,Dexes,DDX,Ethereum,-,-9.08%,-0.24%,"$33,933,676",33933676,2021-05-23 07:18:36.617352
DefiDollar DAO,Protocols,DFD,Ethereum,-,+44.06%,-0.36%,"$33,264,141",33264141,2021-05-23 07:18:36.617352
ValueDefi,Yield,VALUE,Multi-Chain,-,-46.83%,-0.52%,"$31,312,432",31312432,2021-05-23 07:18:36.617352
Smoothy,Dexes,SMTY,Ethereum,-,-3.53%,-0.00%,"$30,711,737",30711737,2021-05-23 07:18:36.617352
Swipe,Dexes,SXP,Ethereum,-,-38.91%,-0.50%,"$30,342,785",30342785,2021-05-23 07:18:36.617352
xToken,Yield,XTK,Ethereum,-,-44.35%,-0.99%,"$29,919,846",29919846,2021-05-23 07:18:36.617352
BiFi,Lending,BiFi,Multi-Chain,-,-37.38%,+0.40%,"$29,547,497",29547497,2021-05-23 07:18:36.617352
Opyn,Options,-,Ethereum,-,-34.19%,-0.70%,"$29,183,556",29183556,2021-05-23 07:18:36.617352
BasketDAO,Indexes,BASK,Ethereum,-,-54.35%,-0.21%,"$26,925,461",26925461,2021-05-23 07:18:36.617352
Bella Protocol,Yield,BEL,Ethereum,-,-23.91%,-0.61%,"$26,628,703",26628703,2021-05-23 07:18:36.617352
dHEDGE,Protocols,DHT,Ethereum,-,-33.11%,-0.92%,"$26,262,510",26262510,2021-05-23 07:18:36.617352
DeversiFi,Dexes,DVF,Ethereum,-,-2.99%,-0.68%,"$25,996,206",25996206,2021-05-23 07:18:36.617352
Serum Swap,Dexes,SRM,Solana,-,-24.68%,-1.29%,"$25,928,603",25928603,2021-05-23 07:18:36.617352
Enzyme Finance,Yield,MLN,Ethereum,-,-28.30%,-0.25%,"$23,290,946",23290946,2021-05-23 07:18:36.617352
Indexed Finance,Indexes,NDX,Ethereum,-,-43.38%,-0.78%,"$21,979,336",21979336,2021-05-23 07:18:36.617352
Gnosis,Dexes,GNO,Ethereum,-,-38.18%,-0.62%,"$21,376,298",21376298,2021-05-23 07:18:36.617352
Ribbon Finance,Options,-,Ethereum,-,-31.63%,-0.51%,"$20,893,395",20893395,2021-05-23 07:18:36.617352
WePiggy,Lending,WPC,Ethereum,-,-29.83%,-1.04%,"$20,441,024",20441024,2021-05-23 07:18:36.617352
Swerve,Dexes,SWRV,Ethereum,-34.84%,"$18,482,540",-,"$18,482,540",18482540,2021-05-23 07:18:36.617352
ViperSwap,Dexes,VIPER,Harmony,-,-27.40%,-0.16%,"$18,228,819",18228819,2021-05-23 07:18:36.617352
PowerPool,Indexes,CVP,Ethereum,-,+19.38%,-0.12%,"$18,052,945",18052945,2021-05-23 07:18:36.617352
Snowball,Yield,SNOB,Avalanche,+2.04%,+33.91%,-1.23%,"$17,995,190",17995190,2021-05-23 07:18:36.617352
Unagii,Yield,-,Ethereum,-,-21.04%,-0.81%,"$17,794,120",17794120,2021-05-23 07:18:36.617352
 Mushrooms Finan...,Yield,MM,Ethereum,-,-27.65%,-0.68%,"$16,810,621",16810621,2021-05-23 07:18:36.617352
Notional,Lending,-,Ethereum,-,-17.15%,-0.47%,"$16,753,877",16753877,2021-05-23 07:18:36.617352
Mango Markets,Lending,-,Solana,-,-24.66%,-0.85%,"$15,667,052",15667052,2021-05-23 07:18:36.617352
IDEX,Dexes,IDEX,Ethereum,-,-37.63%,-0.65%,"$14,714,225",14714225,2021-05-23 07:18:36.617352
PieDAO,Indexes,DOUGH,Ethereum,-,-40.19%,-0.71%,"$14,618,595",14618595,2021-05-23 07:18:36.617352
Penguin Finance,Dexes,PEFI,Avalanche,-,-33.42%,-1.16%,"$14,044,654",14044654,2021-05-23 07:18:36.617352
Gondola Finance,Dexes,GDL,Avalanche,-,-33.36%,-0.57%,"$13,532,652",13532652,2021-05-23 07:18:36.617352
Erasure,Protocols,NMR,Ethereum,-,-22.70%,-2.75%,"$12,022,124",12022124,2021-05-23 07:18:36.617352
Stacker Ventures,Yield,STACK,Ethereum,-,-32.18%,-0.64%,"$11,873,567",11873567,2021-05-23 07:18:36.617352
HyperSwap,Dexes,Token not found,Fantom,-64.51%,"$11,322,505",-,"$11,322,505",11322505,2021-05-23 07:18:36.617352
ACoconut,Yield,AC,Multi-Chain,-,-46.97%,-0.48%,"$10,255,072",10255072,2021-05-23 07:18:36.617352
BondAppetit,Assets,BAG,Ethereum,-,-6.09%,-0.04%,"$9,805,794",9805794,2021-05-23 07:18:36.617352
Cryptex,Indexes,CTX,Ethereum,-,-61.15%,-0.83%,"$9,384,892",9384892,2021-05-23 07:18:36.617352
Energiswap,Dexes,NRG,Energi,-,-33.63%,-0.11%,"$8,814,996",8814996,2021-05-23 07:18:36.617352
Wasabix,Yield,WASABI,Ethereum,-,-79.94%,-0.29%,"$8,705,561",8705561,2021-05-23 07:18:36.617352
Cometh,Dexes,MUST,Polygon,-,-47.22%,-1.89%,"$8,082,024",8082024,2021-05-23 07:18:36.617352
ForTube,Lending,FOR,Ethereum,-,+14.13%,+0.10%,"$7,826,097",7826097,2021-05-23 07:18:36.617352
Honeyswap,Dexes,HNY,xDai,-,-31.24%,-0.27%,"$7,808,789",7808789,2021-05-23 07:18:36.617352
DDEX,Dexes,-,Ethereum,-,-38.24%,-0.64%,"$7,300,511",7300511,2021-05-23 07:18:36.617352
Perlin,Dexes,PERL,Ethereum,-,-51.30%,-0.24%,"$7,148,169",7148169,2021-05-23 07:18:36.617352
Fuse,Protocols,FUSE,Multi-Chain,-,-44.47%,-1.13%,"$7,043,897",7043897,2021-05-23 07:18:36.617352
Allinx,Yield,INX,Binance,-,-41.09%,-0.81%,"$6,257,401",6257401,2021-05-23 07:18:36.617352
Hakka Finance,Yield,HAKKA,Ethereum,-,-40.81%,-1.42%,"$5,790,929",5790929,2021-05-23 07:18:36.617352
Oxygen,Lending,OXY,Solana,-,-22.99%,-0.96%,"$5,774,200",5774200,2021-05-23 07:18:36.617352
YFII,Dexes,YFII,Ethereum,-,+1600%,-0.08%,"$5,264,706",5264706,2021-05-23 07:18:36.617352
Cover Protocol,Insurance,COVER,Ethereum,-,-19.02%,0%,"$4,882,655",4882655,2021-05-23 07:18:36.617352
Opium,Insurance,OPIUM,Ethereum,-,-1.41%,-0.00%,"$4,850,338",4850338,2021-05-23 07:18:36.617352
Wheat Protocol,Yield,WHEAT,Binance,-,-51.77%,-1.41%,"$4,555,865",4555865,2021-05-23 07:18:36.617352
Governor DAO,Protocols,GDAO,Ethereum,-,-48.34%,-0.96%,"$4,080,980",4080980,2021-05-23 07:18:36.617352
Yogi Finance,Dexes,YOGI,MultiChain,-,-,+0.48%,"$3,942,371",3942371,2021-05-23 07:18:36.617352
Swapr,Dexes,-,Multi-Chain,-,-21.84%,+0.34%,"$3,683,904",3683904,2021-05-23 07:18:36.617352
Dev Protocol,Protocols,DEV,Ethereum,-,-45.37%,-8.29%,"$3,653,421",3653421,2021-05-23 07:18:36.617352
Lydia,Dexes,-,Avalanche,-,-56.01%,-0.44%,"$3,537,794",3537794,2021-05-23 07:18:36.617352
Stafi,Staking,FIS,Ethereum,-,-38.85%,-0.86%,"$3,490,556",3490556,2021-05-23 07:18:36.617352
cVault.finance,Assets,CORE,Ethereum,-,-26.54%,-0.74%,"$3,287,275",3287275,2021-05-23 07:18:36.617352
