Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+2.95%,+55.99%,+1.80%,$11.66b,11660000000,2021-05-04 07:11:28.816391
PancakeSwap,Dexes,CAKE,Binance,+0.54%,+27.20%,0%,$10.52b,10520000000,2021-05-04 07:11:28.816391
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-04 07:11:28.816391
Compound,Lending,COMP,Ethereum,+3.95%,+9.56%,+1.29%,$9.7b,9700000000,2021-05-04 07:11:28.816391
WBTC,Assets,WBTC,Ethereum,-2.35%,+12.77%,+0.60%,$9.46b,9460000000,2021-05-04 07:11:28.816391
Uniswap,Dexes,UNI,Ethereum,+4.51%,-2.51%,+1.66%,$8.54b,8540000000,2021-05-04 07:11:28.816391
Bunny,Yield,BUNNY,Binance,-,+36.56%,+2.03%,$7.59b,7590000000,2021-05-04 07:11:28.816391
Curve,Dexes,CRV,Ethereum,+3.03%,+13.32%,+1.10%,$7.42b,7420000000,2021-05-04 07:11:28.816391
Venus,Lending,XVS,Binance,+2.01%,+39.88%,+2.31%,$6.65b,6650000000,2021-05-04 07:11:28.816391
SushiSwap,Dexes,SUSHI,Ethereum,-0.46%,+23.73%,+1.61%,$5.34b,5340000000,2021-05-04 07:11:28.816391
Polygon,Protocols,MATIC,Polygon,-,+96.49%,+3.06%,$4.87b,4870000000,2021-05-04 07:11:28.816391
Liquity,Protocols,LQTY,Ethereum,-,+29.75%,+2.41%,$3.86b,3860000000,2021-05-04 07:11:28.816391
InstaDApp,Protocols,-,Ethereum,+5.45%,+17.45%,0%,$3.79b,3790000000,2021-05-04 07:11:28.816391
Yearn Finance,Yield,YFI,Ethereum,+2.42%,+12.82%,0%,$3.47b,3470000000,2021-05-04 07:11:28.816391
Balancer,Dexes,BAL,Ethereum,+2.46%,+22.49%,+0.94%,$3.41b,3410000000,2021-05-04 07:11:28.816391
Ellipsis Finance,Dexes,EPS,Binance,+8.26%,-20.55%,+0.21%,$2.27b,2270000000,2021-05-04 07:11:28.816391
Bancor,Dexes,BNT,Ethereum,+0.67%,+17.68%,+1.62%,$2.09b,2090000000,2021-05-04 07:11:28.816391
Synthetix,Dexes,SNX,Ethereum,+1.37%,+11.57%,+1.51%,$2.09b,2090000000,2021-05-04 07:11:28.816391
Mirror,Assets,MIR,Terra,-,+3.25%,+0.18%,$2.08b,2080000000,2021-05-04 07:11:28.816391
Autofarm,Yield,AUTO,Multi-Chain,+2.44%,+65.91%,+1.02%,$1.78b,1780000000,2021-05-04 07:11:28.816391
Lido,Staking,LDO,Multi-Chain,+1.10%,+16.74%,+2.61%,$1.67b,1670000000,2021-05-04 07:11:28.816391
hBTC,Assets,hBTC,Ethereum,-3.39%,+4.56%,+0.60%,$1.56b,1560000000,2021-05-04 07:11:28.816391
Vesper,Yield,VSP,Ethereum,-,+13.23%,+1.35%,$1.41b,1410000000,2021-05-04 07:11:28.816391
Alchemix,Yield,ALCX,Ethereum,+4.85%,+15.76%,+1.46%,$1.35b,1350000000,2021-05-04 07:11:28.816391
Flexa,Protocols,AMP,Ethereum,-3.34%,-5.56%,+1.28%,$1.32b,1320000000,2021-05-04 07:11:28.816391
Badger DAO,Yield,BADGER,Ethereum,-0.37%,+31.84%,+0.72%,$1.32b,1320000000,2021-05-04 07:11:28.816391
DefiSaver,Protocols,-,Ethereum,+14.46%,+45.48%,+2.93%,$1.19b,1190000000,2021-05-04 07:11:28.816391
ValueDefi,Yield,VALUE,Multi-Chain,-1.32%,+5.82%,+0.33%,$961.13m,961130000,2021-05-04 07:11:28.816391
Raydium,Dexes,RAY,Solana,-2.99%,+34.32%,+1.38%,$948.12m,948120000,2021-05-04 07:11:28.816391
Alpha Finance,Yield,ALPHA,Multi-Chain,-6.68%,-3.61%,+0.54%,$917.55m,917550000,2021-05-04 07:11:28.816391
RenVM,Assets,REN,Multi-Chain,-2.84%,+4.97%,+0.97%,$864.11m,864110000,2021-05-04 07:11:28.816391
Nerve,Dexes,NRV,Binance,-,-,+0.44%,$802.23m,802230000,2021-05-04 07:11:28.816391
Anchor,Lending,-,Terra,-,+1.14%,+1.67%,$764.14m,764140000,2021-05-04 07:11:28.816391
Stacks,Protocols,STX,Stacks,-,+1.43%,+2.90%,$738.22m,738220000,2021-05-04 07:11:28.816391
Thorchain,Dexes,RUNE,Binance,+15.65%,+28.06%,+6.12%,$682.38m,682380000,2021-05-04 07:11:28.816391
Tornado Cash,Protocols,-,Ethereum,+10.60%,+43.35%,+2.74%,$585.78m,585780000,2021-05-04 07:11:28.816391
KeeperDAO,Yield,ROOK,Ethereum,+5.44%,+17.15%,+1.72%,$545.87m,545870000,2021-05-04 07:11:28.816391
Nexus Mutual,Insurance,NXM,Ethereum,+9.52%,+33.92%,+2.38%,$543.77m,543770000,2021-05-04 07:11:28.816391
bZx,Lending,BZRX,Ethereum,-3.66%,-18.84%,+1.32%,$525m,525000000,2021-05-04 07:11:28.816391
Harvest Finance,Yield,FARM,Ethereum,-1.35%,-4.18%,-0.22%,$516.7m,516700000,2021-05-04 07:11:28.816391
Fantom,Protocols,FTM,Multi-Chain,-11.14%,+49.37%,+2.29%,$511.4m,511400000,2021-05-04 07:11:28.816391
Integral,Dexes,-,Ethereum,-,-0.75%,+1.57%,$497.69m,497690000,2021-05-04 07:11:28.816391
Fei Protocol,Assets,FEI,Ethereum,-,-60.05%,+2.03%,$462.09m,462090000,2021-05-04 07:11:28.816391
Unit Protocol,Protocols,DUCK,Ethereum,-0.71%,+42.93%,+2.07%,$450.97m,450970000,2021-05-04 07:11:28.816391
ACryptoS,Yield,ACS,Binance,-,+28.69%,-0.19%,$417.17m,417170000,2021-05-04 07:11:28.816391
Serum,Dexes,SRM,Solana,-4.06%,+7.34%,+6.02%,$409.82m,409820000,2021-05-04 07:11:28.816391
KEEP Network,Assets,KEEP,Ethereum,+3.73%,+27.48%,+2.07%,$408.14m,408140000,2021-05-04 07:11:28.816391
Reflexer,Assets,RAI,Ethereum,-,+25.57%,+2.26%,$361.18m,361180000,2021-05-04 07:11:28.816391
Wing Finance,Lending,WING,Ontology,+1.90%,+10.34%,+0.91%,$347.91m,347910000,2021-05-04 07:11:28.816391
1inch,Dexes,1INCH,Ethereum,+1.78%,+16.16%,+0.12%,$344.59m,344590000,2021-05-04 07:11:28.816391
DefiChain,Protocols,DFI,DefiChain,-0.37%,+15.91%,+1.11%,$339.59m,339590000,2021-05-04 07:11:28.816391
CREAM Finance,Lending,CREAM,Ethereum,-1.27%,+7.14%,+1.90%,$333.02m,333020000,2021-05-04 07:11:28.816391
Kava,Lending,KAVA,Multi-Chain,+1.98%,+17.34%,+1.68%,$332.75m,332750000,2021-05-04 07:11:28.816391
Set Protocol,Indexes,-,Ethereum,-,+31.05%,+2.56%,$316.33m,316330000,2021-05-04 07:11:28.816391
Pangolin,Dexes,PNG,Avalanche,-,+45.02%,+2.63%,$307.1m,307100000,2021-05-04 07:11:28.816391
Index Coop,Indexes,INDEX,Ethereum,+4.52%,+39.14%,+3.56%,$266.27m,266270000,2021-05-04 07:11:28.816391
Sablier Finance,Protocols,-,Ethereum,+0.35%,+2.58%,+0.99%,$251.61m,251610000,2021-05-04 07:11:28.816391
B.Protocol,Lending,BPRO,Ethereum,-,-,+1.69%,$243.96m,243960000,2021-05-04 07:11:28.816391
yAxis,Yield,YAX,Ethereum,+11.64%,+5.49%,+0.66%,$239.3m,239300000,2021-05-04 07:11:28.816391
dYdX,Dexes,-,Ethereum,-,-15.42%,+1.74%,$237.48m,237480000,2021-05-04 07:11:28.816391
Loopring,Dexes,LRC,Ethereum,-0.08%,+15.35%,+1.41%,$226.97m,226970000,2021-05-04 07:11:28.816391
StakeHound,Staking,-,Ethereum,-,+32.97%,+2.26%,$213m,213000000,2021-05-04 07:11:28.816391
PoolTogether,Protocols,POOL,Ethereum,-,-4.66%,+0.59%,$212.84m,212840000,2021-05-04 07:11:28.816391
UMA Protocol,Protocols,UMA,Ethereum,+0.14%,+8.21%,+1.44%,$205.41m,205410000,2021-05-04 07:11:28.816391
Idle Finance,Yield,IDLE,Ethereum,+6.53%,+2.74%,-0.29%,$177.87m,177870000,2021-05-04 07:11:28.816391
DODO,Dexes,DODO,Ethereum,+2.02%,+27.71%,+0.65%,$161.18m,161180000,2021-05-04 07:11:28.816391
Ankr,Staking,ANKR,Ethereum,-,+33.50%,+2.26%,$147.82m,147820000,2021-05-04 07:11:28.816391
Goose Finance,Yield,EGG,Binance,+5.21%,+52.53%,-0.25%,$138.35m,138350000,2021-05-04 07:11:28.816391
MANTRA DAO,Protocols,OM,Ethereum,+1.44%,+23.99%,+2.83%,$136.06m,136060000,2021-05-04 07:11:28.816391
Unslashed,Insurance,USF,Ethereum,+9.53%,+33.92%,+2.78%,$136.02m,136020000,2021-05-04 07:11:28.816391
OnX.Finance,Lending,ONX,Ethereum,+7.93%,+30.20%,+3.14%,$134.97m,134970000,2021-05-04 07:11:28.816391
Secret Network,Protocols,SCRT,Secret,+7.13%,+13.47%,+1.55%,$120.45m,120450000,2021-05-04 07:11:28.816391
Secret Bridge,Assets,-,Secret,+7.13%,+13.47%,+1.55%,$120.45m,120450000,2021-05-04 07:11:28.816391
Flamincome,Yield,FLAG,Ethereum,-,+8.38%,+0.90%,$100.54m,100540000,2021-05-04 07:11:28.816391
TrueFi,Lending,TRU,Ethereum,+0.69%,+19.66%,+0.59%,"$96,578,045",96578045,2021-05-04 07:11:28.816391
xToken,Yield,XTK,Ethereum,+1.72%,+37.75%,+2.11%,"$95,688,789",95688789,2021-05-04 07:11:28.816391
StakeDAO,Yield,SDT,Ethereum,-,+10.41%,+1.13%,"$91,039,172",91039172,2021-05-04 07:11:28.816391
Rari Capital,Yield,RGT,Ethereum,+3.11%,+13.90%,+0.11%,"$89,949,301",89949301,2021-05-04 07:11:28.816391
Deus,Protocols,DEUS,Multi-Chain,+11.78%,+20.17%,+1.68%,"$89,619,039",89619039,2021-05-04 07:11:28.816391
Saddle Finance,Dexes,-,Ethereum,-,+5.45%,+0.59%,"$85,897,247",85897247,2021-05-04 07:11:28.816391
StakeWise,Staking,SWISE,Ethereum,-,+58.38%,+2.26%,"$83,359,361",83359361,2021-05-04 07:11:28.816391
Metronome,Assets,MET,Ethereum,-,+33.04%,+2.35%,"$82,817,179",82817179,2021-05-04 07:11:28.816391
