Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-6.19%,+10.99%,-2.18%,$13.45b,13450000000,2021-06-04 08:47:34.417497
Curve,Dexes,CRV,Ethereum,+3.93%,+21.18%,-1.05%,$9.26b,9260000000,2021-06-04 08:47:34.417497
MakerDAO,Protocols,MKR,Ethereum,-4.33%,-5.34%,-2.29%,$8.76b,8760000000,2021-06-04 08:47:34.417497
Compound,Lending,COMP,Ethereum,-3.22%,-2.04%,-1.81%,$7.63b,7630000000,2021-06-04 08:47:34.417497
PancakeSwap,Dexes,CAKE,Binance,-2.94%,+0.43%,+0.92%,$7.52b,7520000000,2021-06-04 08:47:34.417497
WBTC,Assets,WBTC,Ethereum,-5.07%,+0.21%,-2.61%,$6.84b,6840000000,2021-06-04 08:47:34.417497
Uniswap,Dexes,UNI,Ethereum,-6.58%,-2.17%,-2.26%,$5.44b,5440000000,2021-06-04 08:47:34.417497
SushiSwap,Dexes,SUSHI,Ethereum,-0.49%,+13.47%,+0.15%,$4.59b,4590000000,2021-06-04 08:47:34.417497
InstaDApp,Protocols,-,Ethereum,-1.09%,+8.07%,-0.47%,$4.28b,4280000000,2021-06-04 08:47:34.417497
Yearn Finance,Yield,YFI,Ethereum,+5.01%,+11.02%,+5.28%,$4.26b,4260000000,2021-06-04 08:47:34.417497
MDEX,Dexes,MDX,Multi-Chain,-,-,+0.12%,$3.23b,3230000000,2021-06-04 08:47:34.417497
Liquity,Protocols,LQTY,Ethereum,-3.29%,+3.16%,-2.45%,$2.53b,2530000000,2021-06-04 08:47:34.417497
Convex Finance,Yield,CVX,Ethereum,+19.42%,+267%,-0.72%,$2.39b,2390000000,2021-06-04 08:47:34.417497
Balancer,Dexes,BAL,Ethereum,-3.61%,-3.68%,-1.30%,$2.3b,2300000000,2021-06-04 08:47:34.417497
Synthetix,Dexes,SNX,Ethereum,-8.01%,+27.92%,-2.24%,$1.95b,1950000000,2021-06-04 08:47:34.417497
Venus,Lending,XVS,Binance,-6.86%,-16.29%,-2.61%,$1.91b,1910000000,2021-06-04 08:47:34.417497
Uniswap v3,Dexes,UNI,Ethereum,-,-,+0.13%,$1.85b,1850000000,2021-06-04 08:47:34.417497
Mirror,Assets,MIR,Terra,-2.06%,+2.99%,-0.21%,$1.79b,1790000000,2021-06-04 08:47:34.417497
Ellipsis Finance,Dexes,EPS,Binance,+9.83%,+15.27%,-0.03%,$1.6b,1600000000,2021-06-04 08:47:34.417497
Lido,Staking,LDO,Multi-Chain,-5.42%,+8.58%,-3.07%,$1.58b,1580000000,2021-06-04 08:47:34.417497
CREAM Finance,Lending,CREAM,Ethereum,+8.78%,+570%,-1.12%,$1.54b,1540000000,2021-06-04 08:47:34.417497
Bancor,Dexes,BNT,Ethereum,-4.13%,-2.55%,-2.20%,$1.48b,1480000000,2021-06-04 08:47:34.417497
hBTC,Assets,hBTC,Ethereum,-5.33%,-0.54%,-2.61%,$1.17b,1170000000,2021-06-04 08:47:34.417497
Bunny,Yield,BUNNY,Binance,-7.94%,-7.49%,-5.38%,$1.14b,1140000000,2021-06-04 08:47:34.417497
Flexa,Protocols,AMP,Ethereum,-7.21%,-4.15%,-3.00%,$953.28m,953280000,2021-06-04 08:47:34.417497
Autofarm,Yield,AUTO,Multi-Chain,-2.88%,-16.16%,-3.53%,$883.48m,883480000,2021-06-04 08:47:34.417497
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.04%,+18.78%,+1.40%,$780.5m,780500000,2021-06-04 08:47:34.417497
Alchemix,Yield,ALCX,Ethereum,-34.30%,-34.94%,-3.33%,$766.95m,766950000,2021-06-04 08:47:34.417497
Belt Finance,Yield,BELT,Binance,-14.14%,-50.88%,-0.72%,$748.46m,748460000,2021-06-04 08:47:34.417497
Vesper,Yield,VSP,Ethereum,-6.28%,-9.90%,-2.00%,$653.62m,653620000,2021-06-04 08:47:34.417497
Badger DAO,Yield,BADGER,Ethereum,-11.88%,-8.13%,-2.67%,$624.39m,624390000,2021-06-04 08:47:34.417497
Beefy Finance,Yield,BIFI,Multi-Chain,+2.25%,+5.84%,0%,$576.38m,576380000,2021-06-04 08:47:34.417497
Anchor,Lending,ANC,Terra,-4.06%,+11.29%,-0.28%,$540.97m,540970000,2021-06-04 08:47:34.417497
RenVM,Assets,REN,Multi-Chain,-3.87%,-8.50%,-2.00%,$537.72m,537720000,2021-06-04 08:47:34.417497
Sablier Finance,Protocols,-,Ethereum,-6.83%,+350%,-1.45%,$527.68m,527680000,2021-06-04 08:47:34.417497
DefiSaver,Protocols,-,Ethereum,-5.19%,-10.95%,-2.20%,$526.68m,526680000,2021-06-04 08:47:34.417497
Raydium,Dexes,RAY,Solana,-2.59%,+10.58%,-2.03%,$499.07m,499070000,2021-06-04 08:47:34.417497
Unit Protocol,Protocols,DUCK,Ethereum,+22.86%,+41.93%,-2.51%,$473.93m,473930000,2021-06-04 08:47:34.417497
Tornado Cash,Protocols,-,Ethereum,-6.38%,+3.24%,-2.47%,$470.68m,470680000,2021-06-04 08:47:34.417497
Nerve,Dexes,NRV,Binance,+4.90%,+2.44%,-0.23%,$455.07m,455070000,2021-06-04 08:47:34.417497
Nexus Mutual,Insurance,NXM,Ethereum,-3.37%,+0.81%,-2.36%,$437.07m,437070000,2021-06-04 08:47:34.417497
Wault,Yield,WEX,Binance,+5.95%,+19.54%,+0.35%,$436.84m,436840000,2021-06-04 08:47:34.417497
Pangolin,Dexes,PNG,Avalanche,-0.36%,-0.26%,+0.40%,$371.88m,371880000,2021-06-04 08:47:34.417497
Fei Protocol,Assets,FEI,Ethereum,-2.39%,-12.52%,-1.33%,$340.49m,340490000,2021-06-04 08:47:34.417497
Harvest Finance,Yield,FARM,Ethereum,-2.65%,-5.89%,-1.28%,$305.65m,305650000,2021-06-04 08:47:34.417497
DefiChain,Dexes,DFI,DefiChain,-1.59%,+1.75%,-1.87%,$284.45m,284450000,2021-06-04 08:47:34.417497
ACryptoS,Yield,ACS,Binance,+0.85%,+0.25%,+0.01%,$283.8m,283800000,2021-06-04 08:47:34.417497
Set Protocol,Indexes,-,Ethereum,-4.76%,+10.34%,-2.42%,$281.62m,281620000,2021-06-04 08:47:34.417497
Thorchain,Dexes,RUNE,Binance,-9.95%,-26.49%,-6.41%,$260.72m,260720000,2021-06-04 08:47:34.417497
Index Coop,Indexes,INDEX,Ethereum,-3.55%,+13.83%,-1.77%,$248.53m,248530000,2021-06-04 08:47:34.417497
TrueFi,Lending,TRU,Ethereum,+3.34%,+80.56%,-0.56%,$237.73m,237730000,2021-06-04 08:47:34.417497
Wing Finance,Lending,WING,Ontology,-3.01%,+2.92%,-1.81%,$231.68m,231680000,2021-06-04 08:47:34.417497
Dfyn Network,Dexes,DFYN,Polygon,-4.42%,+24.61%,-1.85%,$216.17m,216170000,2021-06-04 08:47:34.417497
Idle Finance,Yield,IDLE,Ethereum,-0.82%,+6.49%,-0.00%,$199.89m,199890000,2021-06-04 08:47:34.417497
ForTube,Lending,FOR,Ethereum,+6595%,+6034%,-2.12%,$193.72m,193720000,2021-06-04 08:47:34.417497
KEEP Network,Assets,KEEP,Ethereum,-4.48%,+0.74%,-2.62%,$191.1m,191100000,2021-06-04 08:47:34.417497
Flamingo Finance,Dexes,FLM,NEO,-7.26%,-1.26%,-0.15%,$190.62m,190620000,2021-06-04 08:47:34.417497
DODO,Dexes,DODO,Ethereum,-,-,-0.20%,$187.86m,187860000,2021-06-04 08:47:34.417497
Kava,Lending,KAVA,Multi-Chain,-7.22%,+11.96%,-4.33%,$182.42m,182420000,2021-06-04 08:47:34.417497
PoolTogether,Protocols,POOL,Ethereum,-10.07%,-4.81%,-0.82%,$181.64m,181640000,2021-06-04 08:47:34.417497
B.Protocol,Lending,BPRO,Ethereum,-4.90%,-3.82%,+2.17%,$180.74m,180740000,2021-06-04 08:47:34.417497
Integral,Dexes,-,Ethereum,+6.52%,+113%,-0.27%,$176.49m,176490000,2021-06-04 08:47:34.417497
StakeHound,Staking,-,Ethereum,-3.50%,+0.66%,-2.44%,$172.39m,172390000,2021-06-04 08:47:34.417497
Serum,Dexes,SRM,Solana,-43.19%,-36.09%,-1.68%,$169m,169000000,2021-06-04 08:47:34.417497
dYdX,Dexes,-,Ethereum,-3.06%,+0.63%,-1.92%,$156.48m,156480000,2021-06-04 08:47:34.417497
BarnBridge,Yield,BOND,Ethereum,+18.89%,+94.67%,+0.02%,$148.57m,148570000,2021-06-04 08:47:34.417497
Loopring,Dexes,LRC,Ethereum,-6.11%,-2.97%,-2.19%,$148.05m,148050000,2021-06-04 08:47:34.417497
Depth,Dexes,DEP,Heco,-4.65%,-27.13%,+0.71%,$146.37m,146370000,2021-06-04 08:47:34.417497
SolFarm,Yield,TULIP,Solana,-0.37%,+46.34%,+0.11%,$140.04m,140040000,2021-06-04 08:47:34.417497
bZx,Lending,BZRX,Ethereum,-8.71%,-7.53%,-3.26%,$132.07m,132070000,2021-06-04 08:47:34.417497
UMA Protocol,Protocols,UMA,Ethereum,+4.09%,+7.21%,+4.77%,$130.82m,130820000,2021-06-04 08:47:34.417497
Ankr,Staking,ANKR,Ethereum,-3.47%,+1.40%,-1.36%,$130.38m,130380000,2021-06-04 08:47:34.417497
Reflexer,Assets,RAI,Ethereum,-4.18%,-4.30%,-2.45%,$113.57m,113570000,2021-06-04 08:47:34.417497
ZilSwap,Dexes,ZWAP,Zilliqa,-2.89%,+0.85%,-0.14%,$103.78m,103780000,2021-06-04 08:47:34.417497
O3 Swap,Dexes,O3,PolyNetwork,-,-,< 0.0001%,$101.68m,101680000,2021-06-04 08:47:34.417497
Unslashed,Insurance,USF,Ethereum,-5.25%,-6.68%,-2.35%,"$97,782,953",97782953,2021-06-04 08:47:34.417497
MANTRA DAO,Protocols,OM,Ethereum,-8.53%,-8.13%,-6.98%,"$90,263,091",90263091,2021-06-04 08:47:34.417497
Pickle,Yield,PICKLE,Ethereum,+0.81%,+5.40%,-2.15%,"$84,253,787",84253787,2021-06-04 08:47:34.417497
Flamincome,Yield,FLAG,Ethereum,-3.88%,+0.60%,-1.61%,"$77,245,232",77245232,2021-06-04 08:47:34.417497
StakeWise,Staking,SWISE,Ethereum,-3.05%,+5.51%,-2.44%,"$77,082,807",77082807,2021-06-04 08:47:34.417497
yAxis,Yield,YAX,Ethereum,-4.08%,+2.66%,-2.56%,"$75,659,069",75659069,2021-06-04 08:47:34.417497
OnX.Finance,Lending,ONX,Ethereum,-6.08%,+0.04%,-2.73%,"$74,999,391",74999391,2021-06-04 08:47:34.417497
