Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-11.31%,-3.42%,-3.46%,$13.07b,13070000000,2021-05-19 08:27:32.870796
MakerDAO,Protocols,MKR,Ethereum,-16.33%,-29.18%,-6.45%,$11.19b,11190000000,2021-05-19 08:27:32.870796
Polygon,Protocols,MATIC,Polygon,+5.31%,+70.21%,+4.76%,$10.81b,10810000000,2021-05-19 08:27:32.870796
PancakeSwap,Dexes,CAKE,Binance,0%,-0.09%,0%,$9.83b,9830000000,2021-05-19 08:27:32.870796
Compound,Lending,COMP,Ethereum,-11.42%,-26.43%,-2.24%,$8.86b,8860000000,2021-05-19 08:27:32.870796
Curve,Dexes,CRV,Ethereum,-7.51%,-10.09%,-3.54%,$8.41b,8410000000,2021-05-19 08:27:32.870796
WBTC,Assets,WBTC,Ethereum,-13.35%,-29.62%,-3.58%,$7.03b,7030000000,2021-05-19 08:27:32.870796
Uniswap,Dexes,UNI,Ethereum,-13.18%,-24.95%,-4.27%,$6.82b,6820000000,2021-05-19 08:27:32.870796
InstaDApp,Protocols,-,Ethereum,-5.69%,-0.62%,-3.12%,$4.81b,4810000000,2021-05-19 08:27:32.870796
SushiSwap,Dexes,SUSHI,Ethereum,-12.04%,-11.74%,-3.18%,$4.6b,4600000000,2021-05-19 08:27:32.870796
Yearn Finance,Yield,YFI,Ethereum,-5.84%,-8.37%,-1.59%,$4.23b,4230000000,2021-05-19 08:27:32.870796
Venus,Lending,XVS,Binance,-30.45%,-45.98%,+1.54%,$3.9b,3900000000,2021-05-19 08:27:32.870796
Bunny,Yield,BUNNY,Binance,-22.41%,-51.53%,+0.48%,$3.28b,3280000000,2021-05-19 08:27:32.870796
Balancer,Dexes,BAL,Ethereum,-7.89%,-16.87%,-0.79%,$3.08b,3080000000,2021-05-19 08:27:32.870796
Liquity,Protocols,LQTY,Ethereum,-16.66%,-38.58%,+0.63%,$2.85b,2850000000,2021-05-19 08:27:32.870796
Ellipsis Finance,Dexes,EPS,Binance,-3.40%,+1.69%,-0.25%,$2.72b,2720000000,2021-05-19 08:27:32.870796
Synthetix,Dexes,SNX,Ethereum,-4.46%,+10.19%,-6.42%,$2.39b,2390000000,2021-05-19 08:27:32.870796
Mirror,Assets,MIR,Terra,-4.75%,-5.61%,-0.47%,$2.06b,2060000000,2021-05-19 08:27:32.870796
Bancor,Dexes,BNT,Ethereum,-11.04%,-25.45%,-3.68%,$1.84b,1840000000,2021-05-19 08:27:32.870796
Lido,Staking,LDO,Multi-Chain,-14.11%,-23.58%,-5.30%,$1.72b,1720000000,2021-05-19 08:27:32.870796
Belt Finance,Yield,BELT,Binance,-27.92%,-,+0.86%,$1.49b,1490000000,2021-05-19 08:27:32.870796
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.43%,-,-2.30%,$1.37b,1370000000,2021-05-19 08:27:32.870796
Alchemix,Yield,ALCX,Ethereum,-7.44%,-19.06%,-0.16%,$1.36b,1360000000,2021-05-19 08:27:32.870796
Autofarm,Yield,AUTO,Multi-Chain,-19.10%,-28.12%,+0.11%,$1.31b,1310000000,2021-05-19 08:27:32.870796
hBTC,Assets,hBTC,Ethereum,-13.59%,-21.73%,-3.59%,$1.25b,1250000000,2021-05-19 08:27:32.870796
Flexa,Protocols,AMP,Ethereum,-12.09%,-26.54%,+0.69%,$1.22b,1220000000,2021-05-19 08:27:32.870796
DefiSaver,Protocols,-,Ethereum,-4.58%,-23.33%,+1.84%,$1.15b,1150000000,2021-05-19 08:27:32.870796
Vesper,Yield,VSP,Ethereum,-14.34%,-32.22%,-3.60%,$1.12b,1120000000,2021-05-19 08:27:32.870796
Uniswap v3,Dexes,UNI,Ethereum,-11.15%,-,+0.65%,$1b,1000000000,2021-05-19 08:27:32.870796
Quickswap,Dexes,QUICK,Polygon,+6.26%,+42.23%,+1.43%,$780.15m,780150000,2021-05-19 08:27:32.870796
Raydium,Dexes,RAY,Solana,-7.37%,-15.12%,-4.60%,$765.5m,765500000,2021-05-19 08:27:32.870796
Badger DAO,Yield,BADGER,Ethereum,-16.22%,-45.76%,-4.55%,$765.46m,765460000,2021-05-19 08:27:32.870796
Anchor,Lending,ANC,Terra,-8.97%,-13.21%,+0.94%,$691.37m,691370000,2021-05-19 08:27:32.870796
RenVM,Assets,REN,Multi-Chain,-11.90%,-23.13%,-4.17%,$658.63m,658630000,2021-05-19 08:27:32.870796
Thorchain,Dexes,RUNE,Binance,-14.25%,-14.10%,+0.30%,$575.83m,575830000,2021-05-19 08:27:32.870796
Unit Protocol,Protocols,DUCK,Ethereum,-4.39%,-11.74%,+1.76%,$551.81m,551810000,2021-05-19 08:27:32.870796
Wault,Yield,WEX,Binance,-20.71%,-40.88%,+0.50%,$544.16m,544160000,2021-05-19 08:27:32.870796
Tornado Cash,Protocols,-,Ethereum,-16.56%,-32.11%,+1.08%,$528.47m,528470000,2021-05-19 08:27:32.870796
Nerve,Dexes,NRV,Binance,-22.46%,-43.66%,+0.53%,$508.63m,508630000,2021-05-19 08:27:32.870796
Nexus Mutual,Insurance,NXM,Ethereum,-16.37%,-31.35%,-5.04%,$480m,480000000,2021-05-19 08:27:32.870796
Harvest Finance,Yield,FARM,Ethereum,-1.95%,-19.73%,-2.44%,$458.32m,458320000,2021-05-19 08:27:32.870796
ACryptoS,Yield,ACS,Binance,-3.72%,+1.20%,0%,$457.76m,457760000,2021-05-19 08:27:32.870796
Fei Protocol,Assets,FEI,Ethereum,-9.54%,-17.20%,+0.34%,$432.31m,432310000,2021-05-19 08:27:32.870796
Fantom,Protocols,FTM,Multi-Chain,+4.11%,-12.18%,+2.35%,$407.11m,407110000,2021-05-19 08:27:32.870796
Stacks,Protocols,STX,Stacks,-14.79%,-36.65%,+1.68%,$325.44m,325440000,2021-05-19 08:27:32.870796
Set Protocol,Indexes,-,Ethereum,-15.83%,-17.90%,+1.32%,$322.6m,322600000,2021-05-19 08:27:32.870796
Pangolin,Dexes,PNG,Avalanche,-0.19%,-13.84%,-0.01%,$319.5m,319500000,2021-05-19 08:27:32.870796
bZx,Lending,BZRX,Ethereum,-15.36%,-37.63%,+1.13%,$315.89m,315890000,2021-05-19 08:27:32.870796
Wing Finance,Lending,WING,Ontology,-5.87%,-20.18%,-3.37%,$304.33m,304330000,2021-05-19 08:27:32.870796
CREAM Finance,Lending,CREAM,Ethereum,-5.19%,-17.06%,+1.42%,$300.85m,300850000,2021-05-19 08:27:32.870796
Index Coop,Indexes,INDEX,Ethereum,-11.77%,-11.17%,-3.57%,$293.92m,293920000,2021-05-19 08:27:32.870796
Serum,Dexes,SRM,Solana,-15.14%,-56.32%,+29.64%,$288.88m,288880000,2021-05-19 08:27:32.870796
Idle Finance,Yield,IDLE,Ethereum,+30.78%,$287.92m,+10.21%,$287.92m,287920000,2021-05-19 08:27:32.870796
KEEP Network,Assets,KEEP,Ethereum,-16.01%,-32.04%,-4.41%,$281.98m,281980000,2021-05-19 08:27:32.870796
DefiChain,Protocols,DFI,DefiChain,-14.08%,-28.23%,-5.09%,$280.33m,280330000,2021-05-19 08:27:32.870796
dYdX,Dexes,-,Ethereum,-10.49%,-16.21%,-2.01%,$267.29m,267290000,2021-05-19 08:27:32.870796
PoolTogether,Protocols,POOL,Ethereum,-3.03%,-5.66%,+0.17%,$221.71m,221710000,2021-05-19 08:27:32.870796
Kava,Lending,KAVA,Multi-Chain,-15.89%,-36.36%,+2.24%,$220.63m,220630000,2021-05-19 08:27:32.870796
Dfyn Network,Dexes,DFYN,Polygon,-9.18%,-,-1.93%,$217.47m,217470000,2021-05-19 08:27:32.870796
Flamingo Finance,Dexes,FLM,NEO,-12.54%,-33.00%,+0.75%,$214.03m,214030000,2021-05-19 08:27:32.870796
Integral,Dexes,-,Ethereum,-17.35%,-51.53%,+0.52%,$200.09m,200090000,2021-05-19 08:27:32.870796
Loopring,Dexes,LRC,Ethereum,-13.17%,-27.59%,-3.64%,$197.32m,197320000,2021-05-19 08:27:32.870796
B.Protocol,Lending,BPRO,Ethereum,-11.91%,-29.27%,+0.93%,$192.78m,192780000,2021-05-19 08:27:32.870796
StakeHound,Staking,-,Ethereum,-16.22%,-29.31%,+0.62%,$190.03m,190030000,2021-05-19 08:27:32.870796
Reflexer,Assets,RAI,Ethereum,-15.36%,-41.03%,+0.62%,$181.51m,181510000,2021-05-19 08:27:32.870796
UMA Protocol,Protocols,UMA,Ethereum,-11.23%,-21.35%,+0.47%,$177.89m,177890000,2021-05-19 08:27:32.870796
Sablier Finance,Protocols,-,Ethereum,-5.88%,-18.92%,+1.03%,$175.42m,175420000,2021-05-19 08:27:32.870796
Convex Finance,Yield,CVX,Ethereum,+64.78%,-,-5.27%,$173.88m,173880000,2021-05-19 08:27:32.870796
DODO,Dexes,DODO,Ethereum,-6.34%,-7.66%,+0.24%,$155.48m,155480000,2021-05-19 08:27:32.870796
