Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+1.28%,-1.76%,-0.83%,$12.12b,12120000000,2021-05-28 08:27:09.507285
MakerDAO,Protocols,MKR,Ethereum,-0.72%,-8.97%,-1.18%,$9.25b,9250000000,2021-05-28 08:27:09.507285
Compound,Lending,COMP,Ethereum,+0.41%,-5.75%,-1.42%,$7.79b,7790000000,2021-05-28 08:27:09.507285
Curve,Dexes,CRV,Ethereum,-0.29%,-2.32%,-1.27%,$7.64b,7640000000,2021-05-28 08:27:09.507285
PancakeSwap,Dexes,CAKE,Binance,-0.24%,-,-1.68%,$7.39b,7390000000,2021-05-28 08:27:09.507285
WBTC,Assets,WBTC,Ethereum,-2.98%,-4.61%,-1.30%,$6.82b,6820000000,2021-05-28 08:27:09.507285
Uniswap,Dexes,UNI,Ethereum,-4.55%,-12.07%,-4.33%,$5.56b,5560000000,2021-05-28 08:27:09.507285
SushiSwap,Dexes,SUSHI,Ethereum,+1.23%,-2.42%,-3.24%,$4.04b,4040000000,2021-05-28 08:27:09.507285
InstaDApp,Protocols,-,Ethereum,-0.65%,-12.07%,-1.06%,$3.96b,3960000000,2021-05-28 08:27:09.507285
Yearn Finance,Yield,YFI,Ethereum,+2.11%,+5.44%,-0.97%,$3.84b,3840000000,2021-05-28 08:27:09.507285
Liquity,Protocols,LQTY,Ethereum,+0.75%,+3.37%,-1.19%,$2.45b,2450000000,2021-05-28 08:27:09.507285
Balancer,Dexes,BAL,Ethereum,-3.35%,-13.51%,-2.28%,$2.39b,2390000000,2021-05-28 08:27:09.507285
Venus,Lending,XVS,Binance,+3.53%,-12.68%,-1.98%,$2.29b,2290000000,2021-05-28 08:27:09.507285
Mirror,Assets,MIR,Terra,+5.01%,-9.57%,+1.67%,$1.74b,1740000000,2021-05-28 08:27:09.507285
Belt Finance,Yield,BELT,Binance,+28.58%,+9.45%,-0.77%,$1.55b,1550000000,2021-05-28 08:27:09.507285
Synthetix,Dexes,SNX,Ethereum,-1.75%,-19.09%,-3.35%,$1.52b,1520000000,2021-05-28 08:27:09.507285
Bancor,Dexes,BNT,Ethereum,+0.69%,-6.86%,-1.71%,$1.52b,1520000000,2021-05-28 08:27:09.507285
Lido,Staking,LDO,Multi-Chain,-2.16%,+49.18%,-2.54%,$1.45b,1450000000,2021-05-28 08:27:09.507285
Ellipsis Finance,Dexes,EPS,Binance,-31.16%,-32.83%,-0.07%,$1.39b,1390000000,2021-05-28 08:27:09.507285
Bunny,Yield,BUNNY,Binance,-9.08%,-,-3.17%,$1.24b,1240000000,2021-05-28 08:27:09.507285
Alchemix,Yield,ALCX,Ethereum,+1.54%,+0.46%,-0.52%,$1.18b,1180000000,2021-05-28 08:27:09.507285
hBTC,Assets,hBTC,Ethereum,-3.35%,-7.78%,-1.30%,$1.18b,1180000000,2021-05-28 08:27:09.507285
Autofarm,Yield,AUTO,Multi-Chain,+4.34%,-7.30%,-1.93%,$1.05b,1050000000,2021-05-28 08:27:09.507285
Flexa,Protocols,AMP,Ethereum,-8.13%,-8.58%,-1.82%,$994.55m,994550000,2021-05-28 08:27:09.507285
Quickswap,Dexes,QUICK,Polygon,+0.40%,+14.93%,+0.22%,$961.21m,961210000,2021-05-28 08:27:09.507285
Vesper,Yield,VSP,Ethereum,-1.17%,-24.40%,-1.04%,$725.4m,725400000,2021-05-28 08:27:09.507285
Badger DAO,Yield,BADGER,Ethereum,-2.29%,-10.28%,-1.61%,$679.63m,679630000,2021-05-28 08:27:09.507285
Alpha Finance,Yield,ALPHA,Multi-Chain,+16.57%,+3.41%,+1.14%,$657.09m,657090000,2021-05-28 08:27:09.507285
Convex Finance,Yield,CVX,Ethereum,+29.18%,+201%,-0.71%,$650.97m,650970000,2021-05-28 08:27:09.507285
DefiSaver,Protocols,-,Ethereum,-5.56%,-,-2.99%,$591.48m,591480000,2021-05-28 08:27:09.507285
RenVM,Assets,REN,Multi-Chain,+1.68%,-9.41%,-1.79%,$587.65m,587650000,2021-05-28 08:27:09.507285
Beefy Finance,Yield,BIFI,Multi-Chain,+2.12%,-,-0.01%,$544.56m,544560000,2021-05-28 08:27:09.507285
Anchor,Lending,ANC,Terra,-6.09%,-,+0.37%,$486.07m,486070000,2021-05-28 08:27:09.507285
Tornado Cash,Protocols,-,Ethereum,-4.95%,-7.12%,-2.73%,$455.89m,455890000,2021-05-28 08:27:09.507285
Raydium,Dexes,RAY,Solana,-2.89%,-23.93%,-2.18%,$451.32m,451320000,2021-05-28 08:27:09.507285
