Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-7.02%,-0.87%,+0.82%,$12.79b,12790000000,2021-05-17 07:25:59.255675
MakerDAO,Protocols,MKR,Ethereum,-12.77%,-,+0.95%,$12.26b,12260000000,2021-05-17 07:25:59.255675
PancakeSwap,Dexes,CAKE,Binance,0%,-0.09%,0%,$9.83b,9830000000,2021-05-17 07:25:59.255675
Compound,Lending,COMP,Ethereum,-9.48%,-17.94%,+0.84%,$9.33b,9330000000,2021-05-17 07:25:59.255675
Polygon,Protocols,MATIC,Polygon,-0.34%,+44.71%,-1.82%,$8.27b,8270000000,2021-05-17 07:25:59.255675
Curve,Dexes,CRV,Ethereum,-8.40%,-10.84%,-0.71%,$8.16b,8160000000,2021-05-17 07:25:59.255675
WBTC,Assets,WBTC,Ethereum,-8.02%,-23.48%,-0.03%,$7.78b,7780000000,2021-05-17 07:25:59.255675
Uniswap,Dexes,UNI,Ethereum,-6.23%,-17.09%,-4.80%,$7.37b,7370000000,2021-05-17 07:25:59.255675
Venus,Lending,XVS,Binance,-7.46%,-28.18%,-1.03%,$5.5b,5500000000,2021-05-17 07:25:59.255675
InstaDApp,Protocols,-,Ethereum,+2.39%,+2.10%,-1.19%,$4.85b,4850000000,2021-05-17 07:25:59.255675
Yearn Finance,Yield,YFI,Ethereum,-6.30%,-0.59%,-4.43%,$4.31b,4310000000,2021-05-17 07:25:59.255675
Bunny,Yield,BUNNY,Binance,-18.98%,-45.20%,-0.70%,$4.08b,4080000000,2021-05-17 07:25:59.255675
SushiSwap,Dexes,SUSHI,Ethereum,-13.23%,-31.55%,-1.24%,$3.87b,3870000000,2021-05-17 07:25:59.255675
Liquity,Protocols,LQTY,Ethereum,-8.68%,-30.84%,-1.17%,$3.23b,3230000000,2021-05-17 07:25:59.255675
Balancer,Dexes,BAL,Ethereum,-9.82%,-14.24%,-2.75%,$3.03b,3030000000,2021-05-17 07:25:59.255675
Ellipsis Finance,Dexes,EPS,Binance,-0.76%,+4.87%,-0.11%,$2.81b,2810000000,2021-05-17 07:25:59.255675
Mirror,Assets,MIR,Terra,-1.67%,-4.78%,-0.01%,$2.12b,2120000000,2021-05-17 07:25:59.255675
Belt Finance,Yield,BELT,Binance,-3.17%,-,-0.96%,$2.11b,2110000000,2021-05-17 07:25:59.255675
Synthetix,Dexes,SNX,Ethereum,-12.43%,-4.83%,-0.17%,$2.02b,2020000000,2021-05-17 07:25:59.255675
Bancor,Dexes,BNT,Ethereum,-10.29%,-22.23%,+0.66%,$1.91b,1910000000,2021-05-17 07:25:59.255675
Lido,Staking,LDO,Multi-Chain,-8.99%,-14.24%,+1.30%,$1.89b,1890000000,2021-05-17 07:25:59.255675
Autofarm,Yield,AUTO,Multi-Chain,-4.82%,-13.71%,-0.30%,$1.53b,1530000000,2021-05-17 07:25:59.255675
Alchemix,Yield,ALCX,Ethereum,-2.90%,-16.62%,-0.61%,$1.42b,1420000000,2021-05-17 07:25:59.255675
hBTC,Assets,hBTC,Ethereum,-9.77%,-16.04%,-0.03%,$1.39b,1390000000,2021-05-17 07:25:59.255675
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.43%,-,-2.30%,$1.37b,1370000000,2021-05-17 07:25:59.255675
Flexa,Protocols,AMP,Ethereum,-11.15%,-23.25%,+0.77%,$1.28b,1280000000,2021-05-17 07:25:59.255675
Vesper,Yield,VSP,Ethereum,-11.29%,-25.33%,+0.05%,$1.25b,1250000000,2021-05-17 07:25:59.255675
DefiSaver,Protocols,-,Ethereum,-16.17%,-21.97%,+0.01%,$1.16b,1160000000,2021-05-17 07:25:59.255675
Uniswap v3,Dexes,UNI,Ethereum,-6.08%,+57.17%,-0.20%,$945.62m,945620000,2021-05-17 07:25:59.255675
Badger DAO,Yield,BADGER,Ethereum,-11.48%,-40.07%,-0.40%,$871.34m,871340000,2021-05-17 07:25:59.255675
Raydium,Dexes,RAY,Solana,+3.09%,-14.20%,+0.72%,$785.25m,785250000,2021-05-17 07:25:59.255675
Anchor,Lending,ANC,Terra,-3.84%,-9.76%,-1.43%,$721.99m,721990000,2021-05-17 07:25:59.255675
RenVM,Assets,REN,Multi-Chain,-4.11%,-19.14%,-0.16%,$720.65m,720650000,2021-05-17 07:25:59.255675
Serum,Dexes,SRM,Solana,+17.59%,-,-5.09%,$663.69m,663690000,2021-05-17 07:25:59.255675
Nerve,Dexes,NRV,Binance,-4.61%,-32.32%,-0.50%,$653.14m,653140000,2021-05-17 07:25:59.255675
Wault,Yield,WEX,Binance,-21.28%,-45.64%,-0.65%,$647.5m,647500000,2021-05-17 07:25:59.255675
Quickswap,Dexes,QUICK,Polygon,-1.63%,+21.88%,-0.52%,$646.53m,646530000,2021-05-17 07:25:59.255675
Thorchain,Dexes,RUNE,Binance,-1.73%,-10.89%,-0.97%,$598.85m,598850000,2021-05-17 07:25:59.255675
Tornado Cash,Protocols,-,Ethereum,-16.01%,-24.24%,-0.96%,$576.07m,576070000,2021-05-17 07:25:59.255675
Nexus Mutual,Insurance,NXM,Ethereum,-13.43%,-19.17%,+0.97%,$536.46m,536460000,2021-05-17 07:25:59.255675
