Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+9.55%,-10.23%,-0.25%,$12.15b,12150000000,2021-05-26 07:40:30.569490
Polygon,Protocols,MATIC,Polygon,+21.22%,+6.23%,+3.03%,$11.1b,11100000000,2021-05-26 07:40:30.569490
MakerDAO,Protocols,MKR,Ethereum,+7.56%,-18.33%,+0.42%,$9.77b,9770000000,2021-05-26 07:40:30.569490
Compound,Lending,COMP,Ethereum,+3.37%,-12.04%,-0.08%,$7.97b,7970000000,2021-05-26 07:40:30.569490
Curve,Dexes,CRV,Ethereum,+6.89%,-13.39%,-0.26%,$7.55b,7550000000,2021-05-26 07:40:30.569490
PancakeSwap,Dexes,CAKE,Binance,-,-,+0.94%,$7.5b,7500000000,2021-05-26 07:40:30.569490
WBTC,Assets,WBTC,Ethereum,+1.93%,-1.96%,-0.23%,$7.15b,7150000000,2021-05-26 07:40:30.569490
Uniswap,Dexes,UNI,Ethereum,+7.24%,-12.28%,-0.66%,$5.99b,5990000000,2021-05-26 07:40:30.569490
InstaDApp,Protocols,-,Ethereum,+4.11%,-17.38%,+0.41%,$4.11b,4110000000,2021-05-26 07:40:30.569490
SushiSwap,Dexes,SUSHI,Ethereum,+10.31%,-16.21%,-0.25%,$3.98b,3980000000,2021-05-26 07:40:30.569490
Yearn Finance,Yield,YFI,Ethereum,+6.81%,-13.17%,+0.41%,$3.73b,3730000000,2021-05-26 07:40:30.569490
Balancer,Dexes,BAL,Ethereum,+3.12%,-19.57%,+0.23%,$2.5b,2500000000,2021-05-26 07:40:30.569490
Liquity,Protocols,LQTY,Ethereum,+7.58%,-20.74%,+0.52%,$2.37b,2370000000,2021-05-26 07:40:30.569490
Venus,Lending,XVS,Binance,+4.60%,-44.80%,-0.57%,$2.24b,2240000000,2021-05-26 07:40:30.569490
Ellipsis Finance,Dexes,EPS,Binance,-0.03%,-25.89%,-0.03%,$2.02b,2020000000,2021-05-26 07:40:30.569490
Synthetix,Dexes,SNX,Ethereum,+12.69%,-32.98%,+0.45%,$1.71b,1710000000,2021-05-26 07:40:30.569490
Mirror,Assets,MIR,Terra,+1.74%,-21.01%,-0.03%,$1.64b,1640000000,2021-05-26 07:40:30.569490
Lido,Staking,LDO,Multi-Chain,+11.12%,-14.08%,-0.75%,$1.56b,1560000000,2021-05-26 07:40:30.569490
Bancor,Dexes,BNT,Ethereum,+10.27%,-20.80%,+0.63%,$1.51b,1510000000,2021-05-26 07:40:30.569490
Bunny,Yield,BUNNY,Binance,+7.28%,-57.07%,-1.55%,$1.46b,1460000000,2021-05-26 07:40:30.569490
hBTC,Assets,hBTC,Ethereum,+1.59%,-3.26%,-0.56%,$1.25b,1250000000,2021-05-26 07:40:30.569490
Belt Finance,Yield,BELT,Binance,+5.57%,-21.45%,-0.07%,$1.2b,1200000000,2021-05-26 07:40:30.569490
Alchemix,Yield,ALCX,Ethereum,+10.38%,-17.83%,-0.23%,$1.16b,1160000000,2021-05-26 07:40:30.569490
Flexa,Protocols,AMP,Ethereum,+20.48%,-17.70%,-0.25%,$1.05b,1050000000,2021-05-26 07:40:30.569490
Autofarm,Yield,AUTO,Multi-Chain,-,-25.57%,-0.21%,$1.03b,1030000000,2021-05-26 07:40:30.569490
Quickswap,Dexes,QUICK,Polygon,+15.16%,+24.84%,+0.94%,$983.81m,983810000,2021-05-26 07:40:30.569490
Badger DAO,Yield,BADGER,Ethereum,+3.14%,-10.36%,-0.76%,$718.92m,718920000,2021-05-26 07:40:30.569490
Vesper,Yield,VSP,Ethereum,-2.36%,-38.43%,+0.11%,$716.55m,716550000,2021-05-26 07:40:30.569490
DefiSaver,Protocols,-,Ethereum,-,-,-43.42%,$647.95m,647950000,2021-05-26 07:40:30.569490
Alpha Finance,Yield,ALPHA,Multi-Chain,+11.27%,-,+0.89%,$605.22m,605220000,2021-05-26 07:40:30.569490
RenVM,Assets,REN,Multi-Chain,-2.51%,-16.56%,-0.24%,$573.48m,573480000,2021-05-26 07:40:30.569490
Anchor,Lending,ANC,Terra,+14.95%,-23.79%,-0.63%,$553.43m,553430000,2021-05-26 07:40:30.569490
Beefy Finance,Yield,BIFI,Multi-Chain,-,-,0%,$508.55m,508550000,2021-05-26 07:40:30.569490
Tornado Cash,Protocols,-,Ethereum,+7.45%,-9.84%,-0.46%,$496.84m,496840000,2021-05-26 07:40:30.569490
Nexus Mutual,Insurance,NXM,Ethereum,+8.34%,-10.05%,+0.52%,$454.68m,454680000,2021-05-26 07:40:30.569490
Nerve,Dexes,NRV,Binance,+3.21%,-15.17%,+0.09%,$441.94m,441940000,2021-05-26 07:40:30.569490
Convex Finance,Yield,CVX,Ethereum,+27.27%,+134%,-0.19%,$429.79m,429790000,2021-05-26 07:40:30.569490
Raydium,Dexes,RAY,Solana,+5.11%,-46.88%,-0.13%,$426.23m,426230000,2021-05-26 07:40:30.569490
Fei Protocol,Assets,FEI,Ethereum,+2.89%,-8.63%,+0.80%,$404.55m,404550000,2021-05-26 07:40:30.569490
Thorchain,Dexes,RUNE,Binance,+18.57%,-36.04%,-1.77%,$388.59m,388590000,2021-05-26 07:40:30.569490
Wault,Yield,WEX,Binance,+6.50%,-35.27%,-0.79%,$382.45m,382450000,2021-05-26 07:40:30.569490
Stacks,Protocols,STX,Stacks,+3.71%,+9.22%,+0.98%,$373.07m,373070000,2021-05-26 07:40:30.569490
Pangolin,Dexes,PNG,Avalanche,+0.59%,+15.64%,-0.23%,$366.21m,366210000,2021-05-26 07:40:30.569490
Unit Protocol,Protocols,DUCK,Ethereum,+13.81%,-36.71%,+1.62%,$365.72m,365720000,2021-05-26 07:40:30.569490
Harvest Finance,Yield,FARM,Ethereum,+4.11%,-30.49%,-0.51%,$326.56m,326560000,2021-05-26 07:40:30.569490
ACryptoS,Yield,ACS,Binance,+7.09%,-36.69%,+3.77%,$294.08m,294080000,2021-05-26 07:40:30.569490
DefiChain,Protocols,DFI,DefiChain,-4.86%,$280.98m,+4.54%,$280.98m,280980000,2021-05-26 07:40:30.569490
Set Protocol,Indexes,-,Ethereum,+7.97%,-25.31%,-0.04%,$252.42m,252420000,2021-05-26 07:40:30.569490
CREAM Finance,Lending,CREAM,Ethereum,+7.73%,-14.97%,-0.58%,$252.23m,252230000,2021-05-26 07:40:30.569490
Serum,Dexes,SRM,Solana,-9.91%,-18.70%,-11.46%,$248.29m,248290000,2021-05-26 07:40:30.569490
Fantom,Protocols,FTM,Multi-Chain,+10.28%,-46.71%,+1.87%,$232.04m,232040000,2021-05-26 07:40:30.569490
Depth,Dexes,DEP,Heco,-7.96%,-,-0.01%,$230.84m,230840000,2021-05-26 07:40:30.569490
Wing Finance,Lending,WING,Ontology,+4.46%,-29.72%,+0.18%,$221.34m,221340000,2021-05-26 07:40:30.569490
Index Coop,Indexes,INDEX,Ethereum,+10.19%,-27.51%,-0.95%,$220.94m,220940000,2021-05-26 07:40:30.569490
KEEP Network,Assets,KEEP,Ethereum,+4.98%,-31.94%,-0.36%,$200.77m,200770000,2021-05-26 07:40:30.569490
Flamingo Finance,Dexes,FLM,NEO,+13.08%,-8.74%,+0.27%,$198.51m,198510000,2021-05-26 07:40:30.569490
B.Protocol,Lending,BPRO,Ethereum,+6.30%,-0.02%,+0.31%,$196.18m,196180000,2021-05-26 07:40:30.569490
PoolTogether,Protocols,POOL,Ethereum,+2.96%,-17.92%,-0.29%,$183.38m,183380000,2021-05-26 07:40:30.569490
Loopring,Dexes,LRC,Ethereum,+14.72%,-10.89%,-1.02%,$182.46m,182460000,2021-05-26 07:40:30.569490
StakeHound,Staking,-,Ethereum,+8.35%,-10.25%,+0.52%,$179.56m,179560000,2021-05-26 07:40:30.569490
