Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-2.35%,+28.04%,+0.48%,$11.55b,11550000000,2021-05-06 06:55:44.363017
Compound,Lending,COMP,Ethereum,+3.90%,+11.26%,+0.02%,$10.04b,10040000000,2021-05-06 06:55:44.363017
WBTC,Assets,WBTC,Ethereum,+4.79%,+15.04%,+0.55%,$9.77b,9770000000,2021-05-06 06:55:44.363017
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-06 06:55:44.363017
Uniswap,Dexes,UNI,Ethereum,+0.58%,-6.78%,+0.01%,$8.56b,8560000000,2021-05-06 06:55:44.363017
Curve,Dexes,CRV,Ethereum,+3.76%,+16.16%,+0.67%,$7.75b,7750000000,2021-05-06 06:55:44.363017
Bunny,Yield,BUNNY,Binance,+0.96%,+10.06%,+0.27%,$7.36b,7360000000,2021-05-06 06:55:44.363017
Venus,Lending,XVS,Binance,+5.72%,+37.40%,-0.79%,$7.19b,7190000000,2021-05-06 06:55:44.363017
SushiSwap,Dexes,SUSHI,Ethereum,+4.43%,+19.18%,+0.11%,$5.36b,5360000000,2021-05-06 06:55:44.363017
PancakeSwap,Dexes,CAKE,Binance,-49.95%,-1.50%,0%,$5.11b,5110000000,2021-05-06 06:55:44.363017
Polygon,Protocols,MATIC,Polygon,+6.69%,+33.81%,-0.13%,$4.89b,4890000000,2021-05-06 06:55:44.363017
InstaDApp,Protocols,-,Ethereum,+10.35%,+23.78%,0%,$4.2b,4200000000,2021-05-06 06:55:44.363017
Liquity,Protocols,LQTY,Ethereum,+5.76%,+26.36%,+1.01%,$3.98b,3980000000,2021-05-06 06:55:44.363017
Yearn Finance,Yield,YFI,Ethereum,+4.78%,+27.23%,0%,$3.73b,3730000000,2021-05-06 06:55:44.363017
Balancer,Dexes,BAL,Ethereum,+3.27%,+16.30%,+0.02%,$3.5b,3500000000,2021-05-06 06:55:44.363017
Ellipsis Finance,Dexes,EPS,Binance,-1.41%,+7.17%,-0.00%,$2.74b,2740000000,2021-05-06 06:55:44.363017
Bancor,Dexes,BNT,Ethereum,+4.09%,+21.85%,-0.45%,$2.25b,2250000000,2021-05-06 06:55:44.363017
Mirror,Assets,MIR,Terra,+0.85%,+7.24%,+0.21%,$2.14b,2140000000,2021-05-06 06:55:44.363017
Synthetix,Dexes,SNX,Ethereum,+5.46%,+5.96%,+0.22%,$2.07b,2070000000,2021-05-06 06:55:44.363017
Autofarm,Yield,AUTO,Multi-Chain,+2.71%,+33.81%,-0.20%,$1.82b,1820000000,2021-05-06 06:55:44.363017
Lido,Staking,LDO,Multi-Chain,+3.58%,+23.65%,-0.72%,$1.72b,1720000000,2021-05-06 06:55:44.363017
hBTC,Assets,hBTC,Ethereum,+4.63%,+5.94%,+0.55%,$1.6b,1600000000,2021-05-06 06:55:44.363017
Vesper,Yield,VSP,Ethereum,+4.48%,+17.87%,+0.35%,$1.49b,1490000000,2021-05-06 06:55:44.363017
Flexa,Protocols,AMP,Ethereum,+12.95%,+18.43%,-0.19%,$1.49b,1490000000,2021-05-06 06:55:44.363017
Alchemix,Yield,ALCX,Ethereum,+5.32%,+25.82%,+0.76%,$1.42b,1420000000,2021-05-06 06:55:44.363017
Badger DAO,Yield,BADGER,Ethereum,+4.27%,+33.63%,-0.26%,$1.42b,1420000000,2021-05-06 06:55:44.363017
Alpha Finance,Yield,ALPHA,Multi-Chain,-,-,-0.46%,$1.28b,1280000000,2021-05-06 06:55:44.363017
DefiSaver,Protocols,-,Ethereum,+7.39%,+36.96%,-0.57%,$1.23b,1230000000,2021-05-06 06:55:44.363017
Nerve,Dexes,NRV,Binance,+3.78%,+67.40%,+40.73%,$913.92m,913920000,2021-05-06 06:55:44.363017
RenVM,Assets,REN,Multi-Chain,+4.27%,+16.48%,+0.73%,$903.58m,903580000,2021-05-06 06:55:44.363017
Raydium,Dexes,RAY,Solana,-0.33%,+18.44%,+0.57%,$902.1m,902100000,2021-05-06 06:55:44.363017
ValueDefi,Yield,VALUE,Multi-Chain,-8.69%,-4.30%,+0.54%,$847.17m,847170000,2021-05-06 06:55:44.363017
Anchor,Lending,ANC,Terra,-3.75%,+11.02%,+0.07%,$743.42m,743420000,2021-05-06 06:55:44.363017
Stacks,Protocols,STX,Stacks,+3.00%,-3.74%,0%,$713.96m,713960000,2021-05-06 06:55:44.363017
Thorchain,Dexes,RUNE,Binance,+2.93%,+27.60%,+0.65%,$693.02m,693020000,2021-05-06 06:55:44.363017
Tornado Cash,Protocols,-,Ethereum,+8.17%,+40.36%,+0.34%,$626.17m,626170000,2021-05-06 06:55:44.363017
Fantom,Protocols,FTM,Multi-Chain,+13.90%,+8.70%,-2.38%,$579.19m,579190000,2021-05-06 06:55:44.363017
Nexus Mutual,Insurance,NXM,Ethereum,+5.87%,+30.19%,+0.21%,$568.86m,568860000,2021-05-06 06:55:44.363017
KeeperDAO,Yield,ROOK,Ethereum,+4.99%,+19.35%,+0.26%,$566.45m,566450000,2021-05-06 06:55:44.363017
bZx,Lending,BZRX,Ethereum,+2.38%,-5.26%,-0.33%,$554.03m,554030000,2021-05-06 06:55:44.363017
