Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+8.16%,+73.89%,+0.06%,$11.32b,11320000000,2021-05-03 06:41:09.987861
PancakeSwap,Dexes,CAKE,Binance,+7.70%,+32.93%,0%,$10.46b,10460000000,2021-05-03 06:41:09.987861
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-03 06:41:09.987861
WBTC,Assets,WBTC,Ethereum,+4.78%,+17.83%,-0.07%,$9.69b,9690000000,2021-05-03 06:41:09.987861
Compound,Lending,COMP,Ethereum,+1.16%,+4.94%,+0.04%,$9.33b,9330000000,2021-05-03 06:41:09.987861
Uniswap,Dexes,UNI,Ethereum,+3.05%,-5.44%,+0.06%,$8.17b,8170000000,2021-05-03 06:41:09.987861
Bunny,Yield,BUNNY,Binance,+4.77%,+59.12%,-0.31%,$7.5b,7500000000,2021-05-03 06:41:09.987861
Curve,Dexes,CRV,Ethereum,+2.19%,+11.79%,-0.08%,$7.2b,7200000000,2021-05-03 06:41:09.987861
Venus,Lending,XVS,Binance,+5.12%,+39.75%,+0.09%,$6.52b,6520000000,2021-05-03 06:41:09.987861
SushiSwap,Dexes,SUSHI,Ethereum,+2.78%,+30.61%,+0.04%,$5.37b,5370000000,2021-05-03 06:41:09.987861
Polygon,Protocols,MATIC,Polygon,+2.91%,+185%,+0.55%,$4.93b,4930000000,2021-05-03 06:41:09.987861
InstaDApp,Protocols,-,Ethereum,+1.13%,+29.08%,-0.07%,$3.59b,3590000000,2021-05-03 06:41:09.987861
Liquity,Protocols,LQTY,Ethereum,+1.92%,+23.53%,+0.15%,$3.44b,3440000000,2021-05-03 06:41:09.987861
Yearn Finance,Yield,YFI,Ethereum,+2.94%,+9.57%,-0.00%,$3.39b,3390000000,2021-05-03 06:41:09.987861
Balancer,Dexes,BAL,Ethereum,+3.66%,+22.73%,+0.01%,$3.33b,3330000000,2021-05-03 06:41:09.987861
Ellipsis Finance,Dexes,EPS,Binance,-20.57%,-27.63%,+0.11%,$2.1b,2100000000,2021-05-03 06:41:09.987861
Bancor,Dexes,BNT,Ethereum,+2.02%,+21.42%,-0.18%,$2.08b,2080000000,2021-05-03 06:41:09.987861
Synthetix,Dexes,SNX,Ethereum,+17.29%,$2.06b,-0.34%,$2.06b,2060000000,2021-05-03 06:41:09.987861
Mirror,Assets,MIR,Terra,+0.25%,+5.83%,+0.15%,$2.05b,2050000000,2021-05-03 06:41:09.987861
Autofarm,Yield,AUTO,Multi-Chain,+8.93%,+122%,-0.22%,$1.73b,1730000000,2021-05-03 06:41:09.987861
Lido,Staking,LDO,Multi-Chain,+7.65%,+19.22%,-0.28%,$1.65b,1650000000,2021-05-03 06:41:09.987861
hBTC,Assets,hBTC,Ethereum,+1.65%,+10.42%,-0.06%,$1.61b,1610000000,2021-05-03 06:41:09.987861
Vesper,Yield,VSP,Ethereum,-7.38%,+14.02%,+0.09%,$1.36b,1360000000,2021-05-03 06:41:09.987861
Flexa,Protocols,AMP,Ethereum,+1.46%,+1.35%,-0.07%,$1.36b,1360000000,2021-05-03 06:41:09.987861
Badger DAO,Yield,BADGER,Ethereum,+32.37%,+30.22%,-0.01%,$1.32b,1320000000,2021-05-03 06:41:09.987861
Alchemix,Yield,ALCX,Ethereum,+3.64%,+6.63%,+0.14%,$1.28b,1280000000,2021-05-03 06:41:09.987861
DefiSaver,Protocols,-,Ethereum,+5.15%,+27.98%,-0.42%,$1.04b,1040000000,2021-05-03 06:41:09.987861
Raydium,Dexes,RAY,Solana,+9.08%,+78.85%,+1.72%,$977.37m,977370000,2021-05-03 06:41:09.987861
ValueDefi,Yield,VALUE,Multi-Chain,+2.16%,+3.48%,-0.02%,$973.96m,973960000,2021-05-03 06:41:09.987861
Alpha Finance,Yield,ALPHA,Multi-Chain,-6.68%,-3.61%,+0.54%,$917.55m,917550000,2021-05-03 06:41:09.987861
RenVM,Assets,REN,Multi-Chain,+3.52%,+12.78%,-0.40%,$888.93m,888930000,2021-05-03 06:41:09.987861
Anchor,Lending,-,Terra,+3.41%,+5.39%,-0.19%,$785.54m,785540000,2021-05-03 06:41:09.987861
Stacks,Protocols,STX,Stacks,-,-,-,$718.47m,718470000,2021-05-03 06:41:09.987861
Nerve,Dexes,NRV,Binance,+16.70%,-,+0.06%,$698.02m,698020000,2021-05-03 06:41:09.987861
Thorchain,Dexes,RUNE,Binance,+3.51%,+17.35%,+0.56%,$590.04m,590040000,2021-05-03 06:41:09.987861
Fantom,Protocols,FTM,Multi-Chain,-8.45%,+104%,-0.01%,$575.54m,575540000,2021-05-03 06:41:09.987861
bZx,Lending,BZRX,Ethereum,+4.23%,-12.46%,+0.03%,$544.95m,544950000,2021-05-03 06:41:09.987861
Tornado Cash,Protocols,-,Ethereum,+5.29%,+32.16%,+0.27%,$529.62m,529620000,2021-05-03 06:41:09.987861
Harvest Finance,Yield,FARM,Ethereum,-1.23%,-1.96%,0%,$523.79m,523790000,2021-05-03 06:41:09.987861
KeeperDAO,Yield,ROOK,Ethereum,+2.86%,+11.46%,+0.23%,$517.71m,517710000,2021-05-03 06:41:09.987861
Nexus Mutual,Insurance,NXM,Ethereum,+4.31%,+23.73%,-0.39%,$494.71m,494710000,2021-05-03 06:41:09.987861
Integral,Dexes,-,Ethereum,+0.56%,-6.62%,+0.16%,$474.45m,474450000,2021-05-03 06:41:09.987861
Unit Protocol,Protocols,DUCK,Ethereum,+4.58%,+52.27%,+1.25%,$454.22m,454220000,2021-05-03 06:41:09.987861
Fei Protocol,Assets,FEI,Ethereum,+0.52%,-60.97%,+0.26%,$428.49m,428490000,2021-05-03 06:41:09.987861
Serum,Dexes,SRM,Solana,-4.06%,+7.34%,+6.02%,$409.82m,409820000,2021-05-03 06:41:09.987861
ACryptoS,Yield,ACS,Binance,-2.36%,+36.78%,+0.59%,$399.3m,399300000,2021-05-03 06:41:09.987861
KEEP Network,Assets,KEEP,Ethereum,+3.88%,+24.57%,+0.11%,$393.46m,393460000,2021-05-03 06:41:09.987861
Wing Finance,Lending,WING,Ontology,+2.57%,+13.24%,+0.04%,$341.43m,341430000,2021-05-03 06:41:09.987861
DefiChain,Protocols,DFI,DefiChain,+2.87%,+21.53%,+0.01%,$340.83m,340830000,2021-05-03 06:41:09.987861
1inch,Dexes,1INCH,Ethereum,+3.66%,+21.12%,+0.05%,$338.55m,338550000,2021-05-03 06:41:09.987861
CREAM Finance,Lending,CREAM,Ethereum,+4.59%,+16.07%,+0.45%,$337.32m,337320000,2021-05-03 06:41:09.987861
Kava,Lending,KAVA,Multi-Chain,+2.24%,+18.50%,-0.05%,$326.31m,326310000,2021-05-03 06:41:09.987861
Reflexer,Assets,RAI,Ethereum,-0.34%,+20.11%,+0.30%,$321.37m,321370000,2021-05-03 06:41:09.987861
Set Protocol,Indexes,-,Ethereum,+2.90%,+34.74%,-0.03%,$290.66m,290660000,2021-05-03 06:41:09.987861
Pangolin,Dexes,PNG,Avalanche,+3.92%,+54.36%,+1.10%,$286.23m,286230000,2021-05-03 06:41:09.987861
Index Coop,Indexes,INDEX,Ethereum,+8.23%,+40.54%,-0.40%,$253.72m,253720000,2021-05-03 06:41:09.987861
Sablier Finance,Protocols,-,Ethereum,+0.55%,+0.35%,-0.01%,$250.73m,250730000,2021-05-03 06:41:09.987861
Loopring,Dexes,LRC,Ethereum,+3.01%,+18.28%,-0.21%,$226.78m,226780000,2021-05-03 06:41:09.987861
dYdX,Dexes,-,Ethereum,+5.60%,-19.56%,-0.12%,$222.3m,222300000,2021-05-03 06:41:09.987861
B.Protocol,Lending,BPRO,Ethereum,+39.92%,-,-0.08%,$214.47m,214470000,2021-05-03 06:41:09.987861
yAxis,Yield,YAX,Ethereum,+4.89%,+27.57%,+0.03%,$214.35m,214350000,2021-05-03 06:41:09.987861
PoolTogether,Protocols,POOL,Ethereum,-2.05%,-6.62%,-0.17%,$210.22m,210220000,2021-05-03 06:41:09.987861
UMA Protocol,Protocols,UMA,Ethereum,+2.18%,+7.74%,+0.09%,$204.83m,204830000,2021-05-03 06:41:09.987861
StakeHound,Staking,-,Ethereum,+1.89%,+25.32%,+0.26%,$187.75m,187750000,2021-05-03 06:41:09.987861
Idle Finance,Yield,IDLE,Ethereum,-4.77%,$166.96m,+0.71%,$166.96m,166960000,2021-05-03 06:41:09.987861
DODO,Dexes,DODO,Ethereum,+3.16%,+26.35%,+0.32%,$157.89m,157890000,2021-05-03 06:41:09.987861
MANTRA DAO,Protocols,OM,Ethereum,+5.33%,+27.73%,+0.26%,$134.13m,134130000,2021-05-03 06:41:09.987861
Goose Finance,Yield,EGG,Binance,+3.62%,+33.81%,+0.04%,$131.5m,131500000,2021-05-03 06:41:09.987861
Ankr,Staking,ANKR,Ethereum,+2.01%,+25.88%,+0.26%,$130.17m,130170000,2021-05-03 06:41:09.987861
OnX.Finance,Lending,ONX,Ethereum,+2.32%,+23.66%,-0.27%,$125.01m,125010000,2021-05-03 06:41:09.987861
Unslashed,Insurance,USF,Ethereum,+4.37%,+24.27%,+0.39%,$124.18m,124180000,2021-05-03 06:41:09.987861
Secret Network,Protocols,SCRT,Secret,+3.09%,+11.04%,+0.35%,$112.44m,112440000,2021-05-03 06:41:09.987861
Secret Bridge,Assets,-,Secret,+3.09%,+11.04%,+0.35%,$112.44m,112440000,2021-05-03 06:41:09.987861
Flamincome,Yield,FLAG,Ethereum,-0.60%,+11.33%,+0.03%,"$98,490,521",98490521,2021-05-03 06:41:09.987861
TrueFi,Lending,TRU,Ethereum,+5.12%,+19.63%,-,"$95,587,993",95587993,2021-05-03 06:41:09.987861
xToken,Yield,XTK,Ethereum,+2.46%,+41.52%,-0.23%,"$93,843,766",93843766,2021-05-03 06:41:09.987861
Rari Capital,Yield,RGT,Ethereum,+3.11%,+13.90%,+0.11%,"$89,949,301",89949301,2021-05-03 06:41:09.987861
