,Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
101,cVault.finance,Assets,CORE,Ethereum,+0.94%,+12.96%,-0.36%,"$48,526,059",48526059,2021-04-30 23:59:00.921556
102,Kyber,Dexes,KNC,Ethereum,-6.51%,+12.68%,+0.34%,"$46,287,320",46287320,2021-04-30 23:59:00.921556
103,88mph,Yield,MPH,Ethereum,+2.66%,+4.51%,-0.02%,"$44,794,177",44794177,2021-04-30 23:59:00.921556
104,SharedStake,Staking,SGT,Ethereum,+1.36%,+10.94%,-0.24%,"$44,679,831",44679831,2021-04-30 23:59:00.921556
105,Zookeeper,Yield,ZOO,Wanchain,+7.19%,+38.59%,+4.58%,"$42,107,422",42107422,2021-04-30 23:59:00.921556
106,Mimo Defi,Lending,MIMO,Ethereum,+2.57%,+16.81%,-0.05%,"$41,108,329",41108329,2021-04-30 23:59:00.921556
107,Bella Protocol,Yield,BEL,Ethereum,+7.71%,+20.09%,-0.59%,"$39,325,990",39325990,2021-04-30 23:59:00.921556
108,DerivaDEX,Dexes,DDX,Ethereum,+0.82%,+7.71%,-0.01%,"$38,128,192",38128192,2021-04-30 23:59:00.921556
109,Pickle,Yield,PICKLE,Ethereum,+3.13%,+10.18%,-1.57%,"$37,505,769",37505769,2021-04-30 23:59:00.921556
110,Indexed Finance,Indexes,NDX,Ethereum,+9.06%,+31.67%,-0.45%,"$36,366,077",36366077,2021-04-30 23:59:00.921556
111,Serum Swap,Dexes,SRM,Solana,+39.86%,+13.73%,0%,"$33,878,811",33878811,2021-04-30 23:59:00.921556
112,dHEDGE,Protocols,DHT,Ethereum,+5.11%,+17.46%,+0.92%,"$31,978,567",31978567,2021-04-30 23:59:00.921556
113,Enzyme Finance,Yield,MLN,Ethereum,+7.59%,+22.06%,-0.12%,"$31,015,525",31015525,2021-04-30 23:59:00.921556
114,Opyn,Options,-,Ethereum,+103%,+129%,-0.20%,"$29,406,224",29406224,2021-04-30 23:59:00.921556
115,ACoconut,Yield,AC,Multi-Chain,+1.75%,-20.06%,-0.05%,"$28,463,747",28463747,2021-04-30 23:59:00.921556
116,Gnosis,Dexes,GNO,Ethereum,+1.63%,+127%,+85.82%,"$27,971,049",27971049,2021-04-30 23:59:00.921556
117,PowerPool,Indexes,CVP,Ethereum,+2.65%,+11.49%,-0.42%,"$27,025,281",27025281,2021-04-30 23:59:00.921556
118,WePiggy,Lending,WPC,Ethereum,+3.04%,+22.56%,+0.02%,"$25,784,307",25784307,2021-04-30 23:59:00.921556
119,IDEX,Dexes,IDEX,Ethereum,+2.02%,+6.28%,-0.32%,"$25,290,958",25290958,2021-04-30 23:59:00.921556
120,Cryptex,Indexes,CTX,Ethereum,-1.58%,-36.87%,-0.59%,"$24,855,984",24855984,2021-04-30 23:59:00.921556
121,Swerve,Dexes,SWRV,Ethereum,+9.86%,+8.38%,< 0.0001%,"$22,738,900",22738900,2021-04-30 23:59:00.921556
122,Cometh,Dexes,MUST,Polygon,+8.71%,+19.86%,-0.29%,"$22,055,798",22055798,2021-04-30 23:59:00.921556
123,DeversiFi,Dexes,NEC,Ethereum,-3.91%,+12.19%,-0.50%,"$21,103,827",21103827,2021-04-30 23:59:00.921556
124, Mushrooms Finan...,Yield,MM,Ethereum,+4.84%,+62.58%,-0.02%,"$19,774,773",19774773,2021-04-30 23:59:00.921556
125,Perlin,Dexes,PERL,Ethereum,+10.18%,+38.98%,-0.84%,"$19,717,484",19717484,2021-04-30 23:59:00.921556
126,Ribbon Finance,Options,-,Ethereum,+3.27%,+723%,-0.04%,"$19,492,309",19492309,2021-04-30 23:59:00.921556
127,Mango Markets,Lending,-,Solana,+4.47%,+16.57%,-0.30%,"$19,360,749",19360749,2021-04-30 23:59:00.921556
128,Snowball,Yield,SNOB,Avalanche,+24.64%,+78.50%,-0.21%,"$18,789,949",18789949,2021-04-30 23:59:00.921556
129,Notional,Lending,-,Ethereum,+1.77%,-1.84%,-0.02%,"$17,771,920",17771920,2021-04-30 23:59:00.921556
130,Erasure,Protocols,NMR,Ethereum,+9.39%,+16.26%,+0.09%,"$17,657,023",17657023,2021-04-30 23:59:00.921556
131,Unagii,Yield,-,Ethereum,+3.39%,+19.87%,-0.05%,"$16,077,608",16077608,2021-04-30 23:59:00.921556
132,PieDAO,Indexes,DOUGH,Ethereum,+3.61%,+13.68%,-0.31%,"$16,049,531",16049531,2021-04-30 23:59:00.921556
133,Energiswap,Protocols,NRG,Energi,+1.63%,+4.36%,0%,"$14,155,834",14155834,2021-04-30 23:59:00.921556
134,DefiDollar,Protocols,DFD,Ethereum,-1.51%,+1.15%,0%,"$13,100,003",13100003,2021-04-30 23:59:00.921556
135,Fuse,Protocols,FUSE,Multi-Chain,+1.53%,+16.03%,-0.18%,"$12,957,832",12957832,2021-04-30 23:59:00.921556
136,FinNexus,Options,FNX,Multi-Chain,-0.80%,-3.47%,-0.01%,"$12,728,614",12728614,2021-04-30 23:59:00.921556
