Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-0.20%,+10.84%,-0.37%,$13.62b,13620000000,2021-06-02 08:44:46.528567
MakerDAO,Protocols,MKR,Ethereum,-1.61%,-11.43%,-0.68%,$8.67b,8670000000,2021-06-02 08:44:46.528567
Curve,Dexes,CRV,Ethereum,+0.45%,+7.46%,+0.38%,$8.16b,8160000000,2021-06-02 08:44:46.528567
PancakeSwap,Dexes,CAKE,Binance,+0.83%,-0.81%,+0.14%,$7.52b,7520000000,2021-06-02 08:44:46.528567
Compound,Lending,COMP,Ethereum,-2.83%,-8.00%,-0.40%,$7.35b,7350000000,2021-06-02 08:44:46.528567
WBTC,Assets,WBTC,Ethereum,-1.38%,-4.13%,+0.67%,$6.85b,6850000000,2021-06-02 08:44:46.528567
Uniswap,Dexes,UNI,Ethereum,-2.42%,-7.91%,+0.43%,$5.51b,5510000000,2021-06-02 08:44:46.528567
SushiSwap,Dexes,SUSHI,Ethereum,-1.30%,+9.03%,-0.05%,$4.35b,4350000000,2021-06-02 08:44:46.528567
InstaDApp,Protocols,-,Ethereum,-0.14%,+3.71%,+0.13%,$4.22b,4220000000,2021-06-02 08:44:46.528567
Yearn Finance,Yield,YFI,Ethereum,+0.67%,+5.71%,+0.17%,$3.94b,3940000000,2021-06-02 08:44:46.528567
Liquity,Protocols,LQTY,Ethereum,-0.94%,+5.40%,-0.75%,$2.46b,2460000000,2021-06-02 08:44:46.528567
Balancer,Dexes,BAL,Ethereum,-1.34%,-4.19%,+0.02%,$2.39b,2390000000,2021-06-02 08:44:46.528567
Venus,Lending,XVS,Binance,-3.89%,-9.50%,+0.31%,$2.04b,2040000000,2021-06-02 08:44:46.528567
Mirror,Assets,MIR,Terra,+0.87%,+9.25%,-0.16%,$1.79b,1790000000,2021-06-02 08:44:46.528567
Ellipsis Finance,Dexes,EPS,Binance,+1.01%,-21.29%,+0.01%,$1.59b,1590000000,2021-06-02 08:44:46.528567
Lido,Staking,LDO,Multi-Chain,-1.59%,-0.53%,+0.42%,$1.55b,1550000000,2021-06-02 08:44:46.528567
Synthetix,Dexes,SNX,Ethereum,-3.21%,-13.61%,-0.36%,$1.5b,1500000000,2021-06-02 08:44:46.528567
Bancor,Dexes,BNT,Ethereum,-2.06%,-2.79%,-0.50%,$1.48b,1480000000,2021-06-02 08:44:46.528567
hBTC,Assets,hBTC,Ethereum,-1.38%,-6.17%,+0.67%,$1.18b,1180000000,2021-06-02 08:44:46.528567
Alchemix,Yield,ALCX,Ethereum,-3.16%,+0.35%,+0.07%,$1.17b,1170000000,2021-06-02 08:44:46.528567
Convex Finance,Yield,CVX,Ethereum,+38.35%,+215%,-0.15%,$1.14b,1140000000,2021-06-02 08:44:46.528567
Belt Finance,Yield,BELT,Binance,-3.27%,-6.43%,+0.43%,$1.13b,1130000000,2021-06-02 08:44:46.528567
CREAM Finance,Lending,CREAM,Ethereum,+3.56%,+343%,+0.13%,$1.11b,1110000000,2021-06-02 08:44:46.528567
Bunny,Yield,BUNNY,Binance,-0.60%,-27.55%,+1.52%,$1.08b,1080000000,2021-06-02 08:44:46.528567
Flexa,Protocols,AMP,Ethereum,-3.53%,-9.70%,-0.49%,$975.22m,975220000,2021-06-02 08:44:46.528567
Quickswap,Dexes,QUICK,Polygon,-2.97%,+19.01%,+2.04%,$898.79m,898790000,2021-06-02 08:44:46.528567
Autofarm,Yield,AUTO,Multi-Chain,-1.35%,-15.93%,-0.02%,$870.37m,870370000,2021-06-02 08:44:46.528567
Alpha Finance,Yield,ALPHA,Multi-Chain,-1.74%,+18.52%,-0.90%,$716.85m,716850000,2021-06-02 08:44:46.528567
Vesper,Yield,VSP,Ethereum,+1.81%,-5.56%,-0.42%,$680.2m,680200000,2021-06-02 08:44:46.528567
Badger DAO,Yield,BADGER,Ethereum,+0.40%,-0.40%,+2.08%,$675.79m,675790000,2021-06-02 08:44:46.528567
Anchor,Lending,ANC,Terra,-3.14%,$542.48m,+0.40%,$542.48m,542480000,2021-06-02 08:44:46.528567
RenVM,Assets,REN,Multi-Chain,-2.39%,-7.77%,+7.70%,$529.99m,529990000,2021-06-02 08:44:46.528567
Beefy Finance,Yield,BIFI,Multi-Chain,+0.61%,-0.46%,0%,$521.25m,521250000,2021-06-02 08:44:46.528567
DefiSaver,Protocols,-,Ethereum,-2.83%,-20.19%,+0.18%,$509.76m,509760000,2021-06-02 08:44:46.528567
Raydium,Dexes,RAY,Solana,-0.29%,+10.94%,+0.19%,$478.56m,478560000,2021-06-02 08:44:46.528567
Tornado Cash,Protocols,-,Ethereum,-4.58%,-6.49%,+0.29%,$465.22m,465220000,2021-06-02 08:44:46.528567
Nexus Mutual,Insurance,NXM,Ethereum,-1.36%,-6.72%,-0.42%,$425.01m,425010000,2021-06-02 08:44:46.528567
Nerve,Dexes,NRV,Binance,-2.17%,-8.70%,+0.03%,$411.73m,411730000,2021-06-02 08:44:46.528567
Pangolin,Dexes,PNG,Avalanche,+0.41%,+3.51%,-0.03%,$378.42m,378420000,2021-06-02 08:44:46.528567
Wault,Yield,WEX,Binance,-2.54%,-5.94%,-0.15%,$374.82m,374820000,2021-06-02 08:44:46.528567
Unit Protocol,Protocols,DUCK,Ethereum,+1.23%,-5.28%,+1.21%,$346.66m,346660000,2021-06-02 08:44:46.528567
Fei Protocol,Assets,FEI,Ethereum,-1.54%,-15.63%,-0.81%,$341.42m,341420000,2021-06-02 08:44:46.528567
Thorchain,Dexes,RUNE,Binance,-8.46%,-17.91%,+0.65%,$325.55m,325550000,2021-06-02 08:44:46.528567
Harvest Finance,Yield,FARM,Ethereum,-1.08%,-6.10%,+0.43%,$306.39m,306390000,2021-06-02 08:44:46.528567
DefiChain,Dexes,DFI,DefiChain,-1.20%,-0.61%,+0.26%,$281.06m,281060000,2021-06-02 08:44:46.528567
ACryptoS,Yield,ACS,Binance,+1.21%,-6.32%,-0.02%,$277.45m,277450000,2021-06-02 08:44:46.528567
Set Protocol,Indexes,-,Ethereum,+0.98%,+7.27%,-0.48%,$272.39m,272390000,2021-06-02 08:44:46.528567
