Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
MakerDAO,Protocols,MKR,Ethereum,-8.76%,-,+0.34%,$14.43b,14430000000,2021-05-13 07:34:23.939186
AAVE,Lending,AAVE,Ethereum,-3.26%,+13.91%,0%,$13.07b,13070000000,2021-05-13 07:34:23.939186
Compound,Lending,COMP,Ethereum,-5.90%,+13.08%,+0.47%,$11.32b,11320000000,2021-05-13 07:34:23.939186
PancakeSwap,Dexes,CAKE,Binance,-11.32%,+81.96%,0%,$9.31b,9310000000,2021-05-13 07:34:23.939186
WBTC,Assets,WBTC,Ethereum,-11.08%,-8.42%,+0.53%,$8.9b,8900000000,2021-05-13 07:34:23.939186
Curve,Dexes,CRV,Ethereum,-5.79%,+14.64%,+0.67%,$8.82b,8820000000,2021-05-13 07:34:23.939186
Uniswap,Dexes,UNI,Ethereum,-10.56%,-3.75%,+0.29%,$8.13b,8130000000,2021-05-13 07:34:23.939186
Venus,Lending,XVS,Binance,-8.54%,-7.08%,+0.24%,$6.64b,6640000000,2021-05-13 07:34:23.939186
Polygon,Protocols,MATIC,Polygon,+2.13%,+33.18%,+0.66%,$6.46b,6460000000,2021-05-13 07:34:23.939186
Bunny,Yield,BUNNY,Binance,-11.72%,-18.18%,+0.19%,$6.01b,6010000000,2021-05-13 07:34:23.939186
InstaDApp,Protocols,-,Ethereum,-3.79%,+11.30%,0%,$4.66b,4660000000,2021-05-13 07:34:23.939186
SushiSwap,Dexes,SUSHI,Ethereum,-12.54%,-13.72%,+0.12%,$4.56b,4560000000,2021-05-13 07:34:23.939186
Yearn Finance,Yield,YFI,Ethereum,-2.63%,+21.34%,0%,$4.5b,4500000000,2021-05-13 07:34:23.939186
Liquity,Protocols,LQTY,Ethereum,-11.20%,+4.78%,0%,$4.12b,4120000000,2021-05-13 07:34:23.939186
Balancer,Dexes,BAL,Ethereum,-6.28%,-0.33%,-0.00%,$3.48b,3480000000,2021-05-13 07:34:23.939186
Ellipsis Finance,Dexes,EPS,Binance,-1.63%,-4.06%,+0.02%,$2.63b,2630000000,2021-05-13 07:34:23.939186
Synthetix,Dexes,SNX,Ethereum,+15.71%,+21.52%,+1.96%,$2.5b,2500000000,2021-05-13 07:34:23.939186
Bancor,Dexes,BNT,Ethereum,-7.13%,+1.67%,+0.48%,$2.27b,2270000000,2021-05-13 07:34:23.939186
Mirror,Assets,MIR,Terra,-0.79%,+1.28%,+1.01%,$2.17b,2170000000,2021-05-13 07:34:23.939186
Lido,Staking,LDO,Multi-Chain,-6.76%,+21.36%,+0.57%,$2.09b,2090000000,2021-05-13 07:34:23.939186
Autofarm,Yield,AUTO,Multi-Chain,-9.21%,-9.77%,+0.19%,$1.65b,1650000000,2021-05-13 07:34:23.939186
Alchemix,Yield,ALCX,Ethereum,-2.38%,+15.35%,+0.45%,$1.64b,1640000000,2021-05-13 07:34:23.939186
Vesper,Yield,VSP,Ethereum,-7.48%,+3.73%,+0.52%,$1.53b,1530000000,2021-05-13 07:34:23.939186
