Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+0.63%,+18.62%,+0.98%,$12.42b,12420000000,2021-05-09 07:37:50.228952
Compound,Lending,COMP,Ethereum,+6.76%,+19.98%,-0.05%,$11.07b,11070000000,2021-05-09 07:37:50.228952
WBTC,Assets,WBTC,Ethereum,+1.28%,+8.05%,+0.61%,$9.99b,9990000000,2021-05-09 07:37:50.228952
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-09 07:37:50.228952
PancakeSwap,Dexes,CAKE,Binance,-1.93%,-3.16%,0%,$9.49b,9490000000,2021-05-09 07:37:50.228952
Curve,Dexes,CRV,Ethereum,+6.68%,+26.12%,+0.44%,$8.89b,8890000000,2021-05-09 07:37:50.228952
Uniswap,Dexes,UNI,Ethereum,+5.36%,+9.19%,+0.87%,$8.66b,8660000000,2021-05-09 07:37:50.228952
Venus,Lending,XVS,Binance,+4.16%,+21.17%,+0.31%,$7.51b,7510000000,2021-05-09 07:37:50.228952
Bunny,Yield,BUNNY,Binance,+1.84%,-2.26%,+0.13%,$7.08b,7080000000,2021-05-09 07:37:50.228952
SushiSwap,Dexes,SUSHI,Ethereum,+3.43%,+7.20%,+0.67%,$5.6b,5600000000,2021-05-09 07:37:50.228952
Polygon,Protocols,MATIC,Polygon,+12.40%,+16.63%,+2.26%,$5.47b,5470000000,2021-05-09 07:37:50.228952
InstaDApp,Protocols,-,Ethereum,+3.77%,+31.25%,-0.35%,$4.66b,4660000000,2021-05-09 07:37:50.228952
Liquity,Protocols,LQTY,Ethereum,+9.74%,+28.98%,-0.35%,$4.41b,4410000000,2021-05-09 07:37:50.228952
Yearn Finance,Yield,YFI,Ethereum,+2.60%,+24.63%,-0.32%,$4.11b,4110000000,2021-05-09 07:37:50.228952
Balancer,Dexes,BAL,Ethereum,+3.12%,+6.85%,-0.20%,$3.43b,3430000000,2021-05-09 07:37:50.228952
Ellipsis Finance,Dexes,EPS,Binance,-0.79%,+2.03%,-0.01%,$2.7b,2700000000,2021-05-09 07:37:50.228952
Bancor,Dexes,BNT,Ethereum,+3.68%,+16.66%,+0.31%,$2.37b,2370000000,2021-05-09 07:37:50.228952
Mirror,Assets,MIR,Terra,+1.69%,+6.83%,+1.00%,$2.19b,2190000000,2021-05-09 07:37:50.228952
Lido,Staking,LDO,Multi-Chain,+12.74%,+38.11%,+0.14%,$2.12b,2120000000,2021-05-09 07:37:50.228952
Synthetix,Dexes,SNX,Ethereum,-3.57%,+1.98%,+0.45%,$2.1b,2100000000,2021-05-09 07:37:50.228952
Autofarm,Yield,AUTO,Multi-Chain,+1.55%,+12.50%,+0.39%,$1.79b,1790000000,2021-05-09 07:37:50.228952
Flexa,Protocols,AMP,Ethereum,+1.43%,+24.77%,+0.14%,$1.68b,1680000000,2021-05-09 07:37:50.228952
hBTC,Assets,hBTC,Ethereum,+0.96%,+2.83%,+0.61%,$1.63b,1630000000,2021-05-09 07:37:50.228952
Alchemix,Yield,ALCX,Ethereum,+4.93%,+31.38%,+0.07%,$1.63b,1630000000,2021-05-09 07:37:50.228952
Vesper,Yield,VSP,Ethereum,+4.84%,+10.67%,+0.15%,$1.63b,1630000000,2021-05-09 07:37:50.228952
DefiSaver,Protocols,-,Ethereum,+13.70%,+48.68%,+0.26%,$1.46b,1460000000,2021-05-09 07:37:50.228952
Badger DAO,Yield,BADGER,Ethereum,+0.78%,+43.76%,+0.11%,$1.43b,1430000000,2021-05-09 07:37:50.228952
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.43%,-,-2.30%,$1.37b,1370000000,2021-05-09 07:37:50.228952
Nerve,Dexes,NRV,Binance,+9.88%,+43.96%,-0.02%,$987.57m,987570000,2021-05-09 07:37:50.228952
Raydium,Dexes,RAY,Solana,+1.92%,+0.76%,+0.68%,$893.4m,893400000,2021-05-09 07:37:50.228952
RenVM,Assets,REN,Multi-Chain,+0.10%,+2.25%,+0.07%,$880.52m,880520000,2021-05-09 07:37:50.228952
Wault,Yield,WEX,Binance,-,-,-0.27%,$824.93m,824930000,2021-05-09 07:37:50.228952
Anchor,Lending,ANC,Terra,+1.09%,+1.35%,+0.12%,$760.42m,760420000,2021-05-09 07:37:50.228952
Tornado Cash,Protocols,-,Ethereum,+12.58%,+43.52%,+0.73%,$721.93m,721930000,2021-05-09 07:37:50.228952
Thorchain,Dexes,RUNE,Binance,+4.20%,+25.33%,+0.74%,$714.45m,714450000,2021-05-09 07:37:50.228952
Stacks,Protocols,STX,Stacks,-5.94%,-8.65%,-0.52%,$658.51m,658510000,2021-05-09 07:37:50.228952
Nexus Mutual,Insurance,NXM,Ethereum,+11.10%,+34.50%,+0.89%,$640.01m,640010000,2021-05-09 07:37:50.228952
KeeperDAO,Yield,ROOK,Ethereum,+6.74%,+19.62%,+0.65%,$602.05m,602050000,2021-05-09 07:37:50.228952
bZx,Lending,BZRX,Ethereum,+0.73%,-5.02%,+0.08%,$590.88m,590880000,2021-05-09 07:37:50.228952
