Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+3.31%,+37.53%,+0.46%,$11.83b,11830000000,2021-05-05 06:57:21.444641
PancakeSwap,Dexes,CAKE,Binance,-2.87%,+96.78%,0%,$10.22b,10220000000,2021-05-05 06:57:21.444641
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-05 06:57:21.444641
Compound,Lending,COMP,Ethereum,+6.76%,$9.66b,+0.87%,$9.66b,9660000000,2021-05-05 06:57:21.444641
WBTC,Assets,WBTC,Ethereum,-0.81%,+8.17%,-0.10%,$9.33b,9330000000,2021-05-05 06:57:21.444641
Uniswap,Dexes,UNI,Ethereum,+1.39%,-6.13%,-0.15%,$8.52b,8520000000,2021-05-05 06:57:21.444641
Curve,Dexes,CRV,Ethereum,+1.77%,+12.41%,+0.09%,$7.47b,7470000000,2021-05-05 06:57:21.444641
Bunny,Yield,BUNNY,Binance,-3.97%,+16.52%,-0.54%,$7.29b,7290000000,2021-05-05 06:57:21.444641
Venus,Lending,XVS,Binance,+4.66%,+32.97%,-0.42%,$6.8b,6800000000,2021-05-05 06:57:21.444641
SushiSwap,Dexes,SUSHI,Ethereum,-2.31%,+13.99%,-0.20%,$5.14b,5140000000,2021-05-05 06:57:21.444641
Polygon,Protocols,MATIC,Polygon,-5.94%,+34.94%,-0.32%,$4.58b,4580000000,2021-05-05 06:57:21.444641
InstaDApp,Protocols,-,Ethereum,+0.41%,+14.96%,0%,$3.8b,3800000000,2021-05-05 06:57:21.444641
Liquity,Protocols,LQTY,Ethereum,-0.30%,+21.79%,+0.76%,$3.76b,3760000000,2021-05-05 06:57:21.444641
Yearn Finance,Yield,YFI,Ethereum,+2.40%,+20.75%,0%,$3.56b,3560000000,2021-05-05 06:57:21.444641
Balancer,Dexes,BAL,Ethereum,+0.21%,+14.29%,-0.02%,$3.39b,3390000000,2021-05-05 06:57:21.444641
Ellipsis Finance,Dexes,EPS,Binance,+22.44%,+4.30%,-0.01%,$2.78b,2780000000,2021-05-05 06:57:21.444641
Bancor,Dexes,BNT,Ethereum,+4.85%,+16.50%,-0.68%,$2.16b,2160000000,2021-05-05 06:57:21.444641
Mirror,Assets,MIR,Terra,+1.77%,+5.67%,-0.13%,$2.12b,2120000000,2021-05-05 06:57:21.444641
Synthetix,Dexes,SNX,Ethereum,-4.39%,-1.17%,< 0.0001%,$1.97b,1970000000,2021-05-05 06:57:21.444641
Autofarm,Yield,AUTO,Multi-Chain,+0.71%,+38.26%,-0.71%,$1.77b,1770000000,2021-05-05 06:57:21.444641
