Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-0.75%,+18.39%,+0.27%,$13.78b,13780000000,2021-06-05 06:35:50.389177
Curve,Dexes,CRV,Ethereum,+0.70%,+19.56%,-0.29%,$9.43b,9430000000,2021-06-05 06:35:50.389177
MakerDAO,Protocols,MKR,Ethereum,+1.18%,+3.11%,+0.24%,$8.99b,8990000000,2021-06-05 06:35:50.389177
Compound,Lending,COMP,Ethereum,+0.79%,+2.68%,+0.89%,$7.78b,7780000000,2021-06-05 06:35:50.389177
PancakeSwap,Dexes,CAKE,Binance,-0.07%,-6.95%,+0.14%,$7.52b,7520000000,2021-06-05 06:35:50.389177
WBTC,Assets,WBTC,Ethereum,-0.88%,+4.21%,-0.16%,$7.02b,7020000000,2021-06-05 06:35:50.389177
Uniswap,Dexes,UNI,Ethereum,+2.34%,+3.48%,+0.87%,$5.69b,5690000000,2021-06-05 06:35:50.389177
SushiSwap,Dexes,SUSHI,Ethereum,-5.52%,+16.31%,+0.42%,$4.5b,4500000000,2021-06-05 06:35:50.389177
Yearn Finance,Yield,YFI,Ethereum,+7.10%,+13.40%,+0.97%,$4.32b,4320000000,2021-06-05 06:35:50.389177
InstaDApp,Protocols,-,Ethereum,+0.42%,+9.91%,+0.24%,$4.3b,4300000000,2021-06-05 06:35:50.389177
Convex Finance,Yield,CVX,Ethereum,+10.67%,+286%,+3.00%,$2.64b,2640000000,2021-06-05 06:35:50.389177
Liquity,Protocols,LQTY,Ethereum,+1.63%,+12.64%,+0.27%,$2.61b,2610000000,2021-06-05 06:35:50.389177
Balancer,Dexes,BAL,Ethereum,+0.44%,+0.01%,+1.10%,$2.34b,2340000000,2021-06-05 06:35:50.389177
Venus,Lending,XVS,Binance,+0.34%,-12.18%,-0.42%,$1.99b,1990000000,2021-06-05 06:35:50.389177
Synthetix,Dexes,SNX,Ethereum,-9.95%,+38.12%,-2.14%,$1.9b,1900000000,2021-06-05 06:35:50.389177
Uniswap v3,Dexes,UNI,Ethereum,+1.26%,-,-1.02%,$1.89b,1890000000,2021-06-05 06:35:50.389177
Mirror,Assets,MIR,Terra,+1.90%,$1.81b,+0.60%,$1.81b,1810000000,2021-06-05 06:35:50.389177
MDEX,Dexes,MDX,Multi-Chain,-49.20%,-,-40.12%,$1.69b,1690000000,2021-06-05 06:35:50.389177
Lido,Staking,LDO,Multi-Chain,+0.18%,+17.09%,+0.01%,$1.64b,1640000000,2021-06-05 06:35:50.389177
Ellipsis Finance,Dexes,EPS,Binance,+0.42%,+15.53%,+0.01%,$1.61b,1610000000,2021-06-05 06:35:50.389177
CREAM Finance,Lending,CREAM,Ethereum,-1.83%,+575%,+0.14%,$1.52b,1520000000,2021-06-05 06:35:50.389177
Bancor,Dexes,BNT,Ethereum,+0.55%,+5.29%,+0.10%,$1.51b,1510000000,2021-06-05 06:35:50.389177
hBTC,Assets,hBTC,Ethereum,+10.95%,+16.09%,-0.16%,$1.35b,1350000000,2021-06-05 06:35:50.389177
