Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+3.48%,+20.42%,-0.50%,$12.28b,12280000000,2021-05-08 07:54:52.617083
Compound,Lending,COMP,Ethereum,+5.06%,+12.26%,-0.01%,$10.36b,10360000000,2021-05-08 07:54:52.617083
WBTC,Assets,WBTC,Ethereum,+3.43%,+3.86%,-0.05%,$9.86b,9860000000,2021-05-08 07:54:52.617083
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-08 07:54:52.617083
PancakeSwap,Dexes,CAKE,Binance,-1.64%,-6.54%,0%,$9.68b,9680000000,2021-05-08 07:54:52.617083
Curve,Dexes,CRV,Ethereum,+6.75%,+19.29%,-0.01%,$8.33b,8330000000,2021-05-08 07:54:52.617083
Uniswap,Dexes,UNI,Ethereum,+2.28%,+3.15%,-0.06%,$8.21b,8210000000,2021-05-08 07:54:52.617083
Venus,Lending,XVS,Binance,+2.00%,+21.30%,+0.39%,$7.21b,7210000000,2021-05-08 07:54:52.617083
Bunny,Yield,BUNNY,Binance,+0.12%,-4.23%,-0.65%,$6.95b,6950000000,2021-05-08 07:54:52.617083
SushiSwap,Dexes,SUSHI,Ethereum,+2.23%,+4.80%,-0.06%,$5.41b,5410000000,2021-05-08 07:54:52.617083
Polygon,Protocols,MATIC,Polygon,+5.57%,+6.56%,+0.23%,$4.86b,4860000000,2021-05-08 07:54:52.617083
InstaDApp,Protocols,-,Ethereum,+6.54%,+28.60%,0%,$4.49b,4490000000,2021-05-08 07:54:52.617083
Yearn Finance,Yield,YFI,Ethereum,+4.84%,+20.81%,0%,$4b,4000000000,2021-05-08 07:54:52.617083
Liquity,Protocols,LQTY,Ethereum,+2.63%,+19.99%,-0.45%,$4b,4000000000,2021-05-08 07:54:52.617083
Balancer,Dexes,BAL,Ethereum,+2.06%,+5.53%,+0.01%,$3.33b,3330000000,2021-05-08 07:54:52.617083
Ellipsis Finance,Dexes,EPS,Binance,-1.49%,+26.48%,-0.18%,$2.72b,2720000000,2021-05-08 07:54:52.617083
Bancor,Dexes,BNT,Ethereum,+2.65%,+12.13%,-0.02%,$2.28b,2280000000,2021-05-08 07:54:52.617083
Synthetix,Dexes,SNX,Ethereum,+2.83%,+2.22%,+0.10%,$2.18b,2180000000,2021-05-08 07:54:52.617083
Mirror,Assets,MIR,Terra,+0.10%,+5.07%,+0.02%,$2.15b,2150000000,2021-05-08 07:54:52.617083
Lido,Staking,LDO,Multi-Chain,+7.61%,+23.39%,+0.06%,$1.88b,1880000000,2021-05-08 07:54:52.617083
Autofarm,Yield,AUTO,Multi-Chain,+0.14%,+12.13%,-0.25%,$1.76b,1760000000,2021-05-08 07:54:52.617083
Flexa,Protocols,AMP,Ethereum,-4.12%,+21.95%,+0.24%,$1.66b,1660000000,2021-05-08 07:54:52.617083
hBTC,Assets,hBTC,Ethereum,+3.58%,-0.84%,-0.05%,$1.62b,1620000000,2021-05-08 07:54:52.617083
Alchemix,Yield,ALCX,Ethereum,+5.75%,+27.38%,-0.06%,$1.55b,1550000000,2021-05-08 07:54:52.617083
Vesper,Yield,VSP,Ethereum,+6.09%,+3.92%,-0.08%,$1.55b,1550000000,2021-05-08 07:54:52.617083
Badger DAO,Yield,BADGER,Ethereum,+1.91%,+39.10%,+0.12%,$1.42b,1420000000,2021-05-08 07:54:52.617083
Alpha Finance,Yield,ALPHA,Multi-Chain,+6.83%,-,-0.97%,$1.4b,1400000000,2021-05-08 07:54:52.617083
DefiSaver,Protocols,-,Ethereum,+4.08%,+33.10%,-0.12%,$1.29b,1290000000,2021-05-08 07:54:52.617083
Nerve,Dexes,NRV,Binance,-1.90%,+55.39%,+0.01%,$898.88m,898880000,2021-05-08 07:54:52.617083
Raydium,Dexes,RAY,Solana,+2.56%,+8.29%,-0.20%,$876.59m,876590000,2021-05-08 07:54:52.617083
RenVM,Assets,REN,Multi-Chain,-1.21%,-0.98%,-0.56%,$874.75m,874750000,2021-05-08 07:54:52.617083
Anchor,Lending,ANC,Terra,+1.03%,-2.18%,-0.13%,$751.18m,751180000,2021-05-08 07:54:52.617083
Stacks,Protocols,STX,Stacks,+4.12%,-4.72%,0%,$700.1m,700100000,2021-05-08 07:54:52.617083
Thorchain,Dexes,RUNE,Binance,+5.99%,+14.11%,-0.18%,$684.42m,684420000,2021-05-08 07:54:52.617083
Tornado Cash,Protocols,-,Ethereum,+3.57%,+31.21%,-0.12%,$640.45m,640450000,2021-05-08 07:54:52.617083
bZx,Lending,BZRX,Ethereum,+0.73%,-5.02%,+0.08%,$590.88m,590880000,2021-05-08 07:54:52.617083
Nexus Mutual,Insurance,NXM,Ethereum,+3.62%,+23.32%,-0.12%,$575.38m,575380000,2021-05-08 07:54:52.617083
KeeperDAO,Yield,ROOK,Ethereum,+3.57%,+12.59%,-0.07%,$563.61m,563610000,2021-05-08 07:54:52.617083
Harvest Finance,Yield,FARM,Ethereum,+1.07%,+1.36%,0%,$540.57m,540570000,2021-05-08 07:54:52.617083
Unit Protocol,Protocols,DUCK,Ethereum,+5.13%,+24.62%,-0.30%,$512.93m,512930000,2021-05-08 07:54:52.617083
Fantom,Protocols,FTM,Multi-Chain,-5.47%,-13.15%,-0.35%,$484.95m,484950000,2021-05-08 07:54:52.617083
Fei Protocol,Assets,FEI,Ethereum,+2.73%,+13.39%,-0.19%,$480.03m,480030000,2021-05-08 07:54:52.617083
ACryptoS,Yield,ACS,Binance,+4.72%,+4.30%,0%,$431m,431000000,2021-05-08 07:54:52.617083
Integral,Dexes,-,Ethereum,+1.64%,-10.90%,-0.25%,$417.09m,417090000,2021-05-08 07:54:52.617083
Serum,Dexes,SRM,Solana,-4.06%,+7.34%,+6.02%,$409.82m,409820000,2021-05-08 07:54:52.617083
DefiChain,Protocols,DFI,DefiChain,+4.67%,+11.11%,-0.26%,$372.58m,372580000,2021-05-08 07:54:52.617083
Wing Finance,Lending,WING,Ontology,-0.75%,+10.93%,+0.01%,$369.65m,369650000,2021-05-08 07:54:52.617083
KEEP Network,Assets,KEEP,Ethereum,+3.94%,-3.64%,-0.12%,$366.33m,366330000,2021-05-08 07:54:52.617083
1inch,Dexes,1INCH,Ethereum,-1.06%,+7.65%,-0.03%,$361.77m,361770000,2021-05-08 07:54:52.617083
CREAM Finance,Lending,CREAM,Ethereum,+4.29%,+4.69%,-0.10%,$341.75m,341750000,2021-05-08 07:54:52.617083
Pangolin,Dexes,PNG,Avalanche,+0.49%,+13.74%,-0.44%,$341.43m,341430000,2021-05-08 07:54:52.617083
Set Protocol,Indexes,-,Ethereum,+3.63%,+19.71%,-0.72%,$335.51m,335510000,2021-05-08 07:54:52.617083
Flamingo Finance,Dexes,FLM,NEO,-3.95%,-,-0.22%,$332.16m,332160000,2021-05-08 07:54:52.617083
Kava,Lending,KAVA,Multi-Chain,+1.22%,+0.26%,-0.11%,$329.88m,329880000,2021-05-08 07:54:52.617083
Reflexer,Assets,RAI,Ethereum,+2.95%,-3.57%,-0.34%,$308.44m,308440000,2021-05-08 07:54:52.617083
