Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
MakerDAO,Protocols,MKR,Ethereum,+7.65%,-,-0.48%,$14.79b,14790000000,2021-05-15 07:29:46.229527
AAVE,Lending,AAVE,Ethereum,+16.99%,+18.26%,-0.04%,$14.64b,14640000000,2021-05-15 07:29:46.229527
Compound,Lending,COMP,Ethereum,+1.40%,+4.16%,-0.34%,$10.75b,10750000000,2021-05-15 07:29:46.229527
PancakeSwap,Dexes,CAKE,Binance,+5.57%,+1.53%,0%,$9.83b,9830000000,2021-05-15 07:29:46.229527
Curve,Dexes,CRV,Ethereum,+4.98%,+9.87%,-0.27%,$9.19b,9190000000,2021-05-15 07:29:46.229527
WBTC,Assets,WBTC,Ethereum,+0.67%,-12.36%,-0.41%,$8.67b,8670000000,2021-05-15 07:29:46.229527
Polygon,Protocols,MATIC,Polygon,+31.57%,+74.80%,-0.76%,$8.48b,8480000000,2021-05-15 07:29:46.229527
Uniswap,Dexes,UNI,Ethereum,+6.32%,+1.12%,+0.14%,$8.34b,8340000000,2021-05-15 07:29:46.229527
Venus,Lending,XVS,Binance,+2.19%,-9.71%,-0.30%,$6.51b,6510000000,2021-05-15 07:29:46.229527
Bunny,Yield,BUNNY,Binance,+3.63%,-21.74%,+0.09%,$5.48b,5480000000,2021-05-15 07:29:46.229527
InstaDApp,Protocols,-,Ethereum,+5.74%,+8.53%,-0.36%,$4.86b,4860000000,2021-05-15 07:29:46.229527
SushiSwap,Dexes,SUSHI,Ethereum,+8.22%,-13.44%,-0.09%,$4.71b,4710000000,2021-05-15 07:29:46.229527
Yearn Finance,Yield,YFI,Ethereum,+4.55%,+16.26%,-0.35%,$4.64b,4640000000,2021-05-15 07:29:46.229527
Liquity,Protocols,LQTY,Ethereum,+2.06%,+1.22%,-0.48%,$4.05b,4050000000,2021-05-15 07:29:46.229527
Balancer,Dexes,BAL,Ethereum,+4.39%,+6.25%,+0.28%,$3.54b,3540000000,2021-05-15 07:29:46.229527
Ellipsis Finance,Dexes,EPS,Binance,+0.09%,-4.67%,-0.03%,$2.6b,2600000000,2021-05-15 07:29:46.229527
Synthetix,Dexes,SNX,Ethereum,+4.25%,+17.84%,+1.05%,$2.59b,2590000000,2021-05-15 07:29:46.229527
Belt Finance,Yield,BELT,Binance,+1.56%,-,-0.03%,$2.4b,2400000000,2021-05-15 07:29:46.229527
Bancor,Dexes,BNT,Ethereum,+5.80%,-0.91%,+0.10%,$2.27b,2270000000,2021-05-15 07:29:46.229527
Lido,Staking,LDO,Multi-Chain,+6.65%,+15.26%,+0.04%,$2.17b,2170000000,2021-05-15 07:29:46.229527
Mirror,Assets,MIR,Terra,+0.34%,-0.25%,+0.14%,$2.15b,2150000000,2021-05-15 07:29:46.229527
Autofarm,Yield,AUTO,Multi-Chain,+3.50%,-5.21%,-0.38%,$1.68b,1680000000,2021-05-15 07:29:46.229527
Alchemix,Yield,ALCX,Ethereum,+1.48%,+3.82%,-0.08%,$1.61b,1610000000,2021-05-15 07:29:46.229527
hBTC,Assets,hBTC,Ethereum,+15.10%,-2.54%,-0.41%,$1.58b,1580000000,2021-05-15 07:29:46.229527
Flexa,Protocols,AMP,Ethereum,+7.19%,-5.81%,+0.13%,$1.56b,1560000000,2021-05-15 07:29:46.229527
DefiSaver,Protocols,-,Ethereum,+6.88%,+13.07%,-0.44%,$1.46b,1460000000,2021-05-15 07:29:46.229527
Vesper,Yield,VSP,Ethereum,+3.64%,-5.92%,-0.25%,$1.46b,1460000000,2021-05-15 07:29:46.229527
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.43%,-,-2.30%,$1.37b,1370000000,2021-05-15 07:29:46.229527
Badger DAO,Yield,BADGER,Ethereum,+1.20%,-27.94%,-0.41%,$1.02b,1020000000,2021-05-15 07:29:46.229527
Uniswap v3,Dexes,UNI,Ethereum,+3.66%,-,-0.28%,$983.86m,983860000,2021-05-15 07:29:46.229527
Wault,Yield,WEX,Binance,+21.30%,-,+0.42%,$811.59m,811590000,2021-05-15 07:29:46.229527
Anchor,Lending,ANC,Terra,+4.75%,+3.05%,+0.19%,$774.09m,774090000,2021-05-15 07:29:46.229527
Raydium,Dexes,RAY,Solana,+5.53%,-12.53%,-0.41%,$769.54m,769540000,2021-05-15 07:29:46.229527
RenVM,Assets,REN,Multi-Chain,+0.43%,-12.75%,-0.61%,$767.82m,767820000,2021-05-15 07:29:46.229527
Tornado Cash,Protocols,-,Ethereum,+6.76%,+11.88%,+0.06%,$717.43m,717430000,2021-05-15 07:29:46.229527
Nerve,Dexes,NRV,Binance,-18.77%,-25.34%,+0.05%,$671.14m,671140000,2021-05-15 07:29:46.229527
Quickswap,Dexes,QUICK,Polygon,+27.63%,-,+0.65%,$662.71m,662710000,2021-05-15 07:29:46.229527
Nexus Mutual,Insurance,NXM,Ethereum,+6.39%,+13.10%,-0.22%,$655.22m,655220000,2021-05-15 07:29:46.229527
Thorchain,Dexes,RUNE,Binance,+6.54%,-6.57%,-0.62%,$640.61m,640610000,2021-05-15 07:29:46.229527
Unit Protocol,Protocols,DUCK,Ethereum,+13.13%,+16.23%,-0.72%,$598.13m,598130000,2021-05-15 07:29:46.229527
Serum,Dexes,SRM,Solana,-4.77%,-,-2.30%,$575.12m,575120000,2021-05-15 07:29:46.229527
Harvest Finance,Yield,FARM,Ethereum,+3.35%,-2.62%,-1.52%,$524.2m,524200000,2021-05-15 07:29:46.229527
Fei Protocol,Assets,FEI,Ethereum,+2.33%,+5.01%,-0.70%,$505.04m,505040000,2021-05-15 07:29:46.229527
bZx,Lending,BZRX,Ethereum,+4.46%,-,-0.33%,$464.53m,464530000,2021-05-15 07:29:46.229527
Stacks,Protocols,STX,Stacks,+1.86%,-37.00%,-0.61%,$441.09m,441090000,2021-05-15 07:29:46.229527
ACryptoS,Yield,ACS,Binance,+9.92%,+1.97%,+0.01%,$439.49m,439490000,2021-05-15 07:29:46.229527
Fantom,Protocols,FTM,Multi-Chain,+10.69%,-10.69%,-1.26%,$433.8m,433800000,2021-05-15 07:29:46.229527
Set Protocol,Indexes,-,Ethereum,+9.26%,+20.42%,-0.44%,$404.02m,404020000,2021-05-15 07:29:46.229527
KEEP Network,Assets,KEEP,Ethereum,+5.00%,+2.63%,-0.47%,$377.79m,377790000,2021-05-15 07:29:46.229527
DefiChain,Protocols,DFI,DefiChain,+2.63%,-4.57%,-0.58%,$355.39m,355390000,2021-05-15 07:29:46.229527
Index Coop,Indexes,INDEX,Ethereum,+11.53%,+23.75%,+0.18%,$351.67m,351670000,2021-05-15 07:29:46.229527
Integral,Dexes,-,Ethereum,+0.21%,-16.40%,-0.60%,$348.67m,348670000,2021-05-15 07:29:46.229527
Wing Finance,Lending,WING,Ontology,-1.40%,-6.52%,-0.23%,$346.31m,346310000,2021-05-15 07:29:46.229527
Pangolin,Dexes,PNG,Avalanche,+6.14%,+0.66%,-0.11%,$345.19m,345190000,2021-05-15 07:29:46.229527
CREAM Finance,Lending,CREAM,Ethereum,+8.31%,+0.19%,+0.17%,$344.86m,344860000,2021-05-15 07:29:46.229527
Kava,Lending,KAVA,Multi-Chain,+1.79%,-7.90%,-0.20%,$304.15m,304150000,2021-05-15 07:29:46.229527
dYdX,Dexes,-,Ethereum,+1.92%,+10.86%,-0.67%,$299.63m,299630000,2021-05-15 07:29:46.229527
Flamingo Finance,Dexes,FLM,NEO,-4.88%,-20.72%,+0.18%,$263.93m,263930000,2021-05-15 07:29:46.229527
Reflexer,Assets,RAI,Ethereum,+1.82%,-15.67%,-0.75%,$260.09m,260090000,2021-05-15 07:29:46.229527
StakeHound,Staking,-,Ethereum,+5.03%,+12.10%,-0.75%,$255.43m,255430000,2021-05-15 07:29:46.229527
Loopring,Dexes,LRC,Ethereum,+4.74%,+7.56%,+0.03%,$255.24m,255240000,2021-05-15 07:29:46.229527
B.Protocol,Lending,BPRO,Ethereum,+5.78%,-4.35%,-0.33%,$254.53m,254530000,2021-05-15 07:29:46.229527
Idle Finance,Yield,IDLE,Ethereum,+6.12%,+28.12%,< 0.0001%,$247.3m,247300000,2021-05-15 07:29:46.229527
PoolTogether,Protocols,POOL,Ethereum,+0.94%,+9.45%,-0.20%,$234.04m,234040000,2021-05-15 07:29:46.229527
UMA Protocol,Protocols,UMA,Ethereum,+4.41%,+3.63%,-0.61%,$216.7m,216700000,2021-05-15 07:29:46.229527
Sablier Finance,Protocols,-,Ethereum,+3.73%,-13.77%,+1.11%,$200.93m,200930000,2021-05-15 07:29:46.229527
1inch,Dexes,1INCH,Ethereum,+1.80%,-44.98%,-0.15%,$198.92m,198920000,2021-05-15 07:29:46.229527
ZilSwap,Dexes,ZWAP,Zilliqa,+3.60%,-18.11%,-0.58%,$180.27m,180270000,2021-05-15 07:29:46.229527
Ankr,Staking,ANKR,Ethereum,+5.03%,+12.65%,-0.75%,$178.89m,178890000,2021-05-15 07:29:46.229527
DODO,Dexes,DODO,Ethereum,+5.87%,+10.77%,-0.15%,$174.65m,174650000,2021-05-15 07:29:46.229527
MANTRA DAO,Protocols,OM,Ethereum,+11.47%,-0.36%,-0.06%,$165.98m,165980000,2021-05-15 07:29:46.229527
Unslashed,Insurance,USF,Ethereum,+6.25%,+13.11%,-0.22%,$163.91m,163910000,2021-05-15 07:29:46.229527
KeeperDAO,Yield,ROOK,Ethereum,-60.61%,-71.91%,+0.07%,$158.45m,158450000,2021-05-15 07:29:46.229527
yAxis,Yield,YAX,Ethereum,-0.65%,-17.20%,-0.01%,$155.88m,155880000,2021-05-15 07:29:46.229527
OnX.Finance,Lending,ONX,Ethereum,+4.65%,-3.01%,-0.37%,$138.94m,138940000,2021-05-15 07:29:46.229527
Deus,Protocols,DEUS,Multi-Chain,+13.47%,+41.82%,+0.25%,$129.69m,129690000,2021-05-15 07:29:46.229527
Secret Network,Protocols,SCRT,Secret,+4.85%,-8.29%,-0.73%,$123.43m,123430000,2021-05-15 07:29:46.229527
Secret Bridge,Assets,-,Secret,+4.85%,-8.29%,-0.73%,$123.43m,123430000,2021-05-15 07:29:46.229527
Goose Finance,Yield,EGG,Binance,+2.22%,-7.36%,-0.84%,$111.31m,111310000,2021-05-15 07:29:46.229527
Hyper Finance,Yield,HYFI,Binance,+3.28%,+59.11%,-0.78%,$110.06m,110060000,2021-05-15 07:29:46.229527
TrueFi,Lending,TRU,Ethereum,+1.43%,+8.23%,-0.07%,$104.14m,104140000,2021-05-15 07:29:46.229527
StakeWise,Staking,SWISE,Ethereum,+5.10%,+14.52%,-0.75%,$103.48m,103480000,2021-05-15 07:29:46.229527
SpiritSwap,Dexes,SPIRIT,Fantom,+14.77%,-,-0.37%,$102.23m,102230000,2021-05-15 07:29:46.229527
Metronome,Assets,MET,Ethereum,+5.96%,+14.85%,-0.42%,"$98,726,515",98726515,2021-05-15 07:29:46.229527
Flamincome,Yield,FLAG,Ethereum,+1.60%,-5.12%,-0.12%,"$98,596,918",98596918,2021-05-15 07:29:46.229527
Pickle,Yield,PICKLE,Ethereum,+6.23%,+7.12%,-0.33%,"$98,548,500",98548500,2021-05-15 07:29:46.229527
SpookySwap,Dexes,BOO,Fantom,-,-,-0.13%,"$93,295,591",93295591,2021-05-15 07:29:46.229527
BarnBridge,Yield,BOND,Ethereum,+1.92%,+16.35%,+0.86%,"$91,153,822",91153822,2021-05-15 07:29:46.229527
Rari Capital,Yield,RGT,Ethereum,+3.11%,+13.90%,+0.11%,"$89,949,301",89949301,2021-05-15 07:29:46.229527
xDAI Stake,Protocols,STAKE,Ethereum,+1.91%,+1.19%,-0.09%,"$86,474,206",86474206,2021-05-15 07:29:46.229527
Saddle Finance,Dexes,-,Ethereum,-0.79%,-8.40%,-0.42%,"$80,903,005",80903005,2021-05-15 07:29:46.229527
Hard Protocol,Protocols,HARD,Multi-Chain,+1.26%,+12.89%,+0.35%,"$80,820,347",80820347,2021-05-15 07:29:46.229527
imToken,Assets,imBTC,Ethereum,+16.27%,+16.09%,-0.32%,"$80,626,278",80626278,2021-05-15 07:29:46.229527
