Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Multi-Chain,-0.86%,+10.23%,-0.76%,$13.47b,13470000000,2021-06-06 13:40:41.237696
Curve,Dexes,CRV,Multi-Chain,+3.90%,+28.98%,-0.08%,$9.73b,9730000000,2021-06-06 13:40:41.237696
MakerDAO,Protocols,MKR,Ethereum,+0.19%,+7.31%,-0.55%,$8.79b,8790000000,2021-06-06 13:40:41.237696
Compound,Lending,COMP,Ethereum,-0.50%,+10.55%,-0.59%,$7.57b,7570000000,2021-06-06 13:40:41.237696
PancakeSwap,Dexes,CAKE,Binance,-1.95%,+1.98%,-0.91%,$7.3b,7300000000,2021-06-06 13:40:41.237696
WBTC,Assets,WBTC,Ethereum,-1.05%,+1.34%,-0.25%,$6.76b,6760000000,2021-06-06 13:40:41.237696
Uniswap,Dexes,UNI,Ethereum,+0.48%,+4.11%,-1.00%,$5.54b,5540000000,2021-06-06 13:40:41.237696
SushiSwap,Dexes,SUSHI,Multi-Chain,+0.02%,+14.19%,-0.62%,$4.46b,4460000000,2021-06-06 13:40:41.237696
Yearn Finance,Yield,YFI,Ethereum,+5.00%,+14.80%,-0.01%,$4.35b,4350000000,2021-06-06 13:40:41.237696
InstaDApp,Protocols,-,Ethereum,+0.51%,+3.84%,-0.07%,$4.26b,4260000000,2021-06-06 13:40:41.237696
Convex Finance,Yield,CVX,Ethereum,+12.25%,+276%,-0.61%,$2.96b,2960000000,2021-06-06 13:40:41.237696
Liquity,Protocols,LQTY,Ethereum,+1.17%,+15.44%,-0.49%,$2.58b,2580000000,2021-06-06 13:40:41.237696
Balancer,Dexes,BAL,Ethereum,+1.33%,-1.77%,-0.12%,$2.27b,2270000000,2021-06-06 13:40:41.237696
Venus,Lending,XVS,Binance,-0.79%,-3.12%,-0.63%,$1.91b,1910000000,2021-06-06 13:40:41.237696
Synthetix,Dexes,SNX,Ethereum,-,+35.87%,+0.85%,$1.91b,1910000000,2021-06-06 13:40:41.237696
