Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+15.74%,+21.87%,+1.91%,$14.73b,14730000000,2021-05-18 08:54:27.983755
MakerDAO,Protocols,MKR,Ethereum,+9.97%,-7.18%,+1.15%,$13.37b,13370000000,2021-05-18 08:54:27.983755
Polygon,Protocols,MATIC,Polygon,+20.22%,+95.47%,+0.12%,$10.28b,10280000000,2021-05-18 08:54:27.983755
Compound,Lending,COMP,Ethereum,+8.63%,-9.66%,+0.26%,$10b,10000000000,2021-05-18 08:54:27.983755
PancakeSwap,Dexes,CAKE,Binance,0%,-0.09%,0%,$9.83b,9830000000,2021-05-18 08:54:27.983755
Curve,Dexes,CRV,Ethereum,+11.80%,+3.03%,+0.66%,$9.09b,9090000000,2021-05-18 08:54:27.983755
WBTC,Assets,WBTC,Ethereum,+6.33%,-14.95%,-0.38%,$8.11b,8110000000,2021-05-18 08:54:27.983755
Uniswap,Dexes,UNI,Ethereum,+5.06%,-6.57%,+2.90%,$7.86b,7860000000,2021-05-18 08:54:27.983755
Venus,Lending,XVS,Binance,-1.09%,-18.59%,-0.29%,$5.6b,5600000000,2021-05-18 08:54:27.983755
SushiSwap,Dexes,SUSHI,Ethereum,+32.59%,+10.96%,+0.57%,$5.23b,5230000000,2021-05-18 08:54:27.983755
InstaDApp,Protocols,-,Ethereum,+5.49%,+9.14%,+1.78%,$5.11b,5110000000,2021-05-18 08:54:27.983755
Yearn Finance,Yield,YFI,Ethereum,+0.78%,+7.73%,+1.09%,$4.49b,4490000000,2021-05-18 08:54:27.983755
Bunny,Yield,BUNNY,Binance,-5.36%,-38.13%,+0.05%,$4.23b,4230000000,2021-05-18 08:54:27.983755
Liquity,Protocols,LQTY,Ethereum,+0.79%,-21.54%,+0.22%,$3.43b,3430000000,2021-05-18 08:54:27.983755
Balancer,Dexes,BAL,Ethereum,+7.66%,-1.18%,+0.86%,$3.35b,3350000000,2021-05-18 08:54:27.983755
