Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+5.15%,+15.32%,+1.25%,$13.06b,13060000000,2021-05-10 08:04:36.968630
Compound,Lending,COMP,Ethereum,+3.90%,+23.23%,+1.15%,$11.5b,11500000000,2021-05-10 08:04:36.968630
WBTC,Assets,WBTC,Ethereum,+2.28%,+5.48%,+0.49%,$10.22b,10220000000,2021-05-10 08:04:36.968630
PancakeSwap,Dexes,CAKE,Binance,+6.30%,-3.59%,+2.58%,$10.09b,10090000000,2021-05-10 08:04:36.968630
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-10 08:04:36.968630
Curve,Dexes,CRV,Ethereum,+3.45%,+27.69%,+0.46%,$9.2b,9200000000,2021-05-10 08:04:36.968630
Uniswap,Dexes,UNI,Ethereum,+3.35%,+9.51%,+0.60%,$8.95b,8950000000,2021-05-10 08:04:36.968630
Venus,Lending,XVS,Binance,+2.78%,+17.60%,+0.38%,$7.66b,7660000000,2021-05-10 08:04:36.968630
Bunny,Yield,BUNNY,Binance,+5.21%,-1.27%,-0.11%,$7.45b,7450000000,2021-05-10 08:04:36.968630
Polygon,Protocols,MATIC,Polygon,+4.52%,+8.53%,-0.26%,$5.71b,5710000000,2021-05-10 08:04:36.968630
SushiSwap,Dexes,SUSHI,Ethereum,-0.74%,+3.53%,-1.74%,$5.56b,5560000000,2021-05-10 08:04:36.968630
InstaDApp,Protocols,-,Ethereum,+2.06%,+32.45%,+0.12%,$4.76b,4760000000,2021-05-10 08:04:36.968630
Liquity,Protocols,LQTY,Ethereum,+6.00%,+30.04%,+0.97%,$4.67b,4670000000,2021-05-10 08:04:36.968630
Yearn Finance,Yield,YFI,Ethereum,+4.82%,+26.90%,-0.79%,$4.3b,4300000000,2021-05-10 08:04:36.968630
Balancer,Dexes,BAL,Ethereum,+3.90%,+7.11%,+0.88%,$3.57b,3570000000,2021-05-10 08:04:36.968630
Ellipsis Finance,Dexes,EPS,Binance,-0.59%,+27.73%,-0.01%,$2.68b,2680000000,2021-05-10 08:04:36.968630
Bancor,Dexes,BNT,Ethereum,+4.60%,+18.11%,-0.25%,$2.46b,2460000000,2021-05-10 08:04:36.968630
Mirror,Assets,MIR,Terra,+1.89%,+6.98%,+0.03%,$2.23b,2230000000,2021-05-10 08:04:36.968630
Lido,Staking,LDO,Multi-Chain,+4.71%,+33.51%,+0.04%,$2.2b,2200000000,2021-05-10 08:04:36.968630
