Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Multi-Chain,+2.35%,+13.66%,0%,$13.74b,13740000000,2021-06-07 06:23:24.637030
Curve,Dexes,CRV,Multi-Chain,+2.94%,+32.44%,-0.39%,$9.91b,9910000000,2021-06-07 06:23:24.637030
MakerDAO,Protocols,MKR,Ethereum,+3.81%,+16.27%,+0.13%,$9.04b,9040000000,2021-06-07 06:23:24.637030
Compound,Lending,COMP,Ethereum,+2.59%,+11.34%,+0.02%,$7.74b,7740000000,2021-06-07 06:23:24.637030
PancakeSwap,Dexes,CAKE,Binance,+1.37%,+6.34%,+3.05%,$7.5b,7500000000,2021-06-07 06:23:24.637030
WBTC,Assets,WBTC,Ethereum,+1.29%,+6.26%,-0.85%,$6.84b,6840000000,2021-06-07 06:23:24.637030
Uniswap,Dexes,UNI,Ethereum,+2.35%,+10.51%,-0.02%,$5.59b,5590000000,2021-06-07 06:23:24.637030
SushiSwap,Dexes,SUSHI,Multi-Chain,-,+13.31%,-0.40%,$4.51b,4510000000,2021-06-07 06:23:24.637030
Yearn Finance,Yield,YFI,Ethereum,+2.26%,+17.14%,0%,$4.39b,4390000000,2021-06-07 06:23:24.637030
InstaDApp,Protocols,-,Ethereum,+1.51%,+6.98%,0%,$4.31b,4310000000,2021-06-07 06:23:24.637030
Convex Finance,Yield,CVX,Ethereum,+3.27%,+294%,+0.72%,$3.06b,3060000000,2021-06-07 06:23:24.637030
Liquity,Protocols,LQTY,Ethereum,+4.55%,+24.77%,+0.17%,$2.67b,2670000000,2021-06-07 06:23:24.637030
Balancer,Dexes,BAL,Ethereum,+1.46%,+1.99%,-1.03%,$2.29b,2290000000,2021-06-07 06:23:24.637030
Venus,Lending,XVS,Binance,+2.31%,+3.28%,-0.61%,$1.95b,1950000000,2021-06-07 06:23:24.637030
Synthetix,Dexes,SNX,Ethereum,-,+38.81%,+2.82%,$1.92b,1920000000,2021-06-07 06:23:24.637030
Uniswap v3,Dexes,UNI,Ethereum,+3.46%,-,+0.42%,$1.89b,1890000000,2021-06-07 06:23:24.637030
Mirror,Assets,MIR,Multi-Chain,+0.36%,+6.20%,+0.06%,$1.82b,1820000000,2021-06-07 06:23:24.637030
Lido,Staking,LDO,Multi-Chain,+3.72%,+25.66%,-1.22%,$1.64b,1640000000,2021-06-07 06:23:24.637030
Ellipsis Finance,Dexes,EPS,Binance,+0.69%,+16.34%,-0.02%,$1.63b,1630000000,2021-06-07 06:23:24.637030
CREAM Finance,Lending,CREAM,Multi-Chain,+1.95%,+283%,+1.07%,$1.61b,1610000000,2021-06-07 06:23:24.637030
Bancor,Dexes,BNT,Ethereum,+2.91%,+11.96%,+0.19%,$1.49b,1490000000,2021-06-07 06:23:24.637030
MDEX,Dexes,MDX,Multi-Chain,-4.69%,-,-1.73%,$1.37b,1370000000,2021-06-07 06:23:24.637030
hBTC,Assets,hBTC,Ethereum,+1.29%,+18.75%,-0.85%,$1.31b,1310000000,2021-06-07 06:23:24.637030
Flexa,Protocols,AMP,Ethereum,+4.38%,+28.75%,-0.95%,$1.21b,1210000000,2021-06-07 06:23:24.637030
Bunny,Yield,BUNNY,Binance,+1.70%,+10.27%,-2.59%,$1.17b,1170000000,2021-06-07 06:23:24.637030
Quickswap,Dexes,QUICK,Polygon,-,+12.62%,+0.39%,$1.06b,1060000000,2021-06-07 06:23:24.637030
Autofarm,Yield,AUTO,Multi-Chain,+1.92%,+26.81%,-0.05%,$1.01b,1010000000,2021-06-07 06:23:24.637030
Belt Finance,Yield,BELT,Binance,+7.50%,-24.27%,-0.03%,$821.83m,821830000,2021-06-07 06:23:24.637030
Alpaca Finance,Yield,ALPACA,Binance,+6.61%,-,-0.02%,$746.27m,746270000,2021-06-07 06:23:24.637030
Alpha Finance,Yield,ALPHA,Multi-Chain,+1.81%,+9.51%,+0.28%,$739.64m,739640000,2021-06-07 06:23:24.637030
Vesper,Yield,VSP,Ethereum,+2.73%,-3.07%,+0.12%,$642.32m,642320000,2021-06-07 06:23:24.637030
Alchemix,Yield,ALCX,Ethereum,-3.52%,-47.10%,-0.31%,$624.93m,624930000,2021-06-07 06:23:24.637030
Beefy Finance,Yield,BIFI,Multi-Chain,+7.78%,+34.48%,0%,$621.81m,621810000,2021-06-07 06:23:24.637030
Unit Protocol,Protocols,DUCK,Ethereum,+8.80%,+115%,-0.84%,$620.87m,620870000,2021-06-07 06:23:24.637030
Badger DAO,Yield,BADGER,Ethereum,+0.95%,-2.63%,-0.88%,$614.83m,614830000,2021-06-07 06:23:24.637030
Sablier Finance,Protocols,-,Ethereum,+5.00%,+429%,+0.68%,$563.61m,563610000,2021-06-07 06:23:24.637030
Anchor,Lending,ANC,Terra,+1.57%,+17.81%,+0.21%,$548.07m,548070000,2021-06-07 06:23:24.637030
DefiSaver,Protocols,-,Ethereum,+3.49%,+27.25%,-0.80%,$546.18m,546180000,2021-06-07 06:23:24.637030
Wault,Yield,WEX,Binance,+10.11%,+54.49%,+0.38%,$535.42m,535420000,2021-06-07 06:23:24.637030
RenVM,Assets,REN,Multi-Chain,+2.03%,+9.21%,+0.13%,$528.39m,528390000,2021-06-07 06:23:24.637030
Raydium,Dexes,RAY,Solana,+2.13%,+19.23%,-0.56%,$515.49m,515490000,2021-06-07 06:23:24.637030
Tornado Cash,Protocols,-,Ethereum,+3.79%,+20.01%,-0.70%,$488.11m,488110000,2021-06-07 06:23:24.637030
Nexus Mutual,Insurance,NXM,Ethereum,+4.23%,+22.07%,+0.16%,$454.4m,454400000,2021-06-07 06:23:24.637030
Nerve,Dexes,NRV,Binance,-0.38%,+6.69%,+0.45%,$441.73m,441730000,2021-06-07 06:23:24.637030
FilDA,Lending,FILDA,Heco,+6.22%,-,-1.29%,$396.76m,396760000,2021-06-07 06:23:24.637030
Pangolin,Dexes,PNG,Avalanche,+1.70%,+3.47%,-0.56%,$385.16m,385160000,2021-06-07 06:23:24.637030
Fei Protocol,Assets,FEI,Ethereum,+0.89%,+0.62%,+0.25%,$330.39m,330390000,2021-06-07 06:23:24.637030
Harvest Finance,Yield,FARM,Ethereum,+2.47%,+6.97%,0%,$307.59m,307590000,2021-06-07 06:23:24.637030
DefiChain,Dexes,DFI,DefiChain,+5.03%,+15.40%,-0.63%,$305.46m,305460000,2021-06-07 06:23:24.637030
Set Protocol,Indexes,-,Ethereum,+3.72%,+27.34%,+0.12%,$283.39m,283390000,2021-06-07 06:23:24.637030
ACryptoS,Yield,ACS,Binance,+4.52%,+10.24%,+0.01%,$274.95m,274950000,2021-06-07 06:23:24.637030
Thorchain,Dexes,RUNE,Thorchain,+1.57%,-13.15%,-1.08%,$256.24m,256240000,2021-06-07 06:23:24.637030
TrueFi,Lending,TRU,Ethereum,+2.25%,+82.93%,+0.13%,$251.44m,251440000,2021-06-07 06:23:24.637030
Index Coop,Indexes,INDEX,Ethereum,+4.09%,+31.42%,+0.98%,$250.2m,250200000,2021-06-07 06:23:24.637030
Wing Finance,Lending,WING,Ontology,+1.70%,+8.81%,-0.19%,$236.36m,236360000,2021-06-07 06:23:24.637030
B.Protocol,Lending,BPRO,Ethereum,+2.63%,+30.88%,+0.06%,$212.28m,212280000,2021-06-07 06:23:24.637030
Idle Finance,Yield,IDLE,Ethereum,+16.16%,+12.80%,+0.64%,$210.2m,210200000,2021-06-07 06:23:24.637030
KEEP Network,Assets,KEEP,Ethereum,+3.67%,+21.87%,-0.59%,$203.17m,203170000,2021-06-07 06:23:24.637030
dYdX,Dexes,-,Ethereum,+2.03%,+43.49%,-0.01%,$201.29m,201290000,2021-06-07 06:23:24.637030
Dfyn Network,Dexes,DFYN,Polygon,+1.51%,+22.85%,-1.21%,$197.38m,197380000,2021-06-07 06:23:24.637030
Flamingo Finance,Dexes,FLM,NEO,+2.70%,+15.11%,+0.49%,$195.73m,195730000,2021-06-07 06:23:24.637030
DODO,Dexes,DODO,Multi-Chain,+2.21%,-,+1.18%,$192.57m,192570000,2021-06-07 06:23:24.637030
Kava,Lending,KAVA,Kava,+1.43%,+26.79%,-1.32%,$191m,191000000,2021-06-07 06:23:24.637030
BarnBridge,Yield,BOND,Ethereum,-0.62%,+141%,-1.06%,$188.15m,188150000,2021-06-07 06:23:24.637030
PoolTogether,Protocols,POOL,Ethereum,+2.30%,-3.41%,-0.25%,$183m,183000000,2021-06-07 06:23:24.637030
StakeHound,Staking,-,Ethereum,+4.26%,+22.02%,+0.16%,$179.3m,179300000,2021-06-07 06:23:24.637030
Serum,Dexes,SRM,Solana,+7.52%,-5.71%,+0.11%,$178.33m,178330000,2021-06-07 06:23:24.637030
Integral,Dexes,-,Ethereum,+2.42%,+162%,-0.44%,$174.31m,174310000,2021-06-07 06:23:24.637030
ForTube,Lending,FOR,Multi-Chain,-2.77%,+5783%,-3.08%,$169.42m,169420000,2021-06-07 06:23:24.637030
SolFarm,Yield,TULIP,Solana,+4.15%,+31.31%,+0.14%,$149.46m,149460000,2021-06-07 06:23:24.637030
Depth,Dexes,DEP,Heco,+12.64%,-22.91%,+1.26%,$140.89m,140890000,2021-06-07 06:23:24.637030
bZx,Lending,BZRX,Ethereum,+4.32%,+9.48%,-0.70%,$137.19m,137190000,2021-06-07 06:23:24.637030
Ankr,Staking,ANKR,Ethereum,+4.37%,+22.91%,+0.16%,$135.94m,135940000,2021-06-07 06:23:24.637030
UMA Protocol,Protocols,UMA,Ethereum,+1.06%,+16.31%,+0.13%,$129.11m,129110000,2021-06-07 06:23:24.637030
Reflexer,Assets,RAI,Ethereum,+4.33%,+20.43%,+0.16%,$117.6m,117600000,2021-06-07 06:23:24.637030
