Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-17.79%,-28.35%,-0.61%,$10.36b,10360000000,2021-05-22 11:28:09.022679
PancakeSwap,Dexes,CAKE,Binance,0%,-0.09%,0%,$9.83b,9830000000,2021-05-22 11:28:09.022679
MakerDAO,Protocols,MKR,Ethereum,-18.50%,-43.20%,-0.01%,$8.46b,8460000000,2021-05-22 11:28:09.022679
Polygon,Protocols,MATIC,Polygon,-18.11%,+5.62%,+0.02%,$8.17b,8170000000,2021-05-22 11:28:09.022679
Compound,Lending,COMP,Ethereum,-10.80%,-32.35%,+0.01%,$7.28b,7280000000,2021-05-22 11:28:09.022679
Curve,Dexes,CRV,Ethereum,-8.71%,-22.67%,-0.32%,$7.1b,7100000000,2021-05-22 11:28:09.022679
WBTC,Assets,WBTC,Ethereum,-10.28%,-25.24%,+2.68%,$6.53b,6530000000,2021-05-22 11:28:09.022679
Uniswap,Dexes,UNI,Ethereum,-15.04%,-35.15%,+3.66%,$5.4b,5400000000,2021-05-22 11:28:09.022679
InstaDApp,Protocols,-,Ethereum,-7.46%,-12.37%,0%,$4.18b,4180000000,2021-05-22 11:28:09.022679
SushiSwap,Dexes,SUSHI,Ethereum,-0.27%,-12.68%,-1.39%,$4.06b,4060000000,2021-05-22 11:28:09.022679
Yearn Finance,Yield,YFI,Ethereum,-5.93%,-26.30%,0%,$3.4b,3400000000,2021-05-22 11:28:09.022679
Balancer,Dexes,BAL,Ethereum,-13.74%,-32.06%,-0.45%,$2.39b,2390000000,2021-05-22 11:28:09.022679
Venus,Lending,XVS,Binance,-13.98%,-65.64%,-2.06%,$2.24b,2240000000,2021-05-22 11:28:09.022679
Ellipsis Finance,Dexes,EPS,Binance,-0.29%,-20.56%,-0.02%,$2.06b,2060000000,2021-05-22 11:28:09.022679
Liquity,Protocols,LQTY,Ethereum,-20.11%,-52.19%,-0.35%,$1.95b,1950000000,2021-05-22 11:28:09.022679
Mirror,Assets,MIR,Terra,-3.43%,-13.84%,-0.04%,$1.85b,1850000000,2021-05-22 11:28:09.022679
