Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
MakerDAO,Protocols,MKR,Ethereum,-,-,-0.01%,$14.73b,14730000000,2021-05-11 06:48:13.403452
AAVE,Lending,AAVE,Ethereum,-1.74%,+3.31%,0%,$12.4b,12400000000,2021-05-11 06:48:13.403452
Compound,Lending,COMP,Ethereum,+0.13%,+13.03%,0%,$11.19b,11190000000,2021-05-11 06:48:13.403452
PancakeSwap,Dexes,CAKE,Binance,+6.71%,-0.24%,+4.03%,$10.49b,10490000000,2021-05-11 06:48:13.403452
WBTC,Assets,WBTC,Ethereum,-1.45%,+1.87%,0%,$9.78b,9780000000,2021-05-11 06:48:13.403452
Curve,Dexes,CRV,Ethereum,-0.08%,+20.50%,< 0.0001%,$8.98b,8980000000,2021-05-11 06:48:13.403452
Uniswap,Dexes,UNI,Ethereum,-0.04%,-0.23%,-0.15%,$8.6b,8600000000,2021-05-11 06:48:13.403452
Bunny,Yield,BUNNY,Binance,-6.66%,-9.20%,+0.12%,$6.85b,6850000000,2021-05-11 06:48:13.403452
Venus,Lending,XVS,Binance,-8.59%,+4.81%,+1.02%,$6.84b,6840000000,2021-05-11 06:48:13.403452
Polygon,Protocols,MATIC,Polygon,-3.93%,+10.90%,+0.06%,$5.4b,5400000000,2021-05-11 06:48:13.403452
SushiSwap,Dexes,SUSHI,Ethereum,-8.29%,-7.11%,+0.26%,$5.07b,5070000000,2021-05-11 06:48:13.403452
InstaDApp,Protocols,-,Ethereum,+0.74%,+24.57%,0%,$4.71b,4710000000,2021-05-11 06:48:13.403452
Liquity,Protocols,LQTY,Ethereum,+1.35%,+14.00%,+0.22%,$4.49b,4490000000,2021-05-11 06:48:13.403452
Yearn Finance,Yield,YFI,Ethereum,+0.57%,+19.93%,0%,$4.25b,4250000000,2021-05-11 06:48:13.403452
Balancer,Dexes,BAL,Ethereum,-1.14%,-0.49%,-0.05%,$3.44b,3440000000,2021-05-11 06:48:13.403452
Ellipsis Finance,Dexes,EPS,Binance,+0.36%,+18.45%,+0.01%,$2.69b,2690000000,2021-05-11 06:48:13.403452
Bancor,Dexes,BNT,Ethereum,-4.42%,+10.96%,+0.45%,$2.32b,2320000000,2021-05-11 06:48:13.403452
Mirror,Assets,MIR,Terra,-0.17%,+4.38%,-0.01%,$2.18b,2180000000,2021-05-11 06:48:13.403452
Lido,Staking,LDO,Multi-Chain,-0.26%,+31.72%,+0.76%,$2.11b,2110000000,2021-05-11 06:48:13.403452
Synthetix,Dexes,SNX,Ethereum,-5.70%,-9.46%,+0.16%,$1.96b,1960000000,2021-05-11 06:48:13.403452
Alchemix,Yield,ALCX,Ethereum,+0.01%,+26.98%,+0.17%,$1.69b,1690000000,2021-05-11 06:48:13.403452
Autofarm,Yield,AUTO,Multi-Chain,-3.00%,-6.04%,-0.19%,$1.69b,1690000000,2021-05-11 06:48:13.403452
Vesper,Yield,VSP,Ethereum,-2.26%,+14.92%,-0.13%,$1.61b,1610000000,2021-05-11 06:48:13.403452
Flexa,Protocols,AMP,Ethereum,-1.87%,+18.64%,+0.40%,$1.6b,1600000000,2021-05-11 06:48:13.403452
hBTC,Assets,hBTC,Ethereum,-2.87%,-0.27%,0%,$1.58b,1580000000,2021-05-11 06:48:13.403452
DefiSaver,Protocols,-,Ethereum,+3.78%,+28.32%,+1.69%,$1.49b,1490000000,2021-05-11 06:48:13.403452
Badger DAO,Yield,BADGER,Ethereum,-4.03%,+3.68%,+0.25%,$1.37b,1370000000,2021-05-11 06:48:13.403452
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.43%,-,-2.30%,$1.37b,1370000000,2021-05-11 06:48:13.403452
