Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-1.02%,+12.47%,-0.27%,$14.01b,14010000000,2021-05-16 11:14:50.307883
MakerDAO,Protocols,MKR,Ethereum,-6.59%,-,-4.82%,$13.56b,13560000000,2021-05-16 11:14:50.307883
Compound,Lending,COMP,Ethereum,-2.56%,-8.04%,-0.96%,$10.3b,10300000000,2021-05-16 11:14:50.307883
PancakeSwap,Dexes,CAKE,Binance,0%,+3.53%,0%,$9.83b,9830000000,2021-05-16 11:14:50.307883
Polygon,Protocols,MATIC,Polygon,+5.34%,+60.95%,-0.76%,$8.95b,8950000000,2021-05-16 11:14:50.307883
Curve,Dexes,CRV,Ethereum,-1.24%,-0.59%,-0.38%,$8.9b,8900000000,2021-05-16 11:14:50.307883
WBTC,Assets,WBTC,Ethereum,+0.16%,-13.36%,-0.39%,$8.61b,8610000000,2021-05-16 11:14:50.307883
Uniswap,Dexes,UNI,Ethereum,-2.91%,-9.24%,-0.82%,$7.86b,7860000000,2021-05-16 11:14:50.307883
Venus,Lending,XVS,Binance,-2.15%,-17.08%,-0.62%,$6.27b,6270000000,2021-05-16 11:14:50.307883
Bunny,Yield,BUNNY,Binance,-1.62%,-27.08%,+0.21%,$5.26b,5260000000,2021-05-16 11:14:50.307883
InstaDApp,Protocols,-,Ethereum,-1.14%,+1.35%,-0.17%,$4.75b,4750000000,2021-05-16 11:14:50.307883
Yearn Finance,Yield,YFI,Ethereum,+1.48%,+11.38%,+0.02%,$4.63b,4630000000,2021-05-16 11:14:50.307883
SushiSwap,Dexes,SUSHI,Ethereum,-1.80%,-19.95%,-0.86%,$4.48b,4480000000,2021-05-16 11:14:50.307883
Liquity,Protocols,LQTY,Ethereum,-6.07%,-16.64%,-0.49%,$3.72b,3720000000,2021-05-16 11:14:50.307883
Balancer,Dexes,BAL,Ethereum,-1.71%,-3.72%,+0.04%,$3.4b,3400000000,2021-05-16 11:14:50.307883
Ellipsis Finance,Dexes,EPS,Binance,+0.14%,+5.06%,-0.02%,$2.83b,2830000000,2021-05-16 11:14:50.307883
Synthetix,Dexes,SNX,Ethereum,-6.36%,+10.78%,-0.78%,$2.34b,2340000000,2021-05-16 11:14:50.307883
Belt Finance,Yield,BELT,Binance,-8.56%,-,-0.28%,$2.18b,2180000000,2021-05-16 11:14:50.307883
Bancor,Dexes,BNT,Ethereum,-2.81%,-9.44%,-0.54%,$2.16b,2160000000,2021-05-16 11:14:50.307883
Mirror,Assets,MIR,Terra,-1.28%,-1.10%,+0.13%,$2.15b,2150000000,2021-05-16 11:14:50.307883
