Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+14.87%,-2.10%,-1.78%,$12.37b,12370000000,2021-05-21 06:55:01.115806
MakerDAO,Protocols,MKR,Ethereum,+13.21%,-24.88%,-1.79%,$10.32b,10320000000,2021-05-21 06:55:01.115806
Polygon,Protocols,MATIC,Polygon,+8.81%,+48.84%,-0.84%,$9.69b,9690000000,2021-05-21 06:55:01.115806
Compound,Lending,COMP,Ethereum,+3.38%,-21.61%,-0.62%,$8.34b,8340000000,2021-05-21 06:55:01.115806
Curve,Dexes,CRV,Ethereum,+8.12%,-10.59%,-0.51%,$7.82b,7820000000,2021-05-21 06:55:01.115806
WBTC,Assets,WBTC,Ethereum,+6.36%,-15.36%,-0.80%,$7.32b,7320000000,2021-05-21 06:55:01.115806
Uniswap,Dexes,UNI,Ethereum,+9.69%,-19.53%,-1.30%,$6.33b,6330000000,2021-05-21 06:55:01.115806
InstaDApp,Protocols,-,Ethereum,+11.40%,+0.17%,+2.10%,$4.61b,4610000000,2021-05-21 06:55:01.115806
SushiSwap,Dexes,SUSHI,Ethereum,+12.55%,-3.69%,-1.21%,$4.17b,4170000000,2021-05-21 06:55:01.115806
Yearn Finance,Yield,YFI,Ethereum,+3.14%,-18.03%,-0.58%,$3.65b,3650000000,2021-05-21 06:55:01.115806
Balancer,Dexes,BAL,Ethereum,+8.13%,-18.08%,-0.67%,$2.78b,2780000000,2021-05-21 06:55:01.115806
Venus,Lending,XVS,Binance,+6.97%,-58.34%,-0.52%,$2.67b,2670000000,2021-05-21 06:55:01.115806
Liquity,Protocols,LQTY,Ethereum,+5.32%,-39.70%,-0.82%,$2.39b,2390000000,2021-05-21 06:55:01.115806
Ellipsis Finance,Dexes,EPS,Binance,+282%,-20.31%,-0.13%,$2.07b,2070000000,2021-05-21 06:55:01.115806
Mirror,Assets,MIR,Terra,-4.28%,-10.47%,-0.50%,$1.91b,1910000000,2021-05-21 06:55:01.115806
Synthetix,Dexes,SNX,Ethereum,+9.23%,-19.09%,-2.63%,$1.88b,1880000000,2021-05-21 06:55:01.115806
Bancor,Dexes,BNT,Ethereum,+12.37%,-22.73%,-1.56%,$1.66b,1660000000,2021-05-21 06:55:01.115806
Belt Finance,Yield,BELT,Binance,+16.55%,-39.87%,-0.34%,$1.41b,1410000000,2021-05-21 06:55:01.115806
hBTC,Assets,hBTC,Ethereum,+6.54%,-5.23%,-0.80%,$1.31b,1310000000,2021-05-21 06:55:01.115806
Alchemix,Yield,ALCX,Ethereum,+10.65%,-26.78%,-0.63%,$1.16b,1160000000,2021-05-21 06:55:01.115806
DefiSaver,Protocols,-,Ethereum,-4.58%,-23.33%,+1.84%,$1.15b,1150000000,2021-05-21 06:55:01.115806
Autofarm,Yield,AUTO,Multi-Chain,+11.67%,-29.70%,-1.41%,$1.14b,1140000000,2021-05-21 06:55:01.115806
Flexa,Protocols,AMP,Ethereum,+2.72%,-25.31%,-1.53%,$1.1b,1100000000,2021-05-21 06:55:01.115806
Lido,Staking,LDO,Multi-Chain,-25.13%,-51.06%,-1.39%,$1b,1000000000,2021-05-21 06:55:01.115806
Vesper,Yield,VSP,Ethereum,+4.42%,-31.00%,-1.30%,$973.87m,973870000,2021-05-21 06:55:01.115806
Quickswap,Dexes,QUICK,Polygon,+26.04%,+59.24%,-0.71%,$827.5m,827500000,2021-05-21 06:55:01.115806
Badger DAO,Yield,BADGER,Ethereum,+7.82%,-24.05%,-1.23%,$769.41m,769410000,2021-05-21 06:55:01.115806
RenVM,Assets,REN,Multi-Chain,+8.30%,-12.95%,-1.26%,$660.32m,660320000,2021-05-21 06:55:01.115806
Alpha Finance,Yield,ALPHA,Multi-Chain,-,-,-0.24%,$639.99m,639990000,2021-05-21 06:55:01.115806
Raydium,Dexes,RAY,Solana,+13.68%,-16.38%,-1.14%,$610.29m,610290000,2021-05-21 06:55:01.115806
Tornado Cash,Protocols,-,Ethereum,+8.84%,-27.03%,-0.82%,$491.25m,491250000,2021-05-21 06:55:01.115806
Unit Protocol,Protocols,DUCK,Ethereum,+18.61%,-13.05%,+0.39%,$458.34m,458340000,2021-05-21 06:55:01.115806
Nexus Mutual,Insurance,NXM,Ethereum,+13.87%,-26.16%,-1.91%,$456.35m,456350000,2021-05-21 06:55:01.115806
Nerve,Dexes,NRV,Binance,-2.64%,-45.43%,+0.43%,$450.86m,450860000,2021-05-21 06:55:01.115806
Wault,Yield,WEX,Binance,+13.58%,-33.71%,+0.28%,$436.6m,436600000,2021-05-21 06:55:01.115806
Thorchain,Dexes,RUNE,Binance,+1.26%,-29.62%,-1.13%,$423.43m,423430000,2021-05-21 06:55:01.115806
Fei Protocol,Assets,FEI,Ethereum,+3.67%,-17.31%,-0.20%,$410.82m,410820000,2021-05-21 06:55:01.115806
Harvest Finance,Yield,FARM,Ethereum,-2.23%,-22.84%,-1.30%,$393.12m,393120000,2021-05-21 06:55:01.115806
ACryptoS,Yield,ACS,Binance,+23.36%,-12.69%,-1.09%,$354.64m,354640000,2021-05-21 06:55:01.115806
Pangolin,Dexes,PNG,Avalanche,+0.22%,+4.64%,+0.05%,$341.73m,341730000,2021-05-21 06:55:01.115806
Depth,Dexes,DEP,Heco,-,-,+0.55%,$314.37m,314370000,2021-05-21 06:55:01.115806
