Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+4.88%,-28.37%,-0.53%,$10b,10000000000,2021-05-24 11:23:43.360074
Polygon,Protocols,MATIC,Polygon,+19.92%,-5.47%,+5.01%,$8.23b,8230000000,2021-05-24 11:23:43.360074
MakerDAO,Protocols,MKR,Ethereum,+5.14%,-38.28%,+2.49%,$8.15b,8150000000,2021-05-24 11:23:43.360074
Compound,Lending,COMP,Ethereum,+5.21%,-27.10%,+1.55%,$7.24b,7240000000,2021-05-24 11:23:43.360074
Curve,Dexes,CRV,Ethereum,-5.47%,-20.94%,+0.08%,$6.69b,6690000000,2021-05-24 11:23:43.360074
WBTC,Assets,WBTC,Ethereum,+6.17%,-18.51%,-0.59%,$6.64b,6640000000,2021-05-24 11:23:43.360074
PancakeSwap,Dexes,CAKE,Binance,+4.19%,-,+1.68%,$6.36b,6360000000,2021-05-24 11:23:43.360074
Uniswap,Dexes,UNI,Ethereum,+8.15%,-35.57%,-0.26%,$5.17b,5170000000,2021-05-24 11:23:43.360074
InstaDApp,Protocols,-,Ethereum,-4.85%,-24.01%,+2.03%,$3.8b,3800000000,2021-05-24 11:23:43.360074
Yearn Finance,Yield,YFI,Ethereum,-1.82%,-25.63%,+1.54%,$3.36b,3360000000,2021-05-24 11:23:43.360074
SushiSwap,Dexes,SUSHI,Ethereum,+7.24%,-23.40%,+0.34%,$3.3b,3300000000,2021-05-24 11:23:43.360074
Balancer,Dexes,BAL,Ethereum,+4.04%,-29.03%,+0.11%,$2.33b,2330000000,2021-05-24 11:23:43.360074
Venus,Lending,XVS,Binance,+4.98%,-64.74%,-0.09%,$2.03b,2030000000,2021-05-24 11:23:43.360074
Ellipsis Finance,Dexes,EPS,Binance,-0.71%,-28.27%,-0.01%,$2.02b,2020000000,2021-05-24 11:23:43.360074
Liquity,Protocols,LQTY,Ethereum,+6.02%,-43.89%,+2.59%,$1.96b,1960000000,2021-05-24 11:23:43.360074
Synthetix,Dexes,SNX,Ethereum,-3.32%,-25.93%,+6.57%,$1.59b,1590000000,2021-05-24 11:23:43.360074
Mirror,Assets,MIR,Terra,-11.38%,-25.60%,-5.51%,$1.59b,1590000000,2021-05-24 11:23:43.360074
Lido,Staking,LDO,Multi-Chain,+15.46%,-37.08%,+3.41%,$1.26b,1260000000,2021-05-24 11:23:43.360074
Bancor,Dexes,BNT,Ethereum,+5.20%,-37.84%,+3.83%,$1.26b,1260000000,2021-05-24 11:23:43.360074
Bunny,Yield,BUNNY,Binance,+17.08%,-72.68%,-0.22%,$1.18b,1180000000,2021-05-24 11:23:43.360074
hBTC,Assets,hBTC,Ethereum,+6.17%,-19.77%,-0.59%,$1.17b,1170000000,2021-05-24 11:23:43.360074
DefiSaver,Protocols,-,Ethereum,-4.58%,-23.33%,+1.84%,$1.15b,1150000000,2021-05-24 11:23:43.360074
Belt Finance,Yield,BELT,Binance,-0.90%,-45.88%,+0.06%,$1.12b,1120000000,2021-05-24 11:23:43.360074
