Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-16.51%,-13.21%,+4.93%,$11.3b,11300000000,2021-05-20 07:50:28.070004
MakerDAO,Protocols,MKR,Ethereum,-20.43%,-33.22%,+4.41%,$9.51b,9510000000,2021-05-20 07:50:28.070004
Polygon,Protocols,MATIC,Polygon,-12.93%,+39.16%,-1.45%,$8.98b,8980000000,2021-05-20 07:50:28.070004
Compound,Lending,COMP,Ethereum,-9.34%,-26.25%,+1.85%,$8.21b,8210000000,2021-05-20 07:50:28.070004
Curve,Dexes,CRV,Ethereum,-15.79%,-16.44%,+1.51%,$7.34b,7340000000,2021-05-20 07:50:28.070004
WBTC,Assets,WBTC,Ethereum,-3.21%,-19.82%,+2.58%,$7.06b,7060000000,2021-05-20 07:50:28.070004
Uniswap,Dexes,UNI,Ethereum,-12.79%,-26.53%,+3.09%,$5.95b,5950000000,2021-05-20 07:50:28.070004
InstaDApp,Protocols,-,Ethereum,-16.60%,-11.00%,+0.26%,$4.15b,4150000000,2021-05-20 07:50:28.070004
SushiSwap,Dexes,SUSHI,Ethereum,-20.00%,-16.54%,+2.68%,$3.8b,3800000000,2021-05-20 07:50:28.070004
Yearn Finance,Yield,YFI,Ethereum,-16.86%,-21.31%,+1.00%,$3.58b,3580000000,2021-05-20 07:50:28.070004
Balancer,Dexes,BAL,Ethereum,-14.56%,-23.54%,+3.32%,$2.66b,2660000000,2021-05-20 07:50:28.070004
Venus,Lending,XVS,Binance,-36.02%,-60.21%,+4.10%,$2.6b,2600000000,2021-05-20 07:50:28.070004
Liquity,Protocols,LQTY,Ethereum,-19.40%,-44.69%,-1.42%,$2.28b,2280000000,2021-05-20 07:50:28.070004
Mirror,Assets,MIR,Terra,-6.70%,-11.09%,-2.73%,$1.93b,1930000000,2021-05-20 07:50:28.070004
Synthetix,Dexes,SNX,Ethereum,-29.34%,-24.22%,+4.81%,$1.81b,1810000000,2021-05-20 07:50:28.070004
Bancor,Dexes,BNT,Ethereum,-19.46%,-31.18%,+3.96%,$1.54b,1540000000,2021-05-20 07:50:28.070004
Lido,Staking,LDO,Multi-Chain,-24.10%,-32.90%,+2.85%,$1.38b,1380000000,2021-05-20 07:50:28.070004
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.43%,-,-2.30%,$1.37b,1370000000,2021-05-20 07:50:28.070004
hBTC,Assets,hBTC,Ethereum,-3.00%,-10.63%,+2.58%,$1.26b,1260000000,2021-05-20 07:50:28.070004
Bunny,Yield,BUNNY,Binance,-62.18%,-79.42%,-2.65%,$1.24b,1240000000,2021-05-20 07:50:28.070004
Belt Finance,Yield,BELT,Binance,-18.52%,-,-0.74%,$1.2b,1200000000,2021-05-20 07:50:28.070004
DefiSaver,Protocols,-,Ethereum,-4.58%,-23.33%,+1.84%,$1.15b,1150000000,2021-05-20 07:50:28.070004
Alchemix,Yield,ALCX,Ethereum,-25.01%,-35.10%,+0.81%,$1.06b,1060000000,2021-05-20 07:50:28.070004
Flexa,Protocols,AMP,Ethereum,-13.06%,-31.12%,-2.49%,$1.05b,1050000000,2021-05-20 07:50:28.070004
Autofarm,Yield,AUTO,Multi-Chain,-24.38%,-36.34%,+1.80%,$1.04b,1040000000,2021-05-20 07:50:28.070004
Vesper,Yield,VSP,Ethereum,-17.58%,-36.68%,+2.84%,$959.18m,959180000,2021-05-20 07:50:28.070004
Badger DAO,Yield,BADGER,Ethereum,-9.50%,-33.97%,+1.71%,$725.81m,725810000,2021-05-20 07:50:28.070004
Quickswap,Dexes,QUICK,Polygon,-10.60%,+36.49%,+0.09%,$687.63m,687630000,2021-05-20 07:50:28.070004
RenVM,Assets,REN,Multi-Chain,-9.14%,-19.38%,+2.42%,$624.46m,624460000,2021-05-20 07:50:28.070004
Anchor,Lending,ANC,Terra,-17.25%,-23.21%,-0.93%,$566.77m,566770000,2021-05-20 07:50:28.070004
Raydium,Dexes,RAY,Solana,-30.98%,-29.87%,+3.16%,$553.8m,553800000,2021-05-20 07:50:28.070004
Ellipsis Finance,Dexes,EPS,Binance,-79.96%,-79.23%,+0.93%,$546.08m,546080000,2021-05-20 07:50:28.070004
Nerve,Dexes,NRV,Binance,-8.84%,-46.56%,-0.93%,$461.2m,461200000,2021-05-20 07:50:28.070004
