Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+6.94%,+80.96%,-0.00%,$10.42b,10420000000,2021-05-01 14:55:07.331003
PancakeSwap,Dexes,CAKE,Binance,+5.50%,+37.75%,+0.26%,$10.39b,10390000000,2021-05-01 14:55:07.331003
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-01 14:55:07.331003
WBTC,Assets,WBTC,Ethereum,+6.17%,+20.92%,+0.06%,$9.4b,9400000000,2021-05-01 14:55:07.331003
Compound,Lending,COMP,Ethereum,+2.91%,+11.11%,-0.00%,$9.2b,9200000000,2021-05-01 14:55:07.331003
Uniswap,Dexes,UNI,Ethereum,+3.13%,-0.34%,-0.02%,$7.97b,7970000000,2021-05-01 14:55:07.331003
Bunny,Yield,BUNNY,Binance,+2.11%,+85.05%,-0.09%,$7.2b,7200000000,2021-05-01 14:55:07.331003
Curve,Dexes,CRV,Ethereum,+3.06%,+14.93%,-0.05%,$7b,7000000000,2021-05-01 14:55:07.331003
Venus,Lending,XVS,Binance,+6.38%,+39.71%,+0.09%,$5.93b,5930000000,2021-05-01 14:55:07.331003
SushiSwap,Dexes,SUSHI,Ethereum,+11.99%,+31.81%,-0.50%,$5.15b,5150000000,2021-05-01 14:55:07.331003
Polygon,Protocols,MATIC,Polygon,-3.83%,+211%,-0.38%,$4.77b,4770000000,2021-05-01 14:55:07.331003
InstaDApp,Protocols,-,Ethereum,+1.27%,+34.11%,0%,$3.52b,3520000000,2021-05-01 14:55:07.331003
Liquity,Protocols,LQTY,Ethereum,+4.61%,+28.54%,+0.05%,$3.37b,3370000000,2021-05-01 14:55:07.331003
Yearn Finance,Yield,YFI,Ethereum,+1.49%,+11.94%,0%,$3.32b,3320000000,2021-05-01 14:55:07.331003
Balancer,Dexes,BAL,Ethereum,+3.06%,+27.15%,-0.05%,$3.19b,3190000000,2021-05-01 14:55:07.331003
Ellipsis Finance,Dexes,EPS,Binance,+7.86%,-22.44%,+0.29%,$2.27b,2270000000,2021-05-01 14:55:07.331003
Synthetix,Dexes,SNX,Ethereum,+0.74%,+28.70%,-0.06%,$2.09b,2090000000,2021-05-01 14:55:07.331003
Mirror,Assets,MIR,Terra,+2.19%,+6.92%,+0.02%,$2.05b,2050000000,2021-05-01 14:55:07.331003
Bancor,Dexes,BNT,Ethereum,+6.39%,+26.75%,+0.07%,$2.04b,2040000000,2021-05-01 14:55:07.331003
hBTC,Assets,hBTC,Ethereum,+5.82%,+16.17%,+0.06%,$1.61b,1610000000,2021-05-01 14:55:07.331003
Autofarm,Yield,AUTO,Multi-Chain,+4.92%,+156%,-0.06%,$1.59b,1590000000,2021-05-01 14:55:07.331003
Lido,Staking,LDO,Multi-Chain,+3.96%,+30.98%,+0.09%,$1.52b,1520000000,2021-05-01 14:55:07.331003
Vesper,Yield,VSP,Ethereum,+2.89%,+24.29%,-0.06%,$1.47b,1470000000,2021-05-01 14:55:07.331003
Flexa,Protocols,AMP,Ethereum,+8.90%,+21.85%,-0.05%,$1.35b,1350000000,2021-05-01 14:55:07.331003
Alchemix,Yield,ALCX,Ethereum,+6.44%,+2.05%,+0.04%,$1.24b,1240000000,2021-05-01 14:55:07.331003
Badger DAO,Yield,BADGER,Ethereum,+5.90%,$1.01b,+5.04%,$1.01b,1010000000,2021-05-01 14:55:07.331003
DefiSaver,Protocols,-,Ethereum,+5.04%,+31.76%,-0.05%,$970.72m,970720000,2021-05-01 14:55:07.331003
ValueDefi,Yield,VALUE,Multi-Chain,+2.97%,+7.46%,-2.06%,$959.49m,959490000,2021-05-01 14:55:07.331003
Alpha Finance,Yield,ALPHA,Multi-Chain,-6.68%,-3.61%,+0.54%,$917.55m,917550000,2021-05-01 14:55:07.331003
RenVM,Assets,REN,Multi-Chain,+6.52%,+13.75%,-0.06%,$875.16m,875160000,2021-05-01 14:55:07.331003
Raydium,Dexes,RAY,Solana,+12.24%,+99.56%,-0.31%,$828.4m,828400000,2021-05-01 14:55:07.331003
Anchor,Lending,-,Terra,+3.34%,+28.72%,+0.01%,$764.56m,764560000,2021-05-01 14:55:07.331003
Stacks,Protocols,STX,Stacks,+0.47%,+5.30%,0%,$734.76m,734760000,2021-05-01 14:55:07.331003
Nerve,Dexes,NRV,Binance,+4.32%,-,+0.25%,$594.02m,594020000,2021-05-01 14:55:07.331003
Thorchain,Dexes,RUNE,Binance,+0.22%,+21.79%,-0.47%,$589.07m,589070000,2021-05-01 14:55:07.331003
bZx,Lending,BZRX,Ethereum,-6.99%,-5.52%,-0.53%,$578.89m,578890000,2021-05-01 14:55:07.331003
Fantom,Protocols,FTM,Multi-Chain,-3.31%,+115%,+0.20%,$545.14m,545140000,2021-05-01 14:55:07.331003
Harvest Finance,Yield,FARM,Ethereum,+0.80%,+4.06%,0%,$526.55m,526550000,2021-05-01 14:55:07.331003
KeeperDAO,Yield,ROOK,Ethereum,+3.98%,+14.66%,-0.03%,$500.28m,500280000,2021-05-01 14:55:07.331003
Tornado Cash,Protocols,-,Ethereum,+6.55%,+40.57%,+0.17%,$494.21m,494210000,2021-05-01 14:55:07.331003
Integral,Dexes,-,Ethereum,-1.78%,-5.64%,-0.01%,$470.21m,470210000,2021-05-01 14:55:07.331003
Nexus Mutual,Insurance,NXM,Ethereum,+4.62%,+28.88%,+0.04%,$467.6m,467600000,2021-05-01 14:55:07.331003
Fei Protocol,Assets,FEI,Ethereum,+0.82%,-59.47%,-0.03%,$425.49m,425490000,2021-05-01 14:55:07.331003
Unit Protocol,Protocols,DUCK,Ethereum,+8.77%,+53.22%,+0.18%,$411.07m,411070000,2021-05-01 14:55:07.331003
Serum,Dexes,SRM,Solana,-4.06%,+7.34%,+6.02%,$409.82m,409820000,2021-05-01 14:55:07.331003
ACryptoS,Yield,ACS,Binance,+4.10%,+40.11%,0%,$407.57m,407570000,2021-05-01 14:55:07.331003
KEEP Network,Assets,KEEP,Ethereum,+2.94%,+26.19%,+0.16%,$377.96m,377960000,2021-05-01 14:55:07.331003
DefiChain,Protocols,DFI,DefiChain,+6.29%,+25.03%,+0.02%,$334.23m,334230000,2021-05-01 14:55:07.331003
1inch,Dexes,1INCH,Ethereum,+0.49%,+27.09%,-0.05%,$332.76m,332760000,2021-05-01 14:55:07.331003
Wing Finance,Lending,WING,Ontology,+2.12%,+13.45%,-0.14%,$332.5m,332500000,2021-05-01 14:55:07.331003
Kava,Lending,KAVA,Multi-Chain,+2.81%,+24.23%,-0.12%,$324.62m,324620000,2021-05-01 14:55:07.331003
CREAM Finance,Lending,CREAM,Ethereum,+1.74%,+18.41%,+0.04%,$324.39m,324390000,2021-05-01 14:55:07.331003
Reflexer,Assets,RAI,Ethereum,+2.37%,+26.30%,-0.02%,$322.27m,322270000,2021-05-01 14:55:07.331003
Pangolin,Dexes,PNG,Avalanche,+18.37%,+65.31%,-0.27%,$290.99m,290990000,2021-05-01 14:55:07.331003
Set Protocol,Indexes,-,Ethereum,+6.11%,+38.84%,+0.46%,$283.54m,283540000,2021-05-01 14:55:07.331003
Sablier Finance,Protocols,-,Ethereum,+2.17%,+4.90%,+0.19%,$257.49m,257490000,2021-05-01 14:55:07.331003
Index Coop,Indexes,INDEX,Ethereum,+6.73%,+45.04%,-0.45%,$230.86m,230860000,2021-05-01 14:55:07.331003
dYdX,Dexes,-,Ethereum,+0.76%,-17.35%,-0.04%,$226.31m,226310000,2021-05-01 14:55:07.331003
Loopring,Dexes,LRC,Ethereum,+2.76%,+21.28%,+0.10%,$220.27m,220270000,2021-05-01 14:55:07.331003
PoolTogether,Protocols,POOL,Ethereum,+1.82%,-2.57%,+0.13%,$214.38m,214380000,2021-05-01 14:55:07.331003
yAxis,Yield,YAX,Ethereum,-12.36%,+355%,-3.28%,$213.09m,213090000,2021-05-01 14:55:07.331003
