Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-6.13%,-,+0.48%,$11.64b,11640000000,2021-05-29 06:45:06.488210
MakerDAO,Protocols,MKR,Ethereum,-7.22%,-,-0.38%,$8.72b,8720000000,2021-05-29 06:45:06.488210
PancakeSwap,Dexes,CAKE,Binance,+7.86%,-,+2.97%,$8.08b,8080000000,2021-05-29 06:45:06.488210
Curve,Dexes,CRV,Ethereum,+1.13%,-,+0.16%,$7.89b,7890000000,2021-05-29 06:45:06.488210
Compound,Lending,COMP,Ethereum,-4.08%,-,-0.36%,$7.58b,7580000000,2021-05-29 06:45:06.488210
WBTC,Assets,WBTC,Ethereum,-4.51%,-,-0.14%,$6.74b,6740000000,2021-05-29 06:45:06.488210
Uniswap,Dexes,UNI,Ethereum,-5.42%,-,+0.20%,$5.5b,5500000000,2021-05-29 06:45:06.488210
SushiSwap,Dexes,SUSHI,Ethereum,-5.11%,-,+0.11%,$3.97b,3970000000,2021-05-29 06:45:06.488210
InstaDApp,Protocols,-,Ethereum,-2.25%,-,-0.15%,$3.91b,3910000000,2021-05-29 06:45:06.488210
Yearn Finance,Yield,YFI,Ethereum,-1.66%,-,-0.15%,$3.81b,3810000000,2021-05-29 06:45:06.488210
Balancer,Dexes,BAL,Ethereum,-4.53%,-,+0.06%,$2.34b,2340000000,2021-05-29 06:45:06.488210
Liquity,Protocols,LQTY,Ethereum,-6.89%,-,-0.40%,$2.32b,2320000000,2021-05-29 06:45:06.488210
Venus,Lending,XVS,Binance,-4.91%,-,+0.09%,$2.26b,2260000000,2021-05-29 06:45:06.488210
Mirror,Assets,MIR,Terra,+3.46%,-,+0.03%,$1.77b,1770000000,2021-05-29 06:45:06.488210
Belt Finance,Yield,BELT,Binance,-1.92%,-,+0.16%,$1.54b,1540000000,2021-05-29 06:45:06.488210
Synthetix,Dexes,SNX,Ethereum,-7.85%,-,-0.24%,$1.45b,1450000000,2021-05-29 06:45:06.488210
Bancor,Dexes,BNT,Ethereum,-7.57%,-,-0.61%,$1.44b,1440000000,2021-05-29 06:45:06.488210
Lido,Staking,LDO,Multi-Chain,-8.28%,-,+0.26%,$1.4b,1400000000,2021-05-29 06:45:06.488210
Ellipsis Finance,Dexes,EPS,Binance,+0.15%,-,-0.02%,$1.39b,1390000000,2021-05-29 06:45:06.488210
Bunny,Yield,BUNNY,Binance,-6.83%,-,+0.55%,$1.22b,1220000000,2021-05-29 06:45:06.488210
Alchemix,Yield,ALCX,Ethereum,+1.78%,-,+0.06%,$1.21b,1210000000,2021-05-29 06:45:06.488210
hBTC,Assets,hBTC,Ethereum,-4.77%,-,-0.14%,$1.16b,1160000000,2021-05-29 06:45:06.488210
Autofarm,Yield,AUTO,Multi-Chain,-6.84%,-,+0.28%,$1.01b,1010000000,2021-05-29 06:45:06.488210
Flexa,Protocols,AMP,Ethereum,-11.34%,-,-3.13%,$931.11m,931110000,2021-05-29 06:45:06.488210
Quickswap,Dexes,QUICK,Polygon,-4.65%,-,-0.00%,$914.58m,914580000,2021-05-29 06:45:06.488210
Alpha Finance,Yield,ALPHA,Multi-Chain,+9.75%,-,-0.59%,$713.01m,713010000,2021-05-29 06:45:06.488210
Vesper,Yield,VSP,Ethereum,-4.23%,-,-0.39%,$703.63m,703630000,2021-05-29 06:45:06.488210
Convex Finance,Yield,CVX,Ethereum,+4.30%,-,-0.28%,$684.64m,684640000,2021-05-29 06:45:06.488210
Badger DAO,Yield,BADGER,Ethereum,-5.07%,-,-0.18%,$666.85m,666850000,2021-05-29 06:45:06.488210
RenVM,Assets,REN,Multi-Chain,-6.60%,-,-0.82%,$554.93m,554930000,2021-05-29 06:45:06.488210
DefiSaver,Protocols,-,Ethereum,-13.01%,-,+0.10%,$545.24m,545240000,2021-05-29 06:45:06.488210
Beefy Finance,Yield,BIFI,Multi-Chain,-2.91%,-,+2.18%,$539.03m,539030000,2021-05-29 06:45:06.488210
Anchor,Lending,ANC,Terra,-4.44%,-,-0.18%,$489.56m,489560000,2021-05-29 06:45:06.488210
Nerve,Dexes,NRV,Binance,-0.65%,-,-0.37%,$445.39m,445390000,2021-05-29 06:45:06.488210
Tornado Cash,Protocols,-,Ethereum,-7.55%,-,-0.01%,$442.93m,442930000,2021-05-29 06:45:06.488210
Raydium,Dexes,RAY,Solana,-6.93%,-,-0.07%,$437.52m,437520000,2021-05-29 06:45:06.488210
Nexus Mutual,Insurance,NXM,Ethereum,-7.42%,-,-0.40%,$407.69m,407690000,2021-05-29 06:45:06.488210
Pangolin,Dexes,PNG,Avalanche,-0.92%,-,-2.80%,$366.77m,366770000,2021-05-29 06:45:06.488210
Fei Protocol,Assets,FEI,Ethereum,-6.45%,-,-0.56%,$362.12m,362120000,2021-05-29 06:45:06.488210
Wault,Yield,WEX,Binance,-5.58%,-,-0.40%,$360.99m,360990000,2021-05-29 06:45:06.488210
Thorchain,Dexes,RUNE,Binance,-17.03%,-,-0.87%,$326.76m,326760000,2021-05-29 06:45:06.488210
Harvest Finance,Yield,FARM,Ethereum,-2.83%,-,+0.35%,$312.2m,312200000,2021-05-29 06:45:06.488210
Unit Protocol,Protocols,DUCK,Ethereum,-12.94%,-,-0.21%,$307.14m,307140000,2021-05-29 06:45:06.488210
Serum,Dexes,SRM,Solana,-5.01%,-,+7.57%,$277.5m,277500000,2021-05-29 06:45:06.488210
ACryptoS,Yield,ACS,Binance,-6.88%,-,-0.37%,$273.29m,273290000,2021-05-29 06:45:06.488210
Set Protocol,Indexes,-,Ethereum,-8.96%,-,-0.47%,$237.83m,237830000,2021-05-29 06:45:06.488210
Wing Finance,Lending,WING,Ontology,-3.63%,-,+0.05%,$225.25m,225250000,2021-05-29 06:45:06.488210
CREAM Finance,Lending,CREAM,Ethereum,-5.97%,-,-0.23%,$224.13m,224130000,2021-05-29 06:45:06.488210
Depth,Dexes,DEP,Heco,+1.79%,-,+0.20%,$204.6m,204600000,2021-05-29 06:45:06.488210
Index Coop,Indexes,INDEX,Ethereum,-9.43%,-,-0.36%,$202.82m,202820000,2021-05-29 06:45:06.488210
Idle Finance,Yield,IDLE,Ethereum,+4.91%,-,+0.01%,$195.94m,195940000,2021-05-29 06:45:06.488210
PoolTogether,Protocols,POOL,Ethereum,+0.48%,-,-1.02%,$193.2m,193200000,2021-05-29 06:45:06.488210
Flamingo Finance,Dexes,FLM,NEO,-9.26%,-,-0.65%,$185.31m,185310000,2021-05-29 06:45:06.488210
KEEP Network,Assets,KEEP,Ethereum,-7.05%,-,+0.03%,$183.98m,183980000,2021-05-29 06:45:06.488210
B.Protocol,Lending,BPRO,Ethereum,-5.47%,-,-0.35%,$179.99m,179990000,2021-05-29 06:45:06.488210
Dfyn Network,Dexes,DFYN,Polygon,-5.54%,-,-0.11%,$166.71m,166710000,2021-05-29 06:45:06.488210
Kava,Lending,KAVA,Multi-Chain,-5.04%,-,-0.24%,$162.1m,162100000,2021-05-29 06:45:06.488210
StakeHound,Staking,-,Ethereum,-7.43%,-,-0.40%,$160.95m,160950000,2021-05-29 06:45:06.488210
dYdX,Dexes,-,Ethereum,-5.17%,-,-0.28%,$149.12m,149120000,2021-05-29 06:45:06.488210
Loopring,Dexes,LRC,Ethereum,-18.30%,-,+0.13%,$145.87m,145870000,2021-05-29 06:45:06.488210
bZx,Lending,BZRX,Ethereum,-8.94%,-,+0.08%,$138.05m,138050000,2021-05-29 06:45:06.488210
TrueFi,Lending,TRU,Ethereum,-1.17%,-,-0.24%,$130.47m,130470000,2021-05-29 06:45:06.488210
Deus,Protocols,DEUS,Multi-Chain,+13.47%,+41.82%,+0.25%,$129.69m,129690000,2021-05-29 06:45:06.488210
