Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+2.74%,+81.67%,-0.03%,$10.47b,10470000000,2021-05-02 08:10:45.644950
PancakeSwap,Dexes,CAKE,Binance,-5.76%,+265%,-0.45%,$9.76b,9760000000,2021-05-02 08:10:45.644950
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-02 08:10:45.644950
WBTC,Assets,WBTC,Ethereum,-2.17%,+18.83%,-0.03%,$9.26b,9260000000,2021-05-02 08:10:45.644950
Compound,Lending,COMP,Ethereum,+11.83%,$9.22b,-0.09%,$9.22b,9220000000,2021-05-02 08:10:45.644950
Uniswap,Dexes,UNI,Ethereum,-0.51%,-0.02%,+0.02%,$7.92b,7920000000,2021-05-02 08:10:45.644950
Bunny,Yield,BUNNY,Binance,+0.52%,+69.99%,+0.37%,$7.27b,7270000000,2021-05-02 08:10:45.644950
Curve,Dexes,CRV,Ethereum,+0.66%,+14.54%,-0.26%,$7.03b,7030000000,2021-05-02 08:10:45.644950
Venus,Lending,XVS,Binance,+4.46%,+47.92%,+0.07%,$6.2b,6200000000,2021-05-02 08:10:45.644950
SushiSwap,Dexes,SUSHI,Ethereum,+1.18%,+36.71%,-0.02%,$5.22b,5220000000,2021-05-02 08:10:45.644950
Polygon,Protocols,MATIC,Polygon,+2.70%,+203%,+0.27%,$4.7b,4700000000,2021-05-02 08:10:45.644950
InstaDApp,Protocols,-,Ethereum,+1.67%,+34.74%,0%,$3.55b,3550000000,2021-05-02 08:10:45.644950
Liquity,Protocols,LQTY,Ethereum,+1.52%,+31.07%,-0.19%,$3.4b,3400000000,2021-05-02 08:10:45.644950
Yearn Finance,Yield,YFI,Ethereum,-0.14%,+11.51%,0%,$3.31b,3310000000,2021-05-02 08:10:45.644950
Balancer,Dexes,BAL,Ethereum,+1.78%,+29.11%,-0.00%,$3.22b,3220000000,2021-05-02 08:10:45.644950
Ellipsis Finance,Dexes,EPS,Binance,+20.47%,-9.33%,+0.02%,$2.64b,2640000000,2021-05-02 08:10:45.644950
Synthetix,Dexes,SNX,Ethereum,-3.67%,+30.88%,+0.17%,$2.06b,2060000000,2021-05-02 08:10:45.644950
Mirror,Assets,MIR,Terra,+5.78%,$2.05b,-0.02%,$2.05b,2050000000,2021-05-02 08:10:45.644950
Bancor,Dexes,BNT,Ethereum,-0.16%,+27.34%,-0.02%,$2.03b,2030000000,2021-05-02 08:10:45.644950
Autofarm,Yield,AUTO,Multi-Chain,+0.80%,+142%,-0.01%,$1.59b,1590000000,2021-05-02 08:10:45.644950
hBTC,Assets,hBTC,Ethereum,-2.17%,+14.79%,-0.03%,$1.59b,1590000000,2021-05-02 08:10:45.644950
Lido,Staking,LDO,Multi-Chain,+1.06%,+24.65%,+0.09%,$1.53b,1530000000,2021-05-02 08:10:45.644950
Vesper,Yield,VSP,Ethereum,-1.38%,+27.51%,+0.09%,$1.47b,1470000000,2021-05-02 08:10:45.644950
Flexa,Protocols,AMP,Ethereum,-0.23%,+27.59%,+0.41%,$1.35b,1350000000,2021-05-02 08:10:45.644950
Alchemix,Yield,ALCX,Ethereum,+1.92%,+2.54%,+0.13%,$1.24b,1240000000,2021-05-02 08:10:45.644950
Badger DAO,Yield,BADGER,Ethereum,-2.33%,+4.21%,-0.00%,$996.97m,996970000,2021-05-02 08:10:45.644950
DefiSaver,Protocols,-,Ethereum,+2.26%,+35.25%,+0.01%,$984.65m,984650000,2021-05-02 08:10:45.644950
ValueDefi,Yield,VALUE,Multi-Chain,+2.07%,+6.61%,+0.22%,$955.74m,955740000,2021-05-02 08:10:45.644950
Alpha Finance,Yield,ALPHA,Multi-Chain,-6.68%,-3.61%,+0.54%,$917.55m,917550000,2021-05-02 08:10:45.644950
Raydium,Dexes,RAY,Solana,+10.29%,+97.95%,+0.81%,$893.8m,893800000,2021-05-02 08:10:45.644950
RenVM,Assets,REN,Multi-Chain,-2.45%,+17.19%,-0.02%,$858.23m,858230000,2021-05-02 08:10:45.644950
Anchor,Lending,-,Terra,-2.42%,+14.74%,+0.13%,$751.23m,751230000,2021-05-02 08:10:45.644950
Stacks,Protocols,STX,Stacks,-2.80%,+5.65%,-0.48%,$720.89m,720890000,2021-05-02 08:10:45.644950
Nerve,Dexes,NRV,Binance,+17.93%,-,+0.38%,$688.17m,688170000,2021-05-02 08:10:45.644950
Fantom,Protocols,FTM,Multi-Chain,+11.36%,+152%,-0.62%,$622.31m,622310000,2021-05-02 08:10:45.644950
Thorchain,Dexes,RUNE,Binance,-5.06%,+26.72%,+0.27%,$570.85m,570850000,2021-05-02 08:10:45.644950
Harvest Finance,Yield,FARM,Ethereum,+2.86%,$530.31m,-0.57%,$530.31m,530310000,2021-05-02 08:10:45.644950
bZx,Lending,BZRX,Ethereum,-19.17%,-13.07%,+0.13%,$524.03m,524030000,2021-05-02 08:10:45.644950
KeeperDAO,Yield,ROOK,Ethereum,+0.72%,+16.72%,-0.01%,$502.25m,502250000,2021-05-02 08:10:45.644950
Tornado Cash,Protocols,-,Ethereum,+2.58%,+45.48%,-0.28%,$498.25m,498250000,2021-05-02 08:10:45.644950
Integral,Dexes,-,Ethereum,+0.70%,-1.23%,+0.06%,$474.1m,474100000,2021-05-02 08:10:45.644950
Nexus Mutual,Insurance,NXM,Ethereum,+2.11%,+33.34%,+0.01%,$473.87m,473870000,2021-05-02 08:10:45.644950
Unit Protocol,Protocols,DUCK,Ethereum,+12.08%,+73.36%,-0.27%,$461.54m,461540000,2021-05-02 08:10:45.644950
Fei Protocol,Assets,FEI,Ethereum,+1.15%,-58.16%,+0.12%,$428.07m,428070000,2021-05-02 08:10:45.644950
Serum,Dexes,SRM,Solana,-4.06%,+7.34%,+6.02%,$409.82m,409820000,2021-05-02 08:10:45.644950
ACryptoS,Yield,ACS,Binance,-3.94%,+35.92%,0%,$396.98m,396980000,2021-05-02 08:10:45.644950
KEEP Network,Assets,KEEP,Ethereum,+0.02%,+30.21%,+0.31%,$378.67m,378670000,2021-05-02 08:10:45.644950
Wing Finance,Lending,WING,Ontology,-0.04%,+14.44%,-0.01%,$333.09m,333090000,2021-05-02 08:10:45.644950
DefiChain,Protocols,DFI,DefiChain,-0.89%,+24.14%,+0.25%,$331.42m,331420000,2021-05-02 08:10:45.644950
1inch,Dexes,1INCH,Ethereum,-2.67%,+25.74%,+0.03%,$326.85m,326850000,2021-05-02 08:10:45.644950
CREAM Finance,Lending,CREAM,Ethereum,-0.61%,+19.73%,+0.26%,$322.85m,322850000,2021-05-02 08:10:45.644950
Reflexer,Assets,RAI,Ethereum,-0.70%,+29.10%,+0.12%,$320m,320000000,2021-05-02 08:10:45.644950
Kava,Lending,KAVA,Multi-Chain,-2.76%,+25.27%,+0.19%,$319.46m,319460000,2021-05-02 08:10:45.644950
Set Protocol,Indexes,-,Ethereum,+1.67%,+41.71%,-0.49%,$284.96m,284960000,2021-05-02 08:10:45.644950
Pangolin,Dexes,PNG,Avalanche,-6.38%,+60.62%,+0.59%,$280.02m,280020000,2021-05-02 08:10:45.644950
Sablier Finance,Protocols,-,Ethereum,-4.31%,+3.04%,-0.05%,$248.94m,248940000,2021-05-02 08:10:45.644950
Index Coop,Indexes,INDEX,Ethereum,+2.90%,+49.64%,-0.02%,$234.78m,234780000,2021-05-02 08:10:45.644950
dYdX,Dexes,-,Ethereum,-1.83%,-15.48%,+0.28%,$221.34m,221340000,2021-05-02 08:10:45.644950
Loopring,Dexes,LRC,Ethereum,+0.80%,+24.31%,+0.15%,$220.65m,220650000,2021-05-02 08:10:45.644950
PoolTogether,Protocols,POOL,Ethereum,-2.51%,-5.27%,-0.03%,$207.92m,207920000,2021-05-02 08:10:45.644950
yAxis,Yield,YAX,Ethereum,-5.12%,+83.59%,+0.02%,$204.05m,204050000,2021-05-02 08:10:45.644950
UMA Protocol,Protocols,UMA,Ethereum,-0.96%,+20.32%,+0.35%,$201.05m,201050000,2021-05-02 08:10:45.644950
StakeHound,Staking,-,Ethereum,+2.29%,+34.44%,+0.12%,$186.95m,186950000,2021-05-02 08:10:45.644950
Idle Finance,Yield,IDLE,Ethereum,-7.60%,$165.79m,-6.00%,$165.79m,165790000,2021-05-02 08:10:45.644950
B.Protocol,Lending,BPRO,Ethereum,-4.17%,-,+0.01%,$155.81m,155810000,2021-05-02 08:10:45.644950
DODO,Dexes,DODO,Ethereum,+8.10%,+32.04%,+0.07%,$154.03m,154030000,2021-05-02 08:10:45.644950
Ankr,Staking,ANKR,Ethereum,+2.29%,+34.94%,+0.12%,$129.46m,129460000,2021-05-02 08:10:45.644950
Goose Finance,Yield,EGG,Binance,+1.35%,+30.01%,+0.16%,$126.98m,126980000,2021-05-02 08:10:45.644950
MANTRA DAO,Protocols,OM,Ethereum,-3.04%,+36.22%,-0.38%,$126.47m,126470000,2021-05-02 08:10:45.644950
OnX.Finance,Lending,ONX,Ethereum,-0.61%,+30.35%,+0.22%,$120.91m,120910000,2021-05-02 08:10:45.644950
Unslashed,Insurance,USF,Ethereum,+1.99%,+33.45%,+0.09%,$118.63m,118630000,2021-05-02 08:10:45.644950
Secret Network,Protocols,SCRT,Secret,-0.72%,+13.64%,+0.15%,$107.38m,107380000,2021-05-02 08:10:45.644950
