Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+5.39%,+26.36%,+0.03%,$11.95b,11950000000,2021-05-07 09:03:18.662121
Compound,Lending,COMP,Ethereum,-0.88%,+11.60%,+0.86%,$9.95b,9950000000,2021-05-07 09:03:18.662121
PancakeSwap,Dexes,CAKE,Binance,+92.36%,-1.44%,0%,$9.84b,9840000000,2021-05-07 09:03:18.662121
MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000,2021-05-07 09:03:18.662121
WBTC,Assets,WBTC,Ethereum,-1.00%,+8.65%,+0.24%,$9.58b,9580000000,2021-05-07 09:03:18.662121
Uniswap,Dexes,UNI,Ethereum,-2.91%,+3.94%,+0.31%,$8.1b,8100000000,2021-05-07 09:03:18.662121
Curve,Dexes,CRV,Ethereum,+2.47%,+14.45%,+0.22%,$7.85b,7850000000,2021-05-07 09:03:18.662121
Venus,Lending,XVS,Binance,+0.15%,+27.45%,+0.65%,$7.12b,7120000000,2021-05-07 09:03:18.662121
Bunny,Yield,BUNNY,Binance,-3.78%,-3.70%,+0.25%,$6.98b,6980000000,2021-05-07 09:03:18.662121
SushiSwap,Dexes,SUSHI,Ethereum,+1.54%,+14.77%,+0.33%,$5.31b,5310000000,2021-05-07 09:03:18.662121
Polygon,Protocols,MATIC,Polygon,-0.56%,-6.91%,+0.39%,$4.72b,4720000000,2021-05-07 09:03:18.662121
InstaDApp,Protocols,-,Ethereum,+0.69%,+20.41%,0%,$4.22b,4220000000,2021-05-07 09:03:18.662121
Liquity,Protocols,LQTY,Ethereum,+1.05%,+19.61%,+0.24%,$3.92b,3920000000,2021-05-07 09:03:18.662121
Yearn Finance,Yield,YFI,Ethereum,+2.91%,+24.38%,0%,$3.83b,3830000000,2021-05-07 09:03:18.662121
Balancer,Dexes,BAL,Ethereum,-6.11%,+5.96%,+0.20%,$3.26b,3260000000,2021-05-07 09:03:18.662121
Ellipsis Finance,Dexes,EPS,Binance,+0.54%,+13.44%,+0.01%,$2.76b,2760000000,2021-05-07 09:03:18.662121
Bancor,Dexes,BNT,Ethereum,+1.16%,+16.94%,+0.58%,$2.24b,2240000000,2021-05-07 09:03:18.662121
Synthetix,Dexes,SNX,Ethereum,+7.57%,+2.97%,+0.66%,$2.16b,2160000000,2021-05-07 09:03:18.662121
Mirror,Assets,MIR,Terra,-0.12%,+4.03%,-0.20%,$2.15b,2150000000,2021-05-07 09:03:18.662121
Autofarm,Yield,AUTO,Multi-Chain,-2.69%,+17.77%,+0.24%,$1.77b,1770000000,2021-05-07 09:03:18.662121
Lido,Staking,LDO,Multi-Chain,+1.12%,+19.63%,+0.54%,$1.75b,1750000000,2021-05-07 09:03:18.662121
Flexa,Protocols,AMP,Ethereum,+16.07%,+35.59%,+1.19%,$1.73b,1730000000,2021-05-07 09:03:18.662121
hBTC,Assets,hBTC,Ethereum,-1.00%,+3.24%,+0.24%,$1.57b,1570000000,2021-05-07 09:03:18.662121
Alchemix,Yield,ALCX,Ethereum,+5.03%,+27.76%,+1.60%,$1.49b,1490000000,2021-05-07 09:03:18.662121
Vesper,Yield,VSP,Ethereum,+0.41%,+5.01%,+0.32%,$1.47b,1470000000,2021-05-07 09:03:18.662121
