Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
MakerDAO,Protocols,MKR,Ethereum,+10.11%,-,-0.07%,$15.86b,15860000000,2021-05-12 06:53:43.089380
AAVE,Lending,AAVE,Ethereum,+11.45%,+13.86%,-0.85%,$13.47b,13470000000,2021-05-12 06:53:43.089380
Compound,Lending,COMP,Ethereum,+8.75%,+24.61%,-0.02%,$12.04b,12040000000,2021-05-12 06:53:43.089380
PancakeSwap,Dexes,CAKE,Binance,-,+2.70%,0%,$10.49b,10490000000,2021-05-12 06:53:43.089380
WBTC,Assets,WBTC,Ethereum,+4.84%,+7.21%,-0.13%,$10b,10000000000,2021-05-12 06:53:43.089380
Curve,Dexes,CRV,Ethereum,+6.27%,+25.51%,-0.04%,$9.38b,9380000000,2021-05-12 06:53:43.089380
Uniswap,Dexes,UNI,Ethereum,+8.25%,+6.93%,-0.00%,$9.11b,9110000000,2021-05-12 06:53:43.089380
Venus,Lending,XVS,Binance,-,+7.48%,+1.05%,$7.31b,7310000000,2021-05-12 06:53:43.089380
Bunny,Yield,BUNNY,Binance,+0.74%,-6.38%,-0.13%,$6.83b,6830000000,2021-05-12 06:53:43.089380
Polygon,Protocols,MATIC,Polygon,+21.02%,+37.03%,-0.35%,$6.27b,6270000000,2021-05-12 06:53:43.089380
SushiSwap,Dexes,SUSHI,Ethereum,+11.01%,+1.86%,+0.16%,$5.23b,5230000000,2021-05-12 06:53:43.089380
InstaDApp,Protocols,-,Ethereum,+3.93%,+27.81%,0%,$4.86b,4860000000,2021-05-12 06:53:43.089380
Liquity,Protocols,LQTY,Ethereum,-,+23.53%,-0.19%,$4.65b,4650000000,2021-05-12 06:53:43.089380
Yearn Finance,Yield,YFI,Ethereum,+11.15%,+30.38%,0%,$4.64b,4640000000,2021-05-12 06:53:43.089380
Balancer,Dexes,BAL,Ethereum,+9.62%,+9.57%,+0.08%,$3.71b,3710000000,2021-05-12 06:53:43.089380
Ellipsis Finance,Dexes,EPS,Binance,-1.03%,-3.91%,-0.01%,$2.67b,2670000000,2021-05-12 06:53:43.089380
Bancor,Dexes,BNT,Ethereum,-,+15.08%,+2.02%,$2.48b,2480000000,2021-05-12 06:53:43.089380
Lido,Staking,LDO,Multi-Chain,-,+35.96%,+2.67%,$2.25b,2250000000,2021-05-12 06:53:43.089380
Synthetix,Dexes,SNX,Ethereum,+15.68%,+11.53%,-0.51%,$2.19b,2190000000,2021-05-12 06:53:43.089380
Mirror,Assets,MIR,Terra,+0.53%,+3.05%,-0.10%,$2.19b,2190000000,2021-05-12 06:53:43.089380
Autofarm,Yield,AUTO,Multi-Chain,-,+1.94%,+0.38%,$1.81b,1810000000,2021-05-12 06:53:43.089380
Alchemix,Yield,ALCX,Ethereum,-,+24.58%,+0.53%,$1.69b,1690000000,2021-05-12 06:53:43.089380
Vesper,Yield,VSP,Ethereum,+6.05%,+16.62%,-0.07%,$1.67b,1670000000,2021-05-12 06:53:43.089380
Flexa,Protocols,AMP,Ethereum,+3.40%,+24.15%,-1.45%,$1.64b,1640000000,2021-05-12 06:53:43.089380
DefiSaver,Protocols,-,Ethereum,-,+41.14%,+2.25%,$1.62b,1620000000,2021-05-12 06:53:43.089380
hBTC,Assets,hBTC,Ethereum,+4.84%,+5.32%,-0.13%,$1.61b,1610000000,2021-05-12 06:53:43.089380
Badger DAO,Yield,BADGER,Ethereum,-,+4.53%,+1.16%,$1.43b,1430000000,2021-05-12 06:53:43.089380
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.43%,-,-2.30%,$1.37b,1370000000,2021-05-12 06:53:43.089380
Wault,Yield,WEX,Binance,-,-,-0.02%,$916.13m,916130000,2021-05-12 06:53:43.089380
Nerve,Dexes,NRV,Binance,-,+2.88%,+0.30%,$905.94m,905940000,2021-05-12 06:53:43.089380
Raydium,Dexes,RAY,Solana,+10.93%,-1.32%,+0.16%,$893.16m,893160000,2021-05-12 06:53:43.089380
RenVM,Assets,REN,Multi-Chain,+5.78%,-0.29%,-0.35%,$864.07m,864070000,2021-05-12 06:53:43.089380
Anchor,Lending,ANC,Terra,-,+2.48%,+0.01%,$791.54m,791540000,2021-05-12 06:53:43.089380
Tornado Cash,Protocols,-,Ethereum,+9.93%,+35.22%,-0.08%,$782.76m,782760000,2021-05-12 06:53:43.089380
Nexus Mutual,Insurance,NXM,Ethereum,+10.50%,+30.24%,-0.05%,$699.77m,699770000,2021-05-12 06:53:43.089380
Thorchain,Dexes,RUNE,Binance,+10.21%,-2.95%,+0.27%,$653.4m,653400000,2021-05-12 06:53:43.089380
KeeperDAO,Yield,ROOK,Ethereum,+7.63%,+16.60%,< 0.0001%,$629.14m,629140000,2021-05-12 06:53:43.089380
Unit Protocol,Protocols,DUCK,Ethereum,-,+44.60%,-0.23%,$627.14m,627140000,2021-05-12 06:53:43.089380
Serum,Dexes,SRM,Solana,-,-,+3.91%,$620.73m,620730000,2021-05-12 06:53:43.089380
Harvest Finance,Yield,FARM,Ethereum,+4.37%,+11.06%,0%,$568.84m,568840000,2021-05-12 06:53:43.089380
Quickswap,Dexes,QUICK,Polygon,-,-,-0.02%,$552.78m,552780000,2021-05-12 06:53:43.089380
Fei Protocol,Assets,FEI,Ethereum,+6.90%,+15.82%,-0.16%,$531.84m,531840000,2021-05-12 06:53:43.089380
Stacks,Protocols,STX,Stacks,-,-25.11%,+0.52%,$519.09m,519090000,2021-05-12 06:53:43.089380
bZx,Lending,BZRX,Ethereum,-,-5.17%,+1.35%,$513.15m,513150000,2021-05-12 06:53:43.089380
Fantom,Protocols,FTM,Multi-Chain,-,-6.97%,+0.56%,$473.06m,473060000,2021-05-12 06:53:43.089380
ACryptoS,Yield,ACS,Binance,-,+6.29%,0%,$445.39m,445390000,2021-05-12 06:53:43.089380
Integral,Dexes,-,Ethereum,-,-14.09%,-0.29%,$419.87m,419870000,2021-05-12 06:53:43.089380
KEEP Network,Assets,KEEP,Ethereum,+11.16%,+6.50%,0%,$416.04m,416040000,2021-05-12 06:53:43.089380
Set Protocol,Indexes,-,Ethereum,-,+25.03%,-0.70%,$393.73m,393730000,2021-05-12 06:53:43.089380
DefiChain,Protocols,DFI,DefiChain,-,+14.31%,-,$390.45m,390450000,2021-05-12 06:53:43.089380
Wing Finance,Lending,WING,Ontology,-,+10.97%,+0.30%,$383.03m,383030000,2021-05-12 06:53:43.089380
Pangolin,Dexes,PNG,Avalanche,+12.08%,+26.20%,+0.19%,$370.58m,370580000,2021-05-12 06:53:43.089380
CREAM Finance,Lending,CREAM,Ethereum,+8.00%,+11.73%,-0.16%,$362.69m,362690000,2021-05-12 06:53:43.089380
Kava,Lending,KAVA,Multi-Chain,+6.31%,+8.18%,-0.22%,$348.36m,348360000,2021-05-12 06:53:43.089380
Index Coop,Indexes,INDEX,Ethereum,-,+27.75%,+1.75%,$333.77m,333770000,2021-05-12 06:53:43.089380
Flamingo Finance,Dexes,FLM,NEO,-,-,-0.38%,$333.43m,333430000,2021-05-12 06:53:43.089380
1inch,Dexes,1INCH,Ethereum,-,-6.29%,-0.38%,$325.55m,325550000,2021-05-12 06:53:43.089380
dYdX,Dexes,-,Ethereum,+9.88%,+39.09%,-0.13%,$324.43m,324430000,2021-05-12 06:53:43.089380
Reflexer,Assets,RAI,Ethereum,-,-12.11%,-0.38%,$313.82m,313820000,2021-05-12 06:53:43.089380
StakeHound,Staking,-,Ethereum,-,+28.84%,-0.38%,$274.16m,274160000,2021-05-12 06:53:43.089380
B.Protocol,Lending,BPRO,Ethereum,+7.92%,+8.46%,-0.07%,$272.42m,272420000,2021-05-12 06:53:43.089380
Loopring,Dexes,LRC,Ethereum,+17.18%,+22.34%,-0.10%,$270.11m,270110000,2021-05-12 06:53:43.089380
PoolTogether,Protocols,POOL,Ethereum,+3.81%,+9.31%,-0.07%,$235.7m,235700000,2021-05-12 06:53:43.089380
UMA Protocol,Protocols,UMA,Ethereum,+8.58%,+16.13%,+0.70%,$232.86m,232860000,2021-05-12 06:53:43.089380
Idle Finance,Yield,IDLE,Ethereum,+25.52%,$220.16m,-1.32%,$220.16m,220160000,2021-05-12 06:53:43.089380
Sablier Finance,Protocols,-,Ethereum,-,-9.28%,+0.87%,$218.16m,218160000,2021-05-12 06:53:43.089380
Ankr,Staking,ANKR,Ethereum,-,+29.64%,-0.38%,$191.52m,191520000,2021-05-12 06:53:43.089380
ZilSwap,Dexes,ZWAP,Zilliqa,-,-,-0.63%,$182.92m,182920000,2021-05-12 06:53:43.089380
Unslashed,Insurance,USF,Ethereum,-,+31.45%,+2.06%,$175.66m,175660000,2021-05-12 06:53:43.089380
DODO,Dexes,DODO,Ethereum,+3.34%,+6.73%,-0.11%,$170.33m,170330000,2021-05-12 06:53:43.089380
MANTRA DAO,Protocols,OM,Ethereum,-,+26.78%,+1.01%,$168.45m,168450000,2021-05-12 06:53:43.089380
yAxis,Yield,YAX,Ethereum,-,-29.29%,-0.18%,$164.81m,164810000,2021-05-12 06:53:43.089380
OnX.Finance,Lending,ONX,Ethereum,-,+18.22%,+2.26%,$154.73m,154730000,2021-05-12 06:53:43.089380
