Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+11.83%,+24.06%,+1.01%,$13.65b,13650000000,2021-06-01 08:21:43.182737
MakerDAO,Protocols,MKR,Ethereum,+12.61%,-3.18%,+0.46%,$8.81b,8810000000,2021-06-01 08:21:43.182737
Curve,Dexes,CRV,Ethereum,+7.81%,+14.91%,+0.37%,$8.12b,8120000000,2021-06-01 08:21:43.182737
Compound,Lending,COMP,Ethereum,+8.48%,-2.11%,+0.61%,$7.56b,7560000000,2021-06-01 08:21:43.182737
PancakeSwap,Dexes,CAKE,Binance,+6.76%,+1.50%,+0.51%,$7.46b,7460000000,2021-06-01 08:21:43.182737
WBTC,Assets,WBTC,Ethereum,+8.44%,-0.24%,+1.46%,$6.95b,6950000000,2021-06-01 08:21:43.182737
Uniswap,Dexes,UNI,Ethereum,+10.61%,+1.94%,+1.60%,$5.65b,5650000000,2021-06-01 08:21:43.182737
SushiSwap,Dexes,SUSHI,Ethereum,+13.81%,+22.77%,+1.68%,$4.41b,4410000000,2021-06-01 08:21:43.182737
InstaDApp,Protocols,-,Ethereum,+4.85%,+6.78%,+0.21%,$4.23b,4230000000,2021-06-01 08:21:43.182737
Yearn Finance,Yield,YFI,Ethereum,+4.16%,+11.53%,+0.14%,$3.91b,3910000000,2021-06-01 08:21:43.182737
Liquity,Protocols,LQTY,Ethereum,+15.45%,+12.67%,+0.71%,$2.49b,2490000000,2021-06-01 08:21:43.182737
Balancer,Dexes,BAL,Ethereum,+7.62%,+0.40%,+0.47%,$2.43b,2430000000,2021-06-01 08:21:43.182737
Venus,Lending,XVS,Binance,+11.57%,-0.75%,+1.60%,$2.12b,2120000000,2021-06-01 08:21:43.182737
Mirror,Assets,MIR,Terra,+4.50%,+9.31%,+0.12%,$1.78b,1780000000,2021-06-01 08:21:43.182737
Lido,Staking,LDO,Multi-Chain,+19.75%,+14.73%,+2.05%,$1.57b,1570000000,2021-06-01 08:21:43.182737
Ellipsis Finance,Dexes,EPS,Binance,+12.09%,-22.20%,+0.05%,$1.57b,1570000000,2021-06-01 08:21:43.182737
Synthetix,Dexes,SNX,Ethereum,+14.06%,+2.50%,+0.99%,$1.55b,1550000000,2021-06-01 08:21:43.182737
Bancor,Dexes,BNT,Ethereum,+12.53%,+10.07%,+0.92%,$1.51b,1510000000,2021-06-01 08:21:43.182737
Alchemix,Yield,ALCX,Ethereum,+1.79%,+15.01%,+0.34%,$1.21b,1210000000,2021-06-01 08:21:43.182737
hBTC,Assets,hBTC,Ethereum,+8.44%,-2.68%,+1.46%,$1.19b,1190000000,2021-06-01 08:21:43.182737
Belt Finance,Yield,BELT,Binance,+6.52%,+1.14%,+0.01%,$1.16b,1160000000,2021-06-01 08:21:43.182737
Bunny,Yield,BUNNY,Binance,+14.94%,-20.23%,+2.56%,$1.08b,1080000000,2021-06-01 08:21:43.182737
CREAM Finance,Lending,CREAM,Ethereum,+155%,+361%,-0.64%,$1.07b,1070000000,2021-06-01 08:21:43.182737
Flexa,Protocols,AMP,Ethereum,+8.35%,+16.26%,+1.79%,$1.01b,1010000000,2021-06-01 08:21:43.182737
Convex Finance,Yield,CVX,Ethereum,+20.46%,+176%,+7.40%,$936.05m,936050000,2021-06-01 08:21:43.182737
Quickswap,Dexes,QUICK,Polygon,-2.97%,+19.01%,+2.04%,$898.79m,898790000,2021-06-01 08:21:43.182737
Autofarm,Yield,AUTO,Multi-Chain,+10.09%,-,+1.11%,$882.26m,882260000,2021-06-01 08:21:43.182737
Alpha Finance,Yield,ALPHA,Multi-Chain,+7.72%,+33.06%,-1.35%,$729.56m,729560000,2021-06-01 08:21:43.182737
Badger DAO,Yield,BADGER,Ethereum,+8.12%,-0.88%,+1.24%,$683.36m,683360000,2021-06-01 08:21:43.182737
Vesper,Yield,VSP,Ethereum,+0.42%,-9.21%,+0.61%,$668.11m,668110000,2021-06-01 08:21:43.182737
Anchor,Lending,ANC,Terra,+17.19%,+18.87%,+0.93%,$552.13m,552130000,2021-06-01 08:21:43.182737
RenVM,Assets,REN,Multi-Chain,+11.82%,-8.68%,+1.03%,$542.99m,542990000,2021-06-01 08:21:43.182737
DefiSaver,Protocols,-,Ethereum,+20.85%,-,+6.01%,$524.58m,524580000,2021-06-01 08:21:43.182737
Beefy Finance,Yield,BIFI,Multi-Chain,+12.67%,-,+1.72%,$518.11m,518110000,2021-06-01 08:21:43.182737
Tornado Cash,Protocols,-,Ethereum,+18.78%,+6.53%,+2.87%,$487.56m,487560000,2021-06-01 08:21:43.182737
Raydium,Dexes,RAY,Solana,+9.88%,+18.65%,+1.19%,$479.95m,479950000,2021-06-01 08:21:43.182737
Nexus Mutual,Insurance,NXM,Ethereum,+14.88%,+2.37%,+0.71%,$430.86m,430860000,2021-06-01 08:21:43.182737
Nerve,Dexes,NRV,Binance,+2.03%,-0.09%,-0.06%,$423.41m,423410000,2021-06-01 08:21:43.182737
Wault,Yield,WEX,Binance,+10.93%,+6.84%,+1.67%,$385.33m,385330000,2021-06-01 08:21:43.182737
