Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+0.33%,+12.06%,+1.45%,$11.63b,11630000000,2021-05-30 07:58:19.769876
MakerDAO,Protocols,MKR,Ethereum,-11.03%,-7.34%,-0.69%,$7.79b,7790000000,2021-05-30 07:58:19.769876
Curve,Dexes,CRV,Ethereum,-6.08%,+0.16%,+0.36%,$7.4b,7400000000,2021-05-30 07:58:19.769876
PancakeSwap,Dexes,CAKE,Binance,-14.03%,+9.79%,+0.28%,$6.95b,6950000000,2021-05-30 07:58:19.769876
Compound,Lending,COMP,Ethereum,-13.07%,-9.15%,+0.03%,$6.61b,6610000000,2021-05-30 07:58:19.769876
WBTC,Assets,WBTC,Ethereum,-3.28%,-4.07%,-0.52%,$6.5b,6500000000,2021-05-30 07:58:19.769876
Uniswap,Dexes,UNI,Ethereum,-5.41%,-3.58%,+0.13%,$5.14b,5140000000,2021-05-30 07:58:19.769876
InstaDApp,Protocols,-,Ethereum,+3.13%,-1.68%,+0.51%,$4.03b,4030000000,2021-05-30 07:58:19.769876
SushiSwap,Dexes,SUSHI,Ethereum,-2.91%,+11.16%,+0.16%,$3.82b,3820000000,2021-05-30 07:58:19.769876
Yearn Finance,Yield,YFI,Ethereum,-2.59%,+6.39%,+0.37%,$3.72b,3720000000,2021-05-30 07:58:19.769876
Balancer,Dexes,BAL,Ethereum,-4.44%,-7.06%,+0.08%,$2.23b,2230000000,2021-05-30 07:58:19.769876
Liquity,Protocols,LQTY,Ethereum,-8.93%,+5.21%,-0.27%,$2.12b,2120000000,2021-05-30 07:58:19.769876
Venus,Lending,XVS,Binance,-17.39%,-14.02%,+0.23%,$1.85b,1850000000,2021-05-30 07:58:19.769876
Mirror,Assets,MIR,Terra,+2.04%,-0.43%,+0.10%,$1.81b,1810000000,2021-05-30 07:58:19.769876
Ellipsis Finance,Dexes,EPS,Binance,+0.88%,-31.26%,-0.03%,$1.4b,1400000000,2021-05-30 07:58:19.769876
Bancor,Dexes,BNT,Ethereum,-8.41%,+0.38%,+0.01%,$1.32b,1320000000,2021-05-30 07:58:19.769876
Lido,Staking,LDO,Multi-Chain,-8.10%,+3.12%,+0.68%,$1.29b,1290000000,2021-05-30 07:58:19.769876
Synthetix,Dexes,SNX,Ethereum,-11.30%,-27.20%,+0.71%,$1.29b,1290000000,2021-05-30 07:58:19.769876
Alchemix,Yield,ALCX,Ethereum,-2.32%,+11.10%,+0.50%,$1.18b,1180000000,2021-05-30 07:58:19.769876
hBTC,Assets,hBTC,Ethereum,-3.80%,-6.46%,-0.52%,$1.11b,1110000000,2021-05-30 07:58:19.769876
Belt Finance,Yield,BELT,Binance,-28.02%,-5.17%,+0.03%,$1.11b,1110000000,2021-05-30 07:58:19.769876
Bunny,Yield,BUNNY,Binance,-10.03%,-13.24%,+0.30%,$1.08b,1080000000,2021-05-30 07:58:19.769876
Flexa,Protocols,AMP,Ethereum,-6.75%,+3.52%,-0.25%,$886.44m,886440000,2021-05-30 07:58:19.769876
