Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
DEXTF Protocol,Protocols,DEXTF,Ethereum,-0.75%,-19.27%,+0.12%,"$6,374,310",6374310,2021-05-14 07:18:54.983875
YF Link,Dexes,YFL,Ethereum,-12.50%,-15.02%,-0.14%,"$6,261,439",6261439,2021-05-14 07:18:54.983875
Stafi,Staking,FIS,Ethereum,-3.55%,+11.18%,-0.25%,"$5,698,264",5698264,2021-05-14 07:18:54.983875
Growth DeFi,Yield,GRO,Ethereum,-14.70%,+4.40%,0%,"$5,339,590",5339590,2021-05-14 07:18:54.983875
Auctus,Options,AUC,Ethereum,-7.02%,-16.52%,-0.19%,"$5,183,073",5183073,2021-05-14 07:18:54.983875
SnowSwap,Dexes,SNOW,Ethereum,-1.95%,+8.88%,+0.36%,"$5,041,099",5041099,2021-05-14 07:18:54.983875
Opium,Insurance,OPIUM,Ethereum,+0.01%,-4.10%,-0.01%,"$4,920,032",4920032,2021-05-14 07:18:54.983875
Augur,Dexes,REP,Ethereum,-3.10%,+11.06%,+0.52%,"$4,905,910",4905910,2021-05-14 07:18:54.983875
Swapr,Dexes,-,Multi-Chain,-0.22%,+41.99%,-0.00%,"$4,664,768",4664768,2021-05-14 07:18:54.983875
CreamSwap,Dexes,CREAM,Ethereum,-2.95%,+6.11%,+0.46%,"$4,366,523",4366523,2021-05-14 07:18:54.983875
cVault.finance,Assets,CORE,Ethereum,-5.85%,-2.82%,+0.31%,"$4,315,751",4315751,2021-05-14 07:18:54.983875
zLot,Staking,zLot,Ethereum,-6.01%,-0.22%,-0.42%,"$4,012,117",4012117,2021-05-14 07:18:54.983875
Yam Finance,Protocols,YAM,Ethereum,-2.15%,-25.70%,-0.05%,"$3,773,007",3773007,2021-05-14 07:18:54.983875
Siren,Options,SI,Ethereum,-3.79%,-3.03%,-0.18%,"$3,760,242",3760242,2021-05-14 07:18:54.983875
N3RD Finance,Yield,N3RDz,Ethereum,-13.37%,-0.03%,+0.36%,"$3,221,896",3221896,2021-05-14 07:18:54.983875
ForceDAO,Yield,-,Ethereum,-0.48%,-42.89%,+0.07%,"$3,204,986",3204986,2021-05-14 07:18:54.983875
XDeFi,Dexes,XDEX,Ethereum,-2.36%,-41.17%,-0.02%,"$2,826,692",2826692,2021-05-14 07:18:54.983875
MCDEX,Dexes,MCB,Ethereum,-2.78%,+10.88%,-0.34%,"$2,710,755",2710755,2021-05-14 07:18:54.983875
BT.Finance,Yield,BT,Ethereum,-6.31%,-1.91%,-0.52%,"$2,701,443",2701443,2021-05-14 07:18:54.983875
Olive Cash,Yield,OLIVE,Multi-Chain,-30.29%,-38.53%,-0.00%,"$2,370,121",2370121,2021-05-14 07:18:54.983875
Connext,Protocols,-,Ethereum,-0.85%,+27.06%,-0.13%,"$1,928,570",1928570,2021-05-14 07:18:54.983875
 Robo-Advisor fo...,Yield,-,Ethereum,+14.24%,+4159%,-0.02%,"$1,271,369",1271369,2021-05-14 07:18:54.983875
S Finance,Dexes,SFG,Ethereum,+0.09%,+32.58%,+0.10%,"$1,183,794",1183794,2021-05-14 07:18:54.983875
Strudel Finance,Assets,TRDL,Ethereum,-2.46%,-11.55%,-0.41%,"$1,132,584",1132584,2021-05-14 07:18:54.983875
Jarvis Network,Protocols,JRT,Ethereum,+0.10%,"$1,059,102",+0.26%,"$1,059,102",1059102,2021-05-14 07:18:54.983875
Primitive,Options,-,Ethereum,-3.96%,-0.50%,-0.06%,"$878,884",878884,2021-05-14 07:18:54.983875
QIAN,Assets,KUN,Ethereum,-6.05%,-10.67%,-0.15%,"$830,211",830211,2021-05-14 07:18:54.983875
PEAKDEFI,Yield,PEAK,Ethereum,+0.40%,+6.35%,-0.19%,"$706,075",706075,2021-05-14 07:18:54.983875
Levinswap,Dexes,LEVIN,xDai,-1.36%,-5.32%,-0.00%,"$701,428",701428,2021-05-14 07:18:54.983875
Dracula,Yield,DRC,Ethereum,-3.32%,-7.99%,-0.09%,"$560,402",560402,2021-05-14 07:18:54.983875
YetiSwap,Dexes,YTS,Avalanche,-5.01%,-27.92%,-0.00%,"$486,913",486913,2021-05-14 07:18:54.983875
Basis Cash,Assets,BAC,Ethereum,0%,+0.30%,0%,"$404,974",404974,2021-05-14 07:18:54.983875
UniTrade,Dexes,TRADE,Ethereum,+5.32%,+17.43%,-0.47%,"$369,400",369400,2021-05-14 07:18:54.983875
DeFiner,Yield,FIN,Ethereum,-8.62%,-15.56%,-1.63%,"$339,056",339056,2021-05-14 07:18:54.983875
YFII,Dexes,YFII,Ethereum,-1.16%,-2.16%,+0.04%,"$309,608",309608,2021-05-14 07:18:54.983875
CoFiX,Dexes,COFI,Ethereum,-3.01%,+2.23%,+0.45%,"$307,099",307099,2021-05-14 07:18:54.983875
SynLev,Protocols,SYN,Ethereum,-2.66%,+11.61%,-0.27%,"$138,977",138977,2021-05-14 07:18:54.983875
Shell Protocol,Dexes,-,Ethereum,0%,"$113,656",0%,"$113,656",113656,2021-05-14 07:18:54.983875
Prosper,Dexes,PROS,Multi-Chain,-5.42%,-35.12%,+1.67%,"$4,172",4172,2021-05-14 07:18:54.983875
