Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,+5.47%,+26.21%,-0.11%,$12.09b,12090000000,2021-05-31 06:59:37.558442
MakerDAO,Protocols,MKR,Ethereum,-0.79%,+1.46%,-0.37%,$7.78b,7780000000,2021-05-31 06:59:37.558442
Curve,Dexes,CRV,Ethereum,+1.48%,+14.39%,-0.46%,$7.48b,7480000000,2021-05-31 06:59:37.558442
PancakeSwap,Dexes,CAKE,Binance,+1.17%,+13.87%,-0.58%,$7.01b,7010000000,2021-05-31 06:59:37.558442
Compound,Lending,COMP,Ethereum,+5.18%,-0.38%,-0.00%,$6.95b,6950000000,2021-05-31 06:59:37.558442
WBTC,Assets,WBTC,Ethereum,-1.49%,+0.33%,-1.04%,$6.43b,6430000000,2021-05-31 06:59:37.558442
Uniswap,Dexes,UNI,Ethereum,-1.39%,+3.75%,-1.23%,$5.06b,5060000000,2021-05-31 06:59:37.558442
InstaDApp,Protocols,-,Ethereum,+0.46%,+9.26%,+0.03%,$4.03b,4030000000,2021-05-31 06:59:37.558442
SushiSwap,Dexes,SUSHI,Ethereum,+0.31%,+23.87%,-0.71%,$3.82b,3820000000,2021-05-31 06:59:37.558442
Yearn Finance,Yield,YFI,Ethereum,+1.04%,+15.13%,+0.29%,$3.75b,3750000000,2021-05-31 06:59:37.558442
Balancer,Dexes,BAL,Ethereum,+0.58%,-1.15%,-0.31%,$2.24b,2240000000,2021-05-31 06:59:37.558442
Liquity,Protocols,LQTY,Ethereum,+0.67%,+16.60%,-0.24%,$2.14b,2140000000,2021-05-31 06:59:37.558442
Venus,Lending,XVS,Binance,+2.33%,-2.48%,-1.25%,$1.89b,1890000000,2021-05-31 06:59:37.558442
Mirror,Assets,MIR,Terra,-5.41%,+3.55%,-0.59%,$1.71b,1710000000,2021-05-31 06:59:37.558442
Ellipsis Finance,Dexes,EPS,Binance,-0.14%,-30.57%,-0.01%,$1.4b,1400000000,2021-05-31 06:59:37.558442
Synthetix,Dexes,SNX,Ethereum,+4.62%,-6.20%,-0.42%,$1.34b,1340000000,2021-05-31 06:59:37.558442
Bancor,Dexes,BNT,Ethereum,+1.26%,+12.28%,+0.12%,$1.33b,1330000000,2021-05-31 06:59:37.558442
Lido,Staking,LDO,Multi-Chain,+1.73%,+14.27%,-1.19%,$1.31b,1310000000,2021-05-31 06:59:37.558442
Alchemix,Yield,ALCX,Ethereum,+0.45%,+24.91%,-0.32%,$1.18b,1180000000,2021-05-31 06:59:37.558442
hBTC,Assets,hBTC,Ethereum,-1.49%,-2.17%,-1.04%,$1.1b,1100000000,2021-05-31 06:59:37.558442
Belt Finance,Yield,BELT,Binance,-1.59%,-0.07%,+0.44%,$1.09b,1090000000,2021-05-31 06:59:37.558442
Bunny,Yield,BUNNY,Binance,-1.75%,-7.11%,-1.98%,$1.06b,1060000000,2021-05-31 06:59:37.558442
Flexa,Protocols,AMP,Ethereum,+6.02%,+34.07%,-0.07%,$942.16m,942160000,2021-05-31 06:59:37.558442
Quickswap,Dexes,QUICK,Polygon,-2.97%,+19.01%,+2.04%,$898.79m,898790000,2021-05-31 06:59:37.558442
Autofarm,Yield,AUTO,Multi-Chain,-2.36%,-,-1.22%,$797.68m,797680000,2021-05-31 06:59:37.558442
Convex Finance,Yield,CVX,Ethereum,+1.63%,+287%,+0.22%,$777.06m,777060000,2021-05-31 06:59:37.558442
Alpha Finance,Yield,ALPHA,Multi-Chain,-0.72%,+39.12%,+0.64%,$675.4m,675400000,2021-05-31 06:59:37.558442
Vesper,Yield,VSP,Ethereum,-0.14%,+0.66%,+0.03%,$662.67m,662670000,2021-05-31 06:59:37.558442
Badger DAO,Yield,BADGER,Ethereum,-0.74%,-1.36%,-0.86%,$631.42m,631420000,2021-05-31 06:59:37.558442
RenVM,Assets,REN,Multi-Chain,-0.22%,-10.94%,-0.58%,$483.83m,483830000,2021-05-31 06:59:37.558442
Anchor,Lending,ANC,Terra,-2.50%,+10.12%,-0.39%,$463.4m,463400000,2021-05-31 06:59:37.558442
Beefy Finance,Yield,BIFI,Multi-Chain,+6.03%,-,0%,$462.39m,462390000,2021-05-31 06:59:37.558442
Raydium,Dexes,RAY,Solana,+2.57%,+17.73%,-0.85%,$432.35m,432350000,2021-05-31 06:59:37.558442
DefiSaver,Protocols,-,Ethereum,-9.28%,-,-1.16%,$429.23m,429230000,2021-05-31 06:59:37.558442
CREAM Finance,Lending,CREAM,Ethereum,-4.98%,+107%,+0.40%,$420.54m,420540000,2021-05-31 06:59:37.558442
Nerve,Dexes,NRV,Binance,-2.00%,+1.76%,-0.16%,$413.34m,413340000,2021-05-31 06:59:37.558442
Tornado Cash,Protocols,-,Ethereum,+0.30%,+8.01%,-1.44%,$406.74m,406740000,2021-05-31 06:59:37.558442
Pangolin,Dexes,PNG,Avalanche,-0.11%,+3.25%,+0.08%,$372.24m,372240000,2021-05-31 06:59:37.558442
Nexus Mutual,Insurance,NXM,Ethereum,+0.06%,+6.07%,-0.26%,$372.24m,372240000,2021-05-31 06:59:37.558442
Wault,Yield,WEX,Binance,+0.37%,+13.25%,-0.09%,$346.27m,346270000,2021-05-31 06:59:37.558442
Fei Protocol,Assets,FEI,Ethereum,-3.04%,-10.73%,+0.12%,$328.34m,328340000,2021-05-31 06:59:37.558442
Thorchain,Dexes,RUNE,Binance,+0.64%,+9.11%,-1.98%,$295.03m,295030000,2021-05-31 06:59:37.558442
Unit Protocol,Protocols,DUCK,Ethereum,+0.89%,+2.28%,-1.29%,$288.24m,288240000,2021-05-31 06:59:37.558442
Harvest Finance,Yield,FARM,Ethereum,+0.96%,-7.18%,+0.08%,$287.54m,287540000,2021-05-31 06:59:37.558442
DefiChain,Dexes,DFI,DefiChain,-1.29%,+10.46%,-2.98%,$264.68m,264680000,2021-05-31 06:59:37.558442
ACryptoS,Yield,ACS,Binance,+3.25%,+4.71%,-1.43%,$249.4m,249400000,2021-05-31 06:59:37.558442
Set Protocol,Indexes,-,Ethereum,+2.98%,+18.11%,-0.67%,$222.54m,222540000,2021-05-31 06:59:37.558442
Wing Finance,Lending,WING,Ontology,+0.33%,+15.50%,-0.36%,$217.22m,217220000,2021-05-31 06:59:37.558442
Index Coop,Indexes,INDEX,Ethereum,+3.97%,+18.06%,-1.19%,$190.38m,190380000,2021-05-31 06:59:37.558442
PoolTogether,Protocols,POOL,Ethereum,-0.18%,+10.55%,+0.45%,$189.47m,189470000,2021-05-31 06:59:37.558442
Serum,Dexes,SRM,Solana,-25.53%,-22.69%,-28.17%,$189.13m,189130000,2021-05-31 06:59:37.558442
