Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-2.08%,+10.75%,-1.06%,$11.93b,11930000000,2021-05-27 06:39:06.532247
Polygon,Protocols,MATIC,Polygon,-4.52%,+25.36%,-4.24%,$10.29b,10290000000,2021-05-27 06:39:06.532247
MakerDAO,Protocols,MKR,Ethereum,-4.73%,+1.66%,-1.65%,$9.26b,9260000000,2021-05-27 06:39:06.532247
Compound,Lending,COMP,Ethereum,-3.41%,-4.48%,-1.63%,$7.7b,7700000000,2021-05-27 06:39:06.532247
Curve,Dexes,CRV,Ethereum,+0.74%,+5.45%,-0.35%,$7.62b,7620000000,2021-05-27 06:39:06.532247
PancakeSwap,Dexes,CAKE,Binance,-0.15%,-,-1.18%,$7.49b,7490000000,2021-05-27 06:39:06.532247
WBTC,Assets,WBTC,Ethereum,-3.36%,+0.64%,-0.34%,$6.92b,6920000000,2021-05-27 06:39:06.532247
Uniswap,Dexes,UNI,Ethereum,-6.28%,-2.17%,-1.48%,$5.65b,5650000000,2021-05-27 06:39:06.532247
InstaDApp,Protocols,-,Ethereum,-2.56%,-3.61%,+0.09%,$3.99b,3990000000,2021-05-27 06:39:06.532247
SushiSwap,Dexes,SUSHI,Ethereum,-2.00%,+5.65%,-1.52%,$3.91b,3910000000,2021-05-27 06:39:06.532247
Yearn Finance,Yield,YFI,Ethereum,+0.41%,+5.48%,-0.45%,$3.73b,3730000000,2021-05-27 06:39:06.532247
Balancer,Dexes,BAL,Ethereum,-1.59%,-4.52%,-1.30%,$2.45b,2450000000,2021-05-27 06:39:06.532247
Liquity,Protocols,LQTY,Ethereum,+2.86%,+12.00%,-1.80%,$2.42b,2420000000,2021-05-27 06:39:06.532247
Venus,Lending,XVS,Binance,-3.91%,-13.20%,-0.89%,$2.17b,2170000000,2021-05-27 06:39:06.532247
Ellipsis Finance,Dexes,EPS,Binance,-0.38%,+272%,-0.02%,$2.01b,2010000000,2021-05-27 06:39:06.532247
Mirror,Assets,MIR,Terra,+1.05%,-14.37%,+0.12%,$1.65b,1650000000,2021-05-27 06:39:06.532247
Synthetix,Dexes,SNX,Ethereum,-9.65%,-10.59%,-2.92%,$1.54b,1540000000,2021-05-27 06:39:06.532247
Bancor,Dexes,BNT,Ethereum,-1.35%,+0.21%,-1.54%,$1.48b,1480000000,2021-05-27 06:39:06.532247
Lido,Staking,LDO,Multi-Chain,-7.09%,+8.98%,-0.99%,$1.46b,1460000000,2021-05-27 06:39:06.532247
Bunny,Yield,BUNNY,Binance,-11.48%,+0.42%,-1.80%,$1.32b,1320000000,2021-05-27 06:39:06.532247
